dataset,nb_knn_agreement_rate,accuracy_gain,spearman_rho,spearman_pvalue
balance_scale,0.9536610343061955,-0.0032002048131080096,-0.7556521739130433,1.957281883302767e-05
banknote,0.8382418279911139,0.1581085369723898,-0.7556521739130433,1.957281883302767e-05
breast_cancer,0.9543546365914788,0.0035087719298244613,-0.7556521739130433,1.957281883302767e-05
digits,0.7974487895716946,0.09013966480446922,-0.7556521739130433,1.957281883302767e-05
ecoli,0.7740641711229946,0.07477718360071306,-0.7556521739130433,1.957281883302767e-05
glass,0.5075757575757576,0.12662337662337675,-0.7556521739130433,1.957281883302767e-05
ionosphere,0.843095238095238,0.011428571428571344,-0.7556521739130433,1.957281883302767e-05
iris,0.9666666666666666,0.0,-0.7556521739130433,1.957281883302767e-05
letter,0.65,0.2087500000000001,-0.7556521739130433,1.957281883302767e-05
optdigits,0.7309608540925268,0.13612099644128106,-0.7556521739130433,1.957281883302767e-05
page_blocks,0.9038888295813928,0.04714234243851667,-0.7556521739130433,1.957281883302767e-05
parkinsons,0.6821052631578948,0.015263157894736867,-0.7556521739130433,1.957281883302767e-05
pendigits,0.8577155265117048,0.1120813963106958,-0.7556521739130433,1.957281883302767e-05
robot_navigation,0.5434307893940922,0.212433377020533,-0.7556521739130433,1.957281883302767e-05
satellite,0.8356143079315708,0.045878693623639055,-0.7556521739130433,1.957281883302767e-05
segment,0.7943722943722944,0.08744588744588755,-0.7556521739130433,1.957281883302767e-05
sonar,0.7019047619047619,0.01952380952380961,-0.7556521739130433,1.957281883302767e-05
spambase,0.803950768650382,0.010215976610393307,-0.7556521739130433,1.957281883302767e-05
transfusion,0.8528648648648648,0.020108108108108036,-0.7556521739130433,1.957281883302767e-05
vehicle,0.5119047619047619,0.17385154061624647,-0.7556521739130433,1.957281883302767e-05
vowel,0.6515151515151516,0.17171717171717182,-0.7556521739130433,1.957281883302767e-05
waveform,0.8206,0.01079999999999992,-0.7556521739130433,1.957281883302767e-05
wine,0.9441176470588235,0.005555555555555536,-0.7556521739130433,1.957281883302767e-05
yeast,0.14626337747143112,0.3570651188100853,-0.7556521739130433,1.957281883302767e-05
