dataset,mean_lambda,std_lambda
balance_scale,0.22999999999999998,0.11595018087284058
banknote,0.8800000000000001,0.06324555320336758
breast_cancer,1.0,0.0
digits,1.0,0.0
ecoli,0.32,0.1932183566158592
glass,0.9800000000000001,0.042163702135578386
ionosphere,0.3,0.270801280154532
iris,0.45,0.41699986677322676
letter,1.0,0.0
optdigits,1.0,0.0
page_blocks,1.0,0.0
parkinsons,1.0,0.0
pendigits,1.0,0.0
robot_navigation,1.0,0.0
satellite,1.0,0.0
segment,0.99,0.03162277660168379
sonar,0.9199999999999999,0.04216370213557838
spambase,1.0,0.0
transfusion,0.8300000000000001,0.11595018087284062
vehicle,1.0,0.0
vowel,0.86,0.06992058987801011
waveform,0.89,0.03162277660168379
wine,0.65,0.356682242650545
yeast,1.0,0.0
