metric,friedman_statistic,p_value,n_datasets
accuracy,141.04838709677415,9.967757197656557e-25,24
auc_roc,95.6887003126396,1.2698490592080859e-15,16
balanced_accuracy,141.81891288160824,6.946582142799029e-25,24
brier_score,138.60064224200832,3.1362618393256792e-24,24
ece,83.30681652313531,3.3731959549451264e-13,24
geometric_mean,146.79423134106455,6.72689980463319e-26,24
log_loss,81.54707341993867,7.404800127783926e-13,24
macro_f1,140.97131817506323,1.0334281843286484e-24,24
mcc,137.66919304502886,4.849460888029765e-24,24
predict_time_per_sample_ms,187.89102564102564,2.3996417738461244e-34,24
weighted_f1,138.54831995242347,3.214008948893033e-24,24
