classifier,BernoulliNB,ComplementNB,"DW-NB(k=15,CV-λ)","DW-NB(k=15,λ=0.5)","DW-NB(k=30,λ=0.5)","DW-NB(k=5,λ=0.5)",DW-NB(w1-only),DW-NB(w2-only),DW-NB(w3-only),GaussianNB,MultinomialNB,NB+kNN-Ensemble
BernoulliNB,1.0,0.885658962688863,3.6019001670162254e-08,0.10200291348151069,0.9996411366361193,5.290953951742061e-06,0.05083689976715633,0.868106811593615,0.0013249960809801342,0.9928338622746871,0.9999999999600026,0.5042163042602685
ComplementNB,0.885658962688863,1.0,2.412514632510465e-13,0.00017759594071731222,0.3512014619753261,1.406034177975357e-10,5.4305636453366724e-05,0.03710981270492342,2.3204952270816648e-07,0.9999963656748588,0.7950154464785593,0.004974364328821368
"DW-NB(k=15,CV-λ)",3.6019001670162254e-08,2.412514632510465e-13,1.0,0.06472571314947517,4.7371323200762205e-06,0.9995478544345828,0.12620120896119813,0.00041469165558694066,0.719696297096682,1.3488987704590727e-11,1.113310372780063e-07,0.004595994773883727
"DW-NB(k=15,λ=0.5)",0.10200291348151069,0.00017759594071731222,0.06472571314947517,1.0,0.5482798713475726,0.4464721054663061,0.9999999990781481,0.9765988632197351,0.987435960008337,0.0018652483963285116,0.16237305628444998,0.9998284938555364
"DW-NB(k=30,λ=0.5)",0.9996411366361193,0.3512014619753261,4.7371323200762205e-06,0.5482798713475726,1.0,0.00034451625367615257,0.37745252308931043,0.9992969135532465,0.030518905590835255,0.719696297096682,0.9999691672081741,0.9554244668255755
"DW-NB(k=5,λ=0.5)",5.290953951742061e-06,1.406034177975357e-10,0.9995478544345828,0.4464721054663061,0.00034451625367615257,1.0,0.6216004150621951,0.013299712970571753,0.993833028750167,5.114285883678349e-09,1.40516231660337e-05,0.08164296636557145
DW-NB(w1-only),0.05083689976715633,5.4305636453366724e-05,0.12620120896119813,0.9999999990781481,0.37745252308931043,0.6216004150621951,1.0,0.9228536958756788,0.9980971722952527,0.0006541163253094284,0.08639423785796385,0.9977163513937618
DW-NB(w2-only),0.868106811593615,0.03710981270492342,0.00041469165558694066,0.9765988632197351,0.9992969135532465,0.013299712970571753,0.9228536958756788,1.0,0.3135687942788594,0.1623730562844501,0.935113033596119,0.9999921524764042
DW-NB(w3-only),0.0013249960809801342,2.3204952270816648e-07,0.719696297096682,0.987435960008337,0.030518905590835255,0.993833028750167,0.9980971722952527,0.3135687942788594,1.0,4.7371323200762205e-06,0.002830367911489051,0.7062299294660361
GaussianNB,0.9928338622746871,0.9999963656748588,1.3488987704590727e-11,0.0018652483963285116,0.719696297096682,5.114285883678349e-09,0.0006541163253094284,0.1623730562844501,4.7371323200762205e-06,1.0,0.9765988632197351,0.03259227517903163
MultinomialNB,0.9999999999600026,0.7950154464785593,1.113310372780063e-07,0.16237305628444998,0.9999691672081741,1.40516231660337e-05,0.08639423785796385,0.935113033596119,0.002830367911489051,0.9765988632197351,1.0,0.6360623220265227
NB+kNN-Ensemble,0.5042163042602685,0.004974364328821368,0.004595994773883727,0.9998284938555364,0.9554244668255755,0.08164296636557145,0.9977163513937618,0.9999921524764042,0.7062299294660361,0.03259227517903163,0.6360623220265227,1.0
