classifier,BernoulliNB,ComplementNB,"DW-NB(k=15,CV-λ)","DW-NB(k=15,λ=0.5)","DW-NB(k=30,λ=0.5)","DW-NB(k=5,λ=0.5)",DW-NB(w1-only),DW-NB(w2-only),DW-NB(w3-only),GaussianNB,MultinomialNB,NB+kNN-Ensemble
BernoulliNB,1.0,0.9213122275856176,4.953483556668914e-08,0.10193000861269774,0.9998190609513785,0.00021553008478814029,0.32029265722392153,0.9996463834432039,0.036404621527107106,0.9957219979701069,0.999999860295479,3.8937302462516143e-05
ComplementNB,0.9213122275856176,1.0,7.643885524544203e-13,0.00027910434932099104,0.45439450262804404,3.505293422190192e-08,0.002462216686028751,0.4159464467387698,5.1446189992532254e-05,0.9999979955436257,0.7284603287924412,3.6629997923753876e-09
"DW-NB(k=15,CV-λ)",4.953483556668914e-08,7.643885524544203e-13,1.0,0.07504132719958145,4.594210321173797e-06,0.937915935577714,0.015318056168760252,6.208361714388211e-06,0.18579922539410643,3.2119418236220554e-11,5.131618204812227e-07,0.9914375741528737
"DW-NB(k=15,λ=0.5)",0.10193000861269774,0.00027910434932099104,0.07504132719958145,1.0,0.5070680392615542,0.9019462808839808,0.9999979955436257,0.5471628785862751,0.9999999522137322,0.002462216686028751,0.2570356045524296,0.7163574697728441
"DW-NB(k=30,λ=0.5)",0.9998190609513785,0.45439450262804404,4.594210321173797e-06,0.5070680392615542,1.0,0.005923779583160038,0.8364398227793979,0.9999999999999999,0.27722035887327334,0.7963952399419394,0.999999860295479,0.0014375095479953748
"DW-NB(k=5,λ=0.5)",0.00021553008478814029,3.505293422190192e-08,0.937915935577714,0.9019462808839808,0.005923779583160038,1.0,0.6139358221674084,0.007311243273326329,0.9822821222764562,7.081856829849187e-07,0.0012283994988558922,0.9999999522137322
DW-NB(w1-only),0.32029265722392153,0.002462216686028751,0.015318056168760252,0.9999979955436257,0.8364398227793979,0.6139358221674084,1.0,0.8633547592196517,0.9995633577467029,0.016341789181635757,0.5873262697344237,0.3666909385496775
DW-NB(w2-only),0.9996463834432039,0.4159464467387698,6.208361714388211e-06,0.5471628785862751,0.9999999999999999,0.007311243273326329,0.8633547592196517,1.0,0.3091978830097163,0.7635027730356214,0.9999994211637583,0.0018145819048785983
DW-NB(w3-only),0.036404621527107106,5.1446189992532254e-05,0.18579922539410643,0.9999999522137322,0.27722035887327334,0.9822821222764562,0.9995633577467029,0.3091978830097163,1.0,0.0005472711634952887,0.11243262570962798,0.9019462808839808
GaussianNB,0.9957219979701069,0.9999979955436257,3.2119418236220554e-11,0.002462216686028751,0.7963952399419394,7.081856829849187e-07,0.016341789181635757,0.7635027730356214,0.0005472711634952887,1.0,0.9518965038875367,8.757347114141112e-08
MultinomialNB,0.999999860295479,0.7284603287924412,5.131618204812227e-07,0.2570356045524296,0.999999860295479,0.0012283994988558922,0.5873262697344237,0.9999994211637583,0.11243262570962798,0.9518965038875367,1.0,0.00025615522385935563
NB+kNN-Ensemble,3.8937302462516143e-05,3.6629997923753876e-09,0.9914375741528737,0.7163574697728441,0.0014375095479953748,0.9999999522137322,0.3666909385496775,0.0018145819048785983,0.9019462808839808,8.757347114141112e-08,0.00025615522385935563,1.0
