classifier,BernoulliNB,ComplementNB,"DW-NB(k=15,CV-λ)","DW-NB(k=15,λ=0.5)","DW-NB(k=30,λ=0.5)","DW-NB(k=5,λ=0.5)",DW-NB(w1-only),DW-NB(w2-only),DW-NB(w3-only),GaussianNB,MultinomialNB,NB+kNN-Ensemble
BernoulliNB,1.0,0.9927249894633866,2.5476287746073467e-11,0.004501620280918828,0.9997010459904031,8.655940908486315e-08,0.002143987732669106,0.6663833058330217,0.00012659867667386138,0.9989190800887213,0.7933589784181629,0.029908292110136014
ComplementNB,0.9927249894633866,1.0,3.1086244689504383e-15,2.2942122599567405e-05,0.7285518453610266,3.735600717647003e-11,8.707599210455719e-06,0.06481395949715774,2.437440124181123e-07,0.9999999996313607,0.9999231384541147,0.00030205040907849146
"DW-NB(k=15,CV-λ)",2.5476287746073467e-11,3.1086244689504383e-15,1.0,0.04360452884070043,7.1281412994395055e-09,0.9894657420197104,0.07543205469511316,1.1524226641412838e-05,0.3354452045931998,1.84297022087776e-14,2.220446049250313e-16,0.007101381894723868
"DW-NB(k=15,λ=0.5)",0.004501620280918828,2.2942122599567405e-05,0.04360452884070043,1.0,0.07265166453336314,0.6104227047683999,0.9999999999557065,0.7537497705806506,0.9997010459904031,7.104653625433777e-05,4.5447320551339487e-07,0.9999964301457509
"DW-NB(k=30,λ=0.5)",0.9997010459904031,0.7285518453610266,7.1281412994395055e-09,0.07265166453336314,1.0,9.341983358224226e-06,0.04185481380678713,0.9863229240674937,0.004501620280918828,0.8558649686875622,0.25204133360329406,0.26617456083970714
"DW-NB(k=5,λ=0.5)",8.655940908486315e-08,3.735600717647003e-11,0.9894657420197104,0.6104227047683999,9.341983358224226e-06,1.0,0.7370604768101985,0.0032915006477439723,0.9778313111384108,1.8447721128467265e-10,1.7030821197749901e-13,0.25904840719216826
DW-NB(w1-only),0.002143987732669106,8.707599210455719e-06,0.07543205469511316,0.9999999999557065,0.04185481380678713,0.7370604768101985,1.0,0.6292697749559657,0.9999765770774505,2.81103727104437e-05,1.516853607164137e-07,0.9999231384541147
DW-NB(w2-only),0.6663833058330217,0.06481395949715774,1.1524226641412838e-05,0.7537497705806506,0.9863229240674937,0.0032915006477439723,0.6292697749559657,1.0,0.21881935131520214,0.12011257666865738,0.005810991405659216,0.9657441144982354
DW-NB(w3-only),0.00012659867667386138,2.437440124181123e-07,0.3354452045931998,0.9997010459904031,0.004501620280918828,0.9778313111384108,0.9999765770774505,0.21881935131520214,1.0,9.043073960768311e-07,2.7484532427735076e-09,0.9760877169799076
GaussianNB,0.9989190800887213,0.9999999996313607,1.84297022087776e-14,7.104653625433777e-05,0.8558649686875622,1.8447721128467265e-10,2.81103727104437e-05,0.12011257666865738,9.043073960768311e-07,1.0,0.9989190800887213,0.0008271106911049708
MultinomialNB,0.7933589784181629,0.9999231384541147,2.220446049250313e-16,4.5447320551339487e-07,0.25204133360329406,1.7030821197749901e-13,1.516853607164137e-07,0.005810991405659216,2.7484532427735076e-09,0.9989190800887213,1.0,8.707599210455719e-06
NB+kNN-Ensemble,0.029908292110136014,0.00030205040907849146,0.007101381894723868,0.9999964301457509,0.26617456083970714,0.25904840719216826,0.9999231384541147,0.9657441144982354,0.9760877169799076,0.0008271106911049708,8.707599210455719e-06,1.0
