classifier,BernoulliNB,ComplementNB,"DW-NB(k=15,CV-λ)","DW-NB(k=15,λ=0.5)","DW-NB(k=30,λ=0.5)","DW-NB(k=5,λ=0.5)",DW-NB(w1-only),DW-NB(w2-only),DW-NB(w3-only),GaussianNB,MultinomialNB,NB+kNN-Ensemble
BernoulliNB,1.0,0.14669467146339765,4.440892098500626e-16,0.011014700517833376,0.999277994629198,5.8414480449076045e-05,0.03696345847421201,0.9553082416866545,0.004274902650700296,0.26617456083970636,0.9994555993499277,4.157695510098591e-08
ComplementNB,0.14669467146339765,1.0,2.220446049250313e-16,2.7484532427735076e-09,0.009081696842404452,4.32542890393961e-13,2.7503885058344224e-08,0.0009278583003677898,5.053948370914441e-10,0.9999999978406201,0.010005869378520993,2.220446049250313e-16
"DW-NB(k=15,CV-λ)",4.440892098500626e-16,2.220446049250313e-16,1.0,3.676601915936217e-05,3.176348073452573e-13,0.007840545432271973,5.689659734353647e-06,2.314182179219415e-11,0.00012659867667386138,2.220446049250313e-16,2.582378755278114e-13,0.3192845073827778
"DW-NB(k=15,λ=0.5)",0.011014700517833376,2.7484532427735076e-09,3.676601915936217e-05,1.0,0.16671800396893977,0.9894657420197104,0.9999999447439004,0.49611463149957646,0.999999998763108,1.5314863488491426e-08,0.1564703999994379,0.36044236611640224
"DW-NB(k=30,λ=0.5)",0.999277994629198,0.009081696842404452,3.176348073452573e-13,0.16671800396893977,1.0,0.0032915006477439723,0.352012670109754,0.9999924317462522,0.087440040027004,0.02302099030703375,1.0,7.561236999631404e-06
"DW-NB(k=5,λ=0.5)",5.8414480449076045e-05,4.32542890393961e-13,0.007840545432271973,0.9894657420197104,0.0032915006477439723,1.0,0.927824393942103,0.026266515808277213,0.9986030430266283,3.270050896730936e-12,0.0029605307551130444,0.9824772857904495
DW-NB(w1-only),0.03696345847421201,2.7503885058344224e-08,5.689659734353647e-06,0.9999999447439004,0.352012670109754,0.927824393942103,1.0,0.7454613015137022,0.9999848398199935,1.4007395710002868e-07,0.3354452045931998,0.17202093429210985
DW-NB(w2-only),0.9553082416866545,0.0009278583003677898,2.314182179219415e-11,0.49611463149957646,0.9999924317462522,0.026266515808277213,0.7454613015137022,1.0,0.3273127741477617,0.0028069018967731285,0.9999879030090857,0.00013487021187386095
DW-NB(w3-only),0.004274902650700296,5.053948370914441e-10,0.00012659867667386138,0.999999998763108,0.087440040027004,0.9986030430266283,0.9999848398199935,0.3273127741477617,1.0,2.9996828354583727e-09,0.08125523533316903,0.5341543050180271
GaussianNB,0.26617456083970636,0.9999999978406201,2.220446049250313e-16,1.5314863488491426e-08,0.02302099030703375,3.270050896730936e-12,1.4007395710002868e-07,0.0028069018967731285,2.9996828354583727e-09,1.0,0.02514247459476493,2.220446049250313e-16
MultinomialNB,0.9994555993499277,0.010005869378520993,2.582378755278114e-13,0.1564703999994379,1.0,0.0029605307551130444,0.3354452045931998,0.9999879030090857,0.08125523533316903,0.02514247459476493,1.0,6.5612811885884526e-06
NB+kNN-Ensemble,4.157695510098591e-08,2.220446049250313e-16,0.3192845073827778,0.36044236611640224,7.561236999631404e-06,0.9824772857904495,0.17202093429210985,0.00013487021187386095,0.5341543050180271,2.220446049250313e-16,6.5612811885884526e-06,1.0
