classifier,BernoulliNB,ComplementNB,"DW-NB(k=15,CV-λ)","DW-NB(k=15,λ=0.5)","DW-NB(k=30,λ=0.5)","DW-NB(k=5,λ=0.5)",DW-NB(w1-only),DW-NB(w2-only),DW-NB(w3-only),GaussianNB,MultinomialNB,NB+kNN-Ensemble
BernoulliNB,1.0,0.11977158519661657,0.021792306595655564,0.9999999896324151,0.9837244774602548,0.37745252308931043,0.9999431474975508,0.9999999999889716,0.8938604434679086,0.2782384726981999,0.9999993725702913,0.7710597257808142
ComplementNB,0.11977158519661657,1.0,5.841206740520022e-09,0.05083689976715633,0.868106811593615,4.239558333951621e-06,0.014294176191508079,0.07710695051462857,0.00026002168880823184,0.9999999261452066,0.3258676614612226,8.115679073505966e-05
"DW-NB(k=15,CV-λ)",0.021792306595655564,5.841206740520022e-09,1.0,0.05742873913118618,0.00010920820031756762,0.9954901760606976,0.16237305628445042,0.03710981270492342,0.7710597257808147,5.971299377183215e-08,0.004244349288529348,0.8938604434679089
"DW-NB(k=15,λ=0.5)",0.9999999896324151,0.05083689976715633,0.05742873913118618,1.0,0.9228536958756791,0.5924122180778499,0.9999998682210487,0.999999999997445,0.9737545727704869,0.13985173473954238,0.999868072056256,0.9161719031573916
"DW-NB(k=30,λ=0.5)",0.9837244774602548,0.868106811593615,0.00010920820031756762,0.9228536958756791,1.0,0.01149578584181743,0.7329296159607741,0.9596802528838914,0.13985173473954238,0.9737545727704869,0.9996411366361193,0.07277973879158772
"DW-NB(k=5,λ=0.5)",0.37745252308931043,4.239558333951621e-06,0.9954901760606976,0.5924122180778499,0.01149578584181743,1.0,0.8389437461862722,0.48963545476263826,0.9997172436931023,2.9353326053138673e-05,0.1470819767603524,0.9999921524764042
DW-NB(w1-only),0.9999431474975508,0.014294176191508079,0.16237305628445042,0.9999998682210487,0.7329296159607741,0.8389437461862722,1.0,0.9999963656748588,0.9984228451022656,0.047789381223750316,0.9938330287501669,0.9890196095400176
DW-NB(w2-only),0.9999999999889716,0.07710695051462857,0.03710981270492342,0.999999999997445,0.9596802528838914,0.48963545476263826,0.9999963656748588,1.0,0.9459467559337617,0.19636596109303983,0.9999840336447661,0.8587598780198812
DW-NB(w3-only),0.8938604434679086,0.00026002168880823184,0.7710597257808147,0.9737545727704869,0.13985173473954238,0.9997172436931023,0.9984228451022656,0.9459467559337617,1.0,0.0013249960809801342,0.6360623220265227,0.9999999990781481
GaussianNB,0.2782384726981999,0.9999999261452066,5.971299377183215e-08,0.13985173473954238,0.9737545727704869,2.9353326053138673e-05,0.047789381223750316,0.19636596109303983,0.0013249960809801342,1.0,0.5777274591692065,0.000454669909089489
MultinomialNB,0.9999993725702913,0.3258676614612226,0.004244349288529348,0.999868072056256,0.9996411366361193,0.1470819767603524,0.9938330287501669,0.9999840336447661,0.6360623220265227,0.5777274591692065,1.0,0.46074580799493425
NB+kNN-Ensemble,0.7710597257808142,8.115679073505966e-05,0.8938604434679089,0.9161719031573916,0.07277973879158772,0.9999921524764042,0.9890196095400176,0.8587598780198812,0.9999999990781481,0.000454669909089489,0.46074580799493425,1.0
