classifier,BernoulliNB,ComplementNB,"DW-NB(k=15,CV-λ)","DW-NB(k=15,λ=0.5)","DW-NB(k=30,λ=0.5)","DW-NB(k=5,λ=0.5)",DW-NB(w1-only),DW-NB(w2-only),DW-NB(w3-only),GaussianNB,MultinomialNB,NB+kNN-Ensemble
BernoulliNB,1.0,2.220446049250313e-16,6.657009901589461e-05,0.004988712392709704,0.009081696842404452,0.016036142592225744,0.016036142592225744,0.02743456670027422,0.08430155831575759,0.12011257666865738,2.220446049250313e-16,0.9999765770774505
ComplementNB,2.220446049250313e-16,1.0,2.220446049250313e-16,2.1421528106913e-08,7.76549879955013e-09,2.7484532427735076e-09,2.7484532427735076e-09,9.497681530135083e-10,7.252320965989156e-11,2.8041569066772354e-11,0.9999999998096463,2.220446049250313e-16
"DW-NB(k=15,CV-λ)",6.657009901589461e-05,2.220446049250313e-16,1.0,2.220446049250313e-16,4.440892098500626e-16,1.5543122344752192e-15,1.5543122344752192e-15,5.10702591327572e-15,1.0080825063596421e-13,2.8621549574836536e-13,2.220446049250313e-16,0.0012326109048926837
"DW-NB(k=15,λ=0.5)",0.004988712392709704,2.1421528106913e-08,2.220446049250313e-16,1.0,0.9999999999917966,0.9999999844544627,0.9999999844544627,0.9999988175960504,0.9995941478158752,0.9984175696090876,7.983984617876416e-08,0.0003410041370854877
"DW-NB(k=30,λ=0.5)",0.009081696842404452,7.76549879955013e-09,4.440892098500626e-16,0.9999999999917966,1.0,0.9999999999917966,0.9999999999917966,0.9999999844544627,0.9999473346399971,0.9997010459904031,2.9883436947208963e-08,0.0006951348102642863
"DW-NB(k=5,λ=0.5)",0.016036142592225744,2.7484532427735076e-09,1.5543122344752192e-15,0.9999999844544627,0.9999999999917966,1.0,1.0,0.9999999999917966,0.9999964301457509,0.9999645434688826,1.0919914528173535e-08,0.0013790494406031861
DW-NB(w1-only),0.016036142592225744,2.7484532427735076e-09,1.5543122344752192e-15,0.9999999844544627,0.9999999999917966,1.0,1.0,0.9999999999917966,0.9999964301457509,0.9999645434688826,1.0919914528173535e-08,0.0013790494406031861
DW-NB(w2-only),0.02743456670027422,9.497681530135083e-10,5.10702591327572e-15,0.9999988175960504,0.9999999844544627,0.9999999999917966,0.9999999999917966,1.0,0.999999918371272,0.9999979124692552,3.895861300229342e-09,0.002660715258308244
DW-NB(w3-only),0.08430155831575759,7.252320965989156e-11,1.0080825063596421e-13,0.9995941478158752,0.9999473346399971,0.9999964301457509,0.9999964301457509,0.999999918371272,1.0,0.9999999999988871,3.20452331337151e-10,0.011014700517833376
GaussianNB,0.12011257666865738,2.8041569066772354e-11,2.8621549574836536e-13,0.9984175696090876,0.9997010459904031,0.9999645434688826,0.9999645434688826,0.9999979124692552,0.9999999999988871,1.0,1.2723933018321532e-10,0.017576569605179504
MultinomialNB,2.220446049250313e-16,0.9999999998096463,2.220446049250313e-16,7.983984617876416e-08,2.9883436947208963e-08,1.0919914528173535e-08,1.0919914528173535e-08,3.895861300229342e-09,3.20452331337151e-10,1.2723933018321532e-10,1.0,2.220446049250313e-16
NB+kNN-Ensemble,0.9999765770774505,2.220446049250313e-16,0.0012326109048926837,0.0003410041370854877,0.0006951348102642863,0.0013790494406031861,0.0013790494406031861,0.002660715258308244,0.011014700517833376,0.017576569605179504,2.220446049250313e-16,1.0
