classifier,BernoulliNB,ComplementNB,"DW-NB(k=15,CV-λ)","DW-NB(k=15,λ=0.5)","DW-NB(k=30,λ=0.5)","DW-NB(k=5,λ=0.5)",DW-NB(w1-only),DW-NB(w2-only),DW-NB(w3-only),GaussianNB,MultinomialNB,NB+kNN-Ensemble
BernoulliNB,1.0,0.9927249894633865,1.0169175967966737e-07,0.08125523533316903,0.9999999999557065,3.69483215756361e-06,0.14198128794201714,0.9933955329326873,0.002660715258308244,0.9874438833979845,0.6104227047683995,0.403929513801078
ComplementNB,0.9927249894633865,1.0,4.5189740838225134e-11,0.0013039015614103588,0.9984175696090876,3.273333382125543e-09,0.003121944789317377,0.49611463149957646,1.1524226641412838e-05,0.9999999999999959,0.9982116022054777,0.020135620847588243
"DW-NB(k=15,CV-λ)",1.0169175967966737e-07,4.5189740838225134e-11,1.0,0.12852546396223108,3.24634497061993e-08,0.9999811058620459,0.07265166453336314,5.8414480449076045e-05,0.7199401028025313,2.5476287746073467e-11,2.298161660974074e-14,0.014617877264078816
"DW-NB(k=15,λ=0.5)",0.08125523533316903,0.0013039015614103588,0.12852546396223108,1.0,0.04729276048638387,0.45858900564642346,0.9999999998096463,0.7112300819782951,0.9982116022054777,0.0009278583003677898,1.1524226641412838e-05,0.9999231384541147
"DW-NB(k=30,λ=0.5)",0.9999999999557065,0.9984175696090876,3.24634497061993e-08,0.04729276048638387,1.0,1.317515493703958e-06,0.08744004002700423,0.9778313111384109,0.0012326109048926837,0.996808945618203,0.7370604768101982,0.2882562037147198
"DW-NB(k=5,λ=0.5)",3.69483215756361e-06,3.273333382125543e-09,0.9999811058620459,0.45858900564642346,1.317515493703958e-06,1.0,0.319284507382777,0.0010400848490159653,0.9722861924505443,1.9338323165030147e-09,2.9600766282555924e-12,0.1009499734573438
DW-NB(w1-only),0.14198128794201714,0.003121944789317377,0.07265166453336314,0.9999999998096463,0.08744004002700423,0.319284507382777,1.0,0.8363792781921715,0.9903735763170338,0.0022635757316720184,3.438870746885758e-05,0.9999979124692552
DW-NB(w2-only),0.9933955329326873,0.49611463149957646,5.8414480449076045e-05,0.7112300819782951,0.9778313111384109,0.0010400848490159653,0.8363792781921715,1.0,0.12426414350941506,0.440116381255083,0.0533224994723962,0.9824772857904495
DW-NB(w3-only),0.002660715258308244,1.1524226641412838e-05,0.7199401028025313,0.9982116022054777,0.0012326109048926837,0.9722861924505443,0.9903735763170338,0.12426414350941506,1.0,7.561236999631404e-06,3.82917971775143e-08,0.8796355498370066
GaussianNB,0.9874438833979845,0.9999999999999959,2.5476287746073467e-11,0.0009278583003677898,0.996808945618203,1.9338323165030147e-09,0.0022635757316720184,0.440116381255083,7.561236999631404e-06,1.0,0.9991718957992142,0.015312271977391823
MultinomialNB,0.6104227047683995,0.9982116022054777,2.298161660974074e-14,1.1524226641412838e-05,0.7370604768101982,2.9600766282555924e-12,3.438870746885758e-05,0.0533224994723962,3.82917971775143e-08,0.9991718957992142,1.0,0.0003846974329082542
NB+kNN-Ensemble,0.403929513801078,0.020135620847588243,0.014617877264078816,0.9999231384541147,0.2882562037147198,0.1009499734573438,0.9999979124692552,0.9824772857904495,0.8796355498370066,0.015312271977391823,0.0003846974329082542,1.0
