classifier,BernoulliNB,ComplementNB,"DW-NB(k=15,CV-λ)","DW-NB(k=15,λ=0.5)","DW-NB(k=30,λ=0.5)","DW-NB(k=5,λ=0.5)",DW-NB(w1-only),DW-NB(w2-only),DW-NB(w3-only),GaussianNB,MultinomialNB,NB+kNN-Ensemble
BernoulliNB,1.0,0.9999988175960504,1.3243981262456295e-05,0.9999999844544627,0.9997010459904031,0.999999918371272,0.9999879030090857,0.9955925442458917,0.9993721890463465,0.00013487021187386095,0.3436793666986149,2.5309594753331055e-08
ComplementNB,0.9999988175960504,1.0,9.75328224073202e-07,0.9997825712157206,0.9999999631695717,0.9999999999999037,0.9964393286952792,0.9999811058620459,0.9742405550737179,0.0011649938043735153,0.12011257666865738,1.1356658946581888e-09
"DW-NB(k=15,CV-λ)",1.3243981262456295e-05,9.75328224073202e-07,1.0,6.657009901589461e-05,1.2932975390622659e-07,1.7749439781278298e-06,0.0002514550546496297,2.3286487849105697e-08,0.0009278583003677898,2.220446049250313e-16,0.2252200536420601,0.9960346913933499
"DW-NB(k=15,λ=0.5)",0.9999999844544627,0.9997825712157206,6.657009901589461e-05,1.0,0.9940146281950425,0.9999473346399971,0.9999999963338219,0.9657441144982354,0.9999924317462522,2.81103727104437e-05,0.5628214120225881,1.7778622385389298e-07
"DW-NB(k=30,λ=0.5)",0.9997010459904031,0.9999999631695717,1.2932975390622659e-07,0.9940146281950425,1.0,0.9999993535561029,0.9657441144982354,0.9999999963338219,0.8796355498370061,0.004739396192754208,0.045416619295558514,1.0556711060871748e-10
"DW-NB(k=5,λ=0.5)",0.999999918371272,0.9999999999999037,1.7749439781278298e-06,0.9999473346399971,0.9999993535561029,1.0,0.9986030430266283,0.9999077218964039,0.9863229240674937,0.0007367430169258338,0.1564703999994379,2.306204671675971e-09
DW-NB(w1-only),0.9999879030090857,0.9964393286952792,0.0002514550546496297,0.9999999963338219,0.9657441144982354,0.9986030430266283,1.0,0.8851768278973704,0.9999999939312595,6.5612811885884526e-06,0.7537497705806506,9.043073960768311e-07
DW-NB(w2-only),0.9955925442458917,0.9999811058620459,2.3286487849105697e-08,0.9657441144982354,0.9999999963338219,0.9999077218964039,0.8851768278973704,1.0,0.7285518453610266,0.013313421968608963,0.01839532427274282,1.4277135029772126e-11
DW-NB(w3-only),0.9993721890463465,0.9742405550737179,0.0009278583003677898,0.9999924317462522,0.8796355498370061,0.9863229240674937,0.9999999939312595,0.7285518453610266,1.0,1.317515493703958e-06,0.9008318782221255,4.588541872796448e-06
GaussianNB,0.00013487021187386095,0.0011649938043735153,2.220446049250313e-16,2.81103727104437e-05,0.004739396192754208,0.0007367430169258338,6.5612811885884526e-06,0.013313421968608963,1.317515493703958e-06,1.0,3.0859981237085776e-11,2.220446049250313e-16
MultinomialNB,0.3436793666986149,0.12011257666865738,0.2252200536420601,0.5628214120225881,0.045416619295558514,0.1564703999994379,0.7537497705806506,0.01839532427274282,0.9008318782221255,3.0859981237085776e-11,1.0,0.009081696842404452
NB+kNN-Ensemble,2.5309594753331055e-08,1.1356658946581888e-09,0.9960346913933499,1.7778622385389298e-07,1.0556711060871748e-10,2.306204671675971e-09,9.043073960768311e-07,1.4277135029772126e-11,4.588541872796448e-06,2.220446049250313e-16,0.009081696842404452,1.0
