classifier,BernoulliNB,ComplementNB,"DW-NB(k=15,CV-λ)","DW-NB(k=15,λ=0.5)","DW-NB(k=30,λ=0.5)","DW-NB(k=5,λ=0.5)",DW-NB(w1-only),DW-NB(w2-only),DW-NB(w3-only),GaussianNB,MultinomialNB,NB+kNN-Ensemble
BernoulliNB,1.0,0.6571915289203707,6.628031457012185e-14,0.0029605307551130444,0.9999231384541147,3.24634497061993e-08,0.002143987732669106,0.6479382985957094,6.236463339603926e-05,0.9492976471785368,0.9999964301457509,0.011014700517833376
ComplementNB,0.6571915289203707,1.0,2.220446049250313e-16,6.789110695848422e-08,0.20035283562219353,8.659739592076221e-15,4.157695510098591e-08,0.0022635757316720184,2.433196977236207e-10,0.9999879030090857,0.9317759349726347,5.301784142819344e-07
"DW-NB(k=15,CV-λ)",6.628031457012185e-14,2.220446049250313e-16,1.0,0.0040587785514130115,1.573019492440153e-11,0.8155222717950164,0.005523982754630619,1.642317972727625e-07,0.07543205469511316,2.220446049250313e-16,1.1102230246251565e-15,0.0009824640356442815
"DW-NB(k=15,λ=0.5)",0.0029605307551130444,6.789110695848422e-08,0.0040587785514130115,1.0,0.03853590444973709,0.5723743027606029,0.9999999999999959,0.7024267431416611,0.9995292649691204,2.2155576656635034e-06,0.00030205040907849146,0.9999999631695717
"DW-NB(k=30,λ=0.5)",0.9999231384541147,0.20035283562219353,1.573019492440153e-11,0.03853590444973709,1.0,2.2155576656635034e-06,0.029908292110136014,0.9702210282462567,0.0016295980650449238,0.5723743027606045,0.9874438833979846,0.10457487761972051
"DW-NB(k=5,λ=0.5)",3.24634497061993e-08,8.659739592076221e-15,0.8155222717950164,0.5723743027606029,2.2155576656635034e-06,1.0,0.6292697749559647,0.0019222975738067971,0.9760877169799074,9.78994663114463e-13,1.0386521642757884e-09,0.33544520459319926
DW-NB(w1-only),0.002143987732669106,4.157695510098591e-08,0.005523982754630619,0.9999999999999959,0.029908292110136014,0.6292697749559647,1.0,0.6479382985957094,0.9998155000088013,1.4197873700050323e-06,0.0002089902237341068,0.9999996602703608
DW-NB(w2-only),0.6479382985957094,0.0022635757316720184,1.642317972727625e-07,0.7024267431416611,0.9702210282462567,0.0019222975738067971,0.6479382985957094,1.0,0.16671800396893977,0.021059528844115216,0.2882562037147198,0.8905566349506417
DW-NB(w3-only),6.236463339603926e-05,2.433196977236207e-10,0.07543205469511316,0.9995292649691204,0.0016295980650449238,0.9760877169799074,0.9998155000088013,0.16671800396893977,1.0,1.2936319015999231e-08,3.972179708378043e-06,0.9903735763170338
GaussianNB,0.9492976471785368,0.9999879030090857,2.220446049250313e-16,2.2155576656635034e-06,0.5723743027606045,9.78994663114463e-13,1.4197873700050323e-06,0.021059528844115216,1.2936319015999231e-08,1.0,0.9986030430266283,1.4194144859924762e-05
MultinomialNB,0.9999964301457509,0.9317759349726347,1.1102230246251565e-15,0.00030205040907849146,0.9874438833979846,1.0386521642757884e-09,0.0002089902237341068,0.2882562037147198,3.972179708378043e-06,0.9986030430266283,1.0,0.0013790494406031861
NB+kNN-Ensemble,0.011014700517833376,5.301784142819344e-07,0.0009824640356442815,0.9999999631695717,0.10457487761972051,0.33544520459319926,0.9999996602703608,0.8905566349506417,0.9903735763170338,1.4194144859924762e-05,0.0013790494406031861,1.0
