classifier,BernoulliNB,ComplementNB,"DW-NB(k=15,CV-λ)","DW-NB(k=15,λ=0.5)","DW-NB(k=30,λ=0.5)","DW-NB(k=5,λ=0.5)",DW-NB(w1-only),DW-NB(w2-only),DW-NB(w3-only),GaussianNB,MultinomialNB,NB+kNN-Ensemble
BernoulliNB,1.0,0.8770740198691158,4.641350426215496e-08,0.17879424042910685,0.9997789036315444,1.40516231660337e-05,0.05404789782176378,0.8770740198691158,0.002830367911489051,0.9992969135532465,0.9999984283657884,0.5630098474163655
ComplementNB,0.8770740198691158,1.0,2.829958489769524e-13,0.000454669909089489,0.36421759299928924,4.3708792141217145e-10,5.4305636453366724e-05,0.03710981270492342,6.041968563241795e-07,0.9997172436931023,0.9890196095400176,0.00628841342250841
"DW-NB(k=15,CV-λ)",4.641350426215496e-08,2.829958489769524e-13,1.0,0.03710981270492375,4.7371323200762205e-06,0.9980971722952527,0.13289297978234227,0.000454669909089489,0.6216004150621943,1.2180212394241607e-10,1.995091092332757e-09,0.003917718294803363
"DW-NB(k=15,λ=0.5)",0.17879424042910685,0.000454669909089489,0.03710981270492375,1.0,0.6786718011368612,0.41834951457548175,0.9999993725702913,0.9938330287501669,0.9837244774602548,0.012368065134488071,0.047789381223750316,0.9999776761731416
"DW-NB(k=30,λ=0.5)",0.9997789036315444,0.36421759299928924,4.7371323200762205e-06,0.6786718011368612,1.0,0.0006541163253094284,0.36421759299928924,0.9991317685983012,0.047789381223750316,0.885658962688863,0.9837244774602547,0.9636289704547054
"DW-NB(k=5,λ=0.5)",1.40516231660337e-05,4.3708792141217145e-10,0.9980971722952527,0.41834951457548175,0.0006541163253094284,1.0,0.7329296159607737,0.023335866092451862,0.9938330287501669,8.687888575220626e-08,9.656311661387917e-07,0.10767796071999913
DW-NB(w1-only),0.05404789782176378,5.4305636453366724e-05,0.13289297978234227,0.9999993725702913,0.36421759299928924,0.7329296159607737,1.0,0.9228536958756788,0.9996411366361193,0.0022069355125463597,0.010679575805365715,0.9961687577096708
DW-NB(w2-only),0.8770740198691158,0.03710981270492342,0.000454669909089489,0.9938330287501669,0.9991317685983012,0.023335866092451862,0.9228536958756788,1.0,0.4183495145754823,0.30152633183179756,0.5777274591692065,0.9999975879312637
DW-NB(w3-only),0.002830367911489051,6.041968563241795e-07,0.6216004150621943,0.9837244774602548,0.047789381223750316,0.9938330287501669,0.9996411366361193,0.4183495145754823,1.0,4.9064557657962915e-05,0.00034451625367615257,0.7710597257808147
GaussianNB,0.9992969135532465,0.9997172436931023,1.2180212394241607e-10,0.012368065134488071,0.885658962688863,8.687888575220626e-08,0.0022069355125463597,0.30152633183179756,4.9064557657962915e-05,1.0,0.9999997721233532,0.09136714723168227
MultinomialNB,0.9999984283657884,0.9890196095400176,1.995091092332757e-09,0.047789381223750316,0.9837244774602547,9.656311661387917e-07,0.010679575805365715,0.5777274591692065,0.00034451625367615257,0.9999997721233532,1.0,0.24538120629401494
NB+kNN-Ensemble,0.5630098474163655,0.00628841342250841,0.003917718294803363,0.9999776761731416,0.9636289704547054,0.10767796071999913,0.9961687577096708,0.9999975879312637,0.7710597257808147,0.09136714723168227,0.24538120629401494,1.0
