classifier,BernoulliNB,ComplementNB,"DW-NB(k=15,CV-λ)","DW-NB(k=15,λ=0.5)","DW-NB(k=30,λ=0.5)","DW-NB(k=5,λ=0.5)",DW-NB(w1-only),DW-NB(w2-only),DW-NB(w3-only),GaussianNB,MultinomialNB,NB+kNN-Ensemble
BernoulliNB,1.0,0.9459467559337618,0.001573535236024881,8.200484313714007e-06,1.563035810236979e-05,1.2627152200628267e-05,3.3321871617530974e-07,2.160013174101749e-06,0.0018652483963285116,0.9999993725702913,0.9765988632197351,2.6190068325160354e-07
ComplementNB,0.9459467559337618,1.0,8.593381004562417e-07,8.767222503536232e-10,1.995091092332757e-09,1.5191977675854673e-09,1.566347052062156e-11,1.622432188597145e-10,1.0846366533812102e-06,0.745912321871006,0.9999999999889716,1.1611822614554512e-11
"DW-NB(k=15,CV-λ)",0.001573535236024881,8.593381004562417e-07,1.0,0.9954901760606976,0.9984228451022656,0.9977163513937618,0.8938604434679086,0.9765988632197351,1.0,0.009202885983641607,2.160013174101749e-06,0.8770740198691158
"DW-NB(k=15,λ=0.5)",8.200484313714007e-06,8.767222503536232e-10,0.9954901760606976,1.0,0.9999999999995286,0.9999999999999944,0.9999921524764042,0.9999999990781481,0.9938330287501669,8.115679073505966e-05,2.6159288069038666e-09,0.9999840336447661
"DW-NB(k=30,λ=0.5)",1.563035810236979e-05,1.995091092332757e-09,0.9984228451022656,0.9999999999995286,1.0,1.0,0.9999431474975508,0.9999999261452066,0.9977163513937618,0.0001463929904530481,5.841206740520022e-09,0.999899406601537
"DW-NB(k=5,λ=0.5)",1.2627152200628267e-05,1.5191977675854673e-09,0.9977163513937618,0.9999999999999944,1.0,1.0,0.9999691672081741,0.9999999791905517,0.9967601531204927,0.00012046544696642236,4.4760611883631896e-09,0.9999431474975508
DW-NB(w1-only),3.3321871617530974e-07,1.566347052062156e-11,0.8938604434679086,0.9999921524764042,0.9999431474975508,0.9999691672081741,1.0,0.9999999791905517,0.8770740198691155,4.239558333951621e-06,5.105127431903611e-11,1.0
DW-NB(w2-only),2.160013174101749e-06,1.622432188597145e-10,0.9765988632197351,0.9999999990781481,0.9999999261452066,0.9999999791905517,0.9999999791905517,1.0,0.9706535102124524,2.3831261825257855e-05,5.027702698612302e-10,0.9999999261452066
DW-NB(w3-only),0.0018652483963285116,1.0846366533812102e-06,1.0,0.9938330287501669,0.9977163513937618,0.9967601531204927,0.8770740198691155,0.9706535102124524,1.0,0.010679575805365715,2.708821584929133e-06,0.8587598780198812
GaussianNB,0.9999993725702913,0.745912321871006,0.009202885983641607,8.115679073505966e-05,0.0001463929904530481,0.00012046544696642236,4.239558333951621e-06,2.3831261825257855e-05,0.010679575805365715,1.0,0.838943746186272,3.3915815770280133e-06
MultinomialNB,0.9765988632197351,0.9999999999889716,2.160013174101749e-06,2.6159288069038666e-09,5.841206740520022e-09,4.4760611883631896e-09,5.105127431903611e-11,5.027702698612302e-10,2.708821584929133e-06,0.838943746186272,1.0,3.8084868592136445e-11
NB+kNN-Ensemble,2.6190068325160354e-07,1.1611822614554512e-11,0.8770740198691158,0.9999840336447661,0.999899406601537,0.9999431474975508,1.0,0.9999999261452066,0.8587598780198812,3.3915815770280133e-06,3.8084868592136445e-11,1.0
