classifier,BernoulliNB,ComplementNB,"DW-NB(k=15,CV-λ)","DW-NB(k=15,λ=0.5)","DW-NB(k=30,λ=0.5)","DW-NB(k=5,λ=0.5)",DW-NB(w1-only),DW-NB(w2-only),DW-NB(w3-only),GaussianNB,MultinomialNB,NB+kNN-Ensemble
BernoulliNB,1.0,0.32731277414776283,2.220446049250313e-16,0.004501620280918828,0.9999645434688826,1.4076609433644194e-08,0.0023893627701315756,0.6479382985957081,5.4704837429309094e-05,0.9008318782221258,0.9999999998096463,0.011014700517833376
ComplementNB,0.32731277414776283,1.0,2.220446049250313e-16,6.542007602305944e-09,0.06734439949059978,2.220446049250313e-16,2.306204671675971e-09,0.00028419696785431103,6.5354388567584465e-12,0.9991718957992142,0.21254118413474643,2.9883436947208963e-08
"DW-NB(k=15,CV-λ)",2.220446049250313e-16,2.220446049250313e-16,1.0,5.122171408344922e-05,1.1879386363489175e-14,0.319284507382777,0.0001114861809843326,6.057219170685357e-10,0.004274902650700296,2.220446049250313e-16,4.440892098500626e-16,1.520984119507407e-05
"DW-NB(k=15,λ=0.5)",0.004501620280918828,6.542007602305944e-09,5.122171408344922e-05,1.0,0.045416619295558514,0.403929513801078,0.9999999999917966,0.7699722351069926,0.9982116022054777,1.6479263860169624e-06,0.010005869378520993,0.999999999313056
"DW-NB(k=30,λ=0.5)",0.9999645434688826,0.06734439949059978,1.1879386363489175e-14,0.045416619295558514,1.0,7.770102374848875e-07,0.02743456670027422,0.9607820459149496,0.0011649938043735153,0.49611463149957713,0.9999993535561029,0.09067241551534833
"DW-NB(k=5,λ=0.5)",1.4076609433644194e-08,2.220446049250313e-16,0.319284507382777,0.403929513801078,7.770102374848875e-07,1.0,0.5150905477741471,0.0011008745005672838,0.9581107163912687,1.0080825063596421e-13,5.3169047609102904e-08,0.25904840719216826
DW-NB(w1-only),0.0023893627701315756,2.306204671675971e-09,0.0001114861809843326,0.9999999999917966,0.02743456670027422,0.5150905477741471,1.0,0.6663833058330217,0.9996511357298598,6.671821083381602e-07,0.005523982754630619,0.9999998292218572
DW-NB(w2-only),0.6479382985957081,0.00028419696785431103,6.057219170685357e-10,0.7699722351069926,0.9607820459149496,0.0011008745005672838,0.6663833058330217,1.0,0.15647039999943824,0.012114859906653175,0.7856947569930025,0.8905566349506417
DW-NB(w3-only),5.4704837429309094e-05,6.5354388567584465e-12,0.004274902650700296,0.9982116022054777,0.0011649938043735153,0.9581107163912687,0.9996511357298598,0.15647039999943824,1.0,3.895861300229342e-09,0.00015298711214750682,0.9884903241580032
GaussianNB,0.9008318782221258,0.9991718957992142,2.220446049250313e-16,1.6479263860169624e-06,0.49611463149957713,1.0080825063596421e-13,6.671821083381602e-07,0.012114859906653175,3.895861300229342e-09,1.0,0.8008871253979744,6.11047136556131e-06
MultinomialNB,0.9999999998096463,0.21254118413474643,4.440892098500626e-16,0.010005869378520993,0.9999993535561029,5.3169047609102904e-08,0.005523982754630619,0.7856947569930025,0.00015298711214750682,0.8008871253979744,1.0,0.02302099030703375
NB+kNN-Ensemble,0.011014700517833376,2.9883436947208963e-08,1.520984119507407e-05,0.999999999313056,0.09067241551534833,0.25904840719216826,0.9999998292218572,0.8905566349506417,0.9884903241580032,6.11047136556131e-06,0.02302099030703375,1.0
