metric,classifier,avg_rank
accuracy,"DW-NB(k=15,CV-λ)",2.1666666666666665
accuracy,"DW-NB(k=5,λ=0.5)",4.06140350877193
accuracy,DW-NB(w3-only),4.921052631578948
accuracy,"DW-NB(k=15,λ=0.5)",5.4298245614035086
accuracy,DW-NB(w1-only),5.5701754385964914
accuracy,NB+kNN-Ensemble,5.745614035087719
accuracy,DW-NB(w2-only),6.754385964912281
accuracy,MultinomialNB,7.350877192982456
accuracy,"DW-NB(k=30,λ=0.5)",7.631578947368421
accuracy,BernoulliNB,8.482456140350877
accuracy,GaussianNB,9.710526315789474
accuracy,ComplementNB,10.175438596491228
auc_roc,"DW-NB(k=15,CV-λ)",2.5689655172413794
auc_roc,NB+kNN-Ensemble,3.6724137931034484
auc_roc,"DW-NB(k=5,λ=0.5)",4.0
auc_roc,DW-NB(w3-only),5.206896551724138
auc_roc,"DW-NB(k=15,λ=0.5)",5.5344827586206895
auc_roc,DW-NB(w1-only),6.0
auc_roc,DW-NB(w2-only),7.620689655172414
auc_roc,"DW-NB(k=30,λ=0.5)",7.672413793103448
auc_roc,MultinomialNB,8.03448275862069
auc_roc,BernoulliNB,8.39655172413793
auc_roc,GaussianNB,9.413793103448276
auc_roc,ComplementNB,9.879310344827585
balanced_accuracy,"DW-NB(k=15,CV-λ)",3.2017543859649122
balanced_accuracy,"DW-NB(k=5,λ=0.5)",4.008771929824562
balanced_accuracy,DW-NB(w3-only),4.894736842105263
balanced_accuracy,DW-NB(w1-only),5.315789473684211
balanced_accuracy,"DW-NB(k=15,λ=0.5)",5.43859649122807
balanced_accuracy,NB+kNN-Ensemble,5.7894736842105265
balanced_accuracy,DW-NB(w2-only),6.728070175438597
balanced_accuracy,"DW-NB(k=30,λ=0.5)",7.56140350877193
balanced_accuracy,BernoulliNB,8.105263157894736
balanced_accuracy,GaussianNB,8.728070175438596
balanced_accuracy,ComplementNB,8.87719298245614
balanced_accuracy,MultinomialNB,9.350877192982455
brier_score,"DW-NB(k=15,CV-λ)",2.219298245614035
brier_score,NB+kNN-Ensemble,3.9298245614035086
brier_score,"DW-NB(k=5,λ=0.5)",4.7894736842105265
brier_score,DW-NB(w3-only),5.4298245614035086
brier_score,"DW-NB(k=15,λ=0.5)",5.5964912280701755
brier_score,DW-NB(w1-only),5.833333333333333
brier_score,DW-NB(w2-only),7.131578947368421
brier_score,"DW-NB(k=30,λ=0.5)",7.508771929824562
brier_score,MultinomialNB,7.526315789473684
brier_score,BernoulliNB,8.105263157894736
brier_score,GaussianNB,9.87719298245614
brier_score,ComplementNB,10.052631578947368
ece,"DW-NB(k=15,CV-λ)",3.1578947368421053
ece,NB+kNN-Ensemble,4.614035087719298
ece,"DW-NB(k=5,λ=0.5)",5.491228070175438
ece,MultinomialNB,5.614035087719298
ece,DW-NB(w3-only),5.728070175438597
ece,DW-NB(w1-only),6.37719298245614
ece,"DW-NB(k=15,λ=0.5)",6.4035087719298245
ece,BernoulliNB,7.2105263157894735
ece,DW-NB(w2-only),7.447368421052632
ece,"DW-NB(k=30,λ=0.5)",7.5964912280701755
ece,ComplementNB,8.649122807017545
ece,GaussianNB,9.710526315789474
fit_time,ComplementNB,1.8070175438596492
fit_time,MultinomialNB,1.9473684210526316
