dataset,acc_w1,acc_w2,acc_w3,acc_all_three,best_single_component,best_single_acc,all_three_ge_best_single,all_minus_best_single
balance_scale,0.9023553507424475,0.900768049155146,0.903968253968254,0.900768049155146,w3,0.903968253968254,False,-0.0032002048131080096
banknote,0.9963503649635037,0.9934359462604464,0.9963503649635037,0.9963503649635037,w1,0.9963503649635037,True,0.0
breast_cancer,0.9350563909774436,0.9350563909774436,0.9420739348370928,0.9350563909774436,w3,0.9420739348370928,False,-0.007017543859649145
digits,0.8770080695220359,0.8764525139664805,0.8825760397268777,0.8792364990689012,w3,0.8825760397268777,False,-0.003339540657976481
ecoli,0.818716577540107,0.818716577540107,0.818716577540107,0.818716577540107,w1,0.818716577540107,True,0.0
glass,0.5844155844155845,0.5798701298701299,0.6077922077922078,0.5844155844155845,w3,0.6077922077922078,False,-0.023376623376623273
ionosphere,0.8946031746031746,0.8917460317460317,0.8974603174603175,0.8946031746031746,w3,0.8974603174603175,False,-0.0028571428571428914
iris,0.9533333333333334,0.9466666666666667,0.9533333333333334,0.9533333333333334,w1,0.9533333333333334,True,0.0
letter,0.84825,0.842,0.87135,0.8524,w3,0.87135,False,-0.01894999999999991
optdigits,0.8556939501779359,0.8555160142348754,0.8581850533807829,0.8587188612099643,w3,0.8581850533807829,True,0.000533807829181443
page_blocks,0.9502985761752892,0.9475573466419354,0.9481057927114053,0.9475580138512656,w1,0.9502985761752892,False,-0.002740562324023643
parkinsons,0.713421052631579,0.708421052631579,0.718421052631579,0.713421052631579,w3,0.718421052631579,False,-0.0050000000000000044
pendigits,0.9677048556539003,0.9677048556539003,0.9696154355198943,0.9684327901397966,w3,0.9696154355198943,False,-0.0011826453800977133
robot_navigation,0.7505444097187216,0.7230527270894244,0.7564105924656384,0.7402826225762006,w3,0.7564105924656384,False,-0.016127969889437765
satellite,0.8387247278382581,0.8384136858475895,0.841213063763608,0.8416796267496112,w3,0.841213063763608,True,0.0004665629860031162
segment,0.8969696969696971,0.8831168831168832,0.8887445887445887,0.8835497835497836,w1,0.8969696969696971,False,-0.013419913419913443
sonar,0.7069047619047619,0.7069047619047619,0.7211904761904762,0.7021428571428572,w3,0.7211904761904762,False,-0.01904761904761898
spambase,0.8274276148259926,0.8263416014335565,0.8274285579552958,0.8267763840422522,w3,0.8274285579552958,False,-0.0006521739130436188
transfusion,0.7552612612612613,0.762,0.7673693693693694,0.7646666666666666,w3,0.7673693693693694,False,-0.002702702702702786
vehicle,0.6183333333333334,0.6183193277310924,0.641904761904762,0.6242016806722689,w3,0.641904761904762,False,-0.01770308123249309
vowel,0.8606060606060606,0.7777777777777778,0.8969696969696971,0.8464646464646466,w3,0.8969696969696971,False,-0.0505050505050505
waveform,0.8099999999999999,0.8098000000000001,0.8096,0.8088,w1,0.8099999999999999,False,-0.0011999999999999789
wine,0.9833333333333334,0.9833333333333334,0.9777777777777779,0.9833333333333334,w1,0.9833333333333334,True,0.0
yeast,0.518152548521676,0.49186921821150004,0.512765282060584,0.4918782876836568,w1,0.518152548521676,False,-0.026274260838019203
