classifier_a,classifier_b,statistic,p_value,p_holm
BernoulliNB,ComplementNB,210.0,9.670833537431722e-07,3.578208408849737e-05
BernoulliNB,"DW-NB(k=15,CV-λ)",13.0,1.023580747309045e-10,6.653274857508792e-09
BernoulliNB,"DW-NB(k=15,λ=0.5)",328.0,7.473468093754305e-05,0.0018683670234385763
BernoulliNB,"DW-NB(k=30,λ=0.5)",379.0,0.0003772887569164445,0.007923063895245334
BernoulliNB,"DW-NB(k=5,λ=0.5)",249.0,4.4674673581942615e-06,0.00014742642282041064
BernoulliNB,DW-NB(w1-only),310.0,4.065946789144302e-05,0.0011384651009604047
BernoulliNB,DW-NB(w2-only),339.0,0.00010737639732988656,0.0025770335359172774
BernoulliNB,DW-NB(w3-only),310.0,4.065946789144302e-05,0.0011384651009604047
BernoulliNB,GaussianNB,743.0,0.5070584786814771,1.0
BernoulliNB,MultinomialNB,726.0,0.7123840584495851,1.0
BernoulliNB,NB+kNN-Ensemble,292.0,3.667527864612821e-05,0.001063583080737718
ComplementNB,"DW-NB(k=15,CV-λ)",1.0,5.4253667582425466e-11,3.5807420604400806e-09
ComplementNB,"DW-NB(k=15,λ=0.5)",160.0,1.187034123896755e-07,5.2229501451457215e-06
ComplementNB,"DW-NB(k=30,λ=0.5)",188.0,3.915608705798751e-07,1.527087395261513e-05
ComplementNB,"DW-NB(k=5,λ=0.5)",130.0,3.13299372922421e-08,1.503836990027621e-06
ComplementNB,DW-NB(w1-only),150.0,7.661104870243794e-08,3.5241082403121453e-06
ComplementNB,DW-NB(w2-only),165.0,1.4741831357635288e-07,6.338987483783174e-06
ComplementNB,DW-NB(w3-only),150.0,7.661104870243794e-08,3.5241082403121453e-06
ComplementNB,GaussianNB,363.0,0.00023086368209198547,0.00507900100602368
ComplementNB,MultinomialNB,272.0,3.0125309952218002e-05,0.00090375929856654
ComplementNB,NB+kNN-Ensemble,141.0,5.1387884594419565e-08,2.4152305759377195e-06
"DW-NB(k=15,CV-λ)","DW-NB(k=15,λ=0.5)",46.0,2.009752330539809e-09,1.1053637817968949e-07
"DW-NB(k=15,CV-λ)","DW-NB(k=30,λ=0.5)",40.0,9.574880858354903e-10,5.840677323596491e-08
"DW-NB(k=15,CV-λ)","DW-NB(k=5,λ=0.5)",56.5,2.2572690920637233e-09,1.2046287982829522e-07
"DW-NB(k=15,CV-λ)",DW-NB(w1-only),79.0,1.7527719359495056e-08,8.588582486152577e-07
"DW-NB(k=15,CV-λ)",DW-NB(w2-only),43.0,1.713749137572282e-09,9.596995170404779e-08
"DW-NB(k=15,CV-λ)",DW-NB(w3-only),49.0,2.355347651749315e-09,1.2046287982829522e-07
"DW-NB(k=15,CV-λ)",GaussianNB,10.0,6.265742221892206e-10,3.9474175997920895e-08
"DW-NB(k=15,CV-λ)",MultinomialNB,28.0,2.2351356611315054e-10,1.4304868231241635e-08
"DW-NB(k=15,CV-λ)",NB+kNN-Ensemble,42.0,1.6248725257424653e-09,9.261773396732052e-08
"DW-NB(k=15,λ=0.5)","DW-NB(k=30,λ=0.5)",81.0,1.992152246212597e-07,8.367039434092908e-06
"DW-NB(k=15,λ=0.5)","DW-NB(k=5,λ=0.5)",153.0,1.7486466978755078e-06,6.295128112351828e-05
"DW-NB(k=15,λ=0.5)",DW-NB(w1-only),451.0,0.6076096719374777,1.0
"DW-NB(k=15,λ=0.5)",DW-NB(w2-only),174.0,2.1741717684153328e-05,0.0006957349658929065
"DW-NB(k=15,λ=0.5)",DW-NB(w3-only),355.0,0.003888606823650321,0.05444049553110449
"DW-NB(k=15,λ=0.5)",GaussianNB,37.0,1.2436781851661132e-09,7.46206911099668e-08
"DW-NB(k=15,λ=0.5)",MultinomialNB,465.0,0.0040763428661557445,0.05444049553110449
"DW-NB(k=15,λ=0.5)",NB+kNN-Ensemble,642.0,0.8439505534380651,1.0
"DW-NB(k=30,λ=0.5)","DW-NB(k=5,λ=0.5)",129.0,3.3988081134218434e-07,1.3595232453687373e-05
"DW-NB(k=30,λ=0.5)",DW-NB(w1-only),126.0,2.94092261469761e-07,1.20577827202602e-05
"DW-NB(k=30,λ=0.5)",DW-NB(w2-only),365.0,0.0019163826687327355,0.03361318764110664
"DW-NB(k=30,λ=0.5)",DW-NB(w3-only),170.0,2.284342910039304e-06,7.995200185137564e-05
"DW-NB(k=30,λ=0.5)",GaussianNB,40.0,2.230794070894356e-09,1.2046287982829522e-07
"DW-NB(k=30,λ=0.5)",MultinomialNB,511.0,0.019227880000216427,0.2115066800023807
"DW-NB(k=30,λ=0.5)",NB+kNN-Ensemble,309.0,0.00018956648614446662,0.0043600291813227325
"DW-NB(k=5,λ=0.5)",DW-NB(w1-only),317.0,0.0007046255066244655,0.013387884625864845
"DW-NB(k=5,λ=0.5)",DW-NB(w2-only),159.0,5.058984045023861e-07,1.922413937109067e-05
"DW-NB(k=5,λ=0.5)",DW-NB(w3-only),243.0,2.877743941977409e-05,0.0008921006220129967
"DW-NB(k=5,λ=0.5)",GaussianNB,57.0,3.5845890902721695e-09,1.792294545136085e-07
"DW-NB(k=5,λ=0.5)",MultinomialNB,365.0,0.0004124019684701059,0.008248039369402117
"DW-NB(k=5,λ=0.5)",NB+kNN-Ensemble,515.0,0.03263625508097939,0.3263625508097939
DW-NB(w1-only),DW-NB(w2-only),143.0,6.755567160971948e-05,0.0017564474618527066
DW-NB(w1-only),DW-NB(w3-only),446.0,0.09767635229219547,0.8790871706297593
DW-NB(w1-only),GaussianNB,33.0,1.5220427989110284e-09,8.980052513575067e-08
DW-NB(w1-only),MultinomialNB,455.0,0.0031608629967225287,0.05057380794756046
DW-NB(w1-only),NB+kNN-Ensemble,623.0,0.7077060754186115,1.0
