classifier_a,classifier_b,statistic,p_value,p_holm
BernoulliNB,ComplementNB,37.0,0.00015679291057707078,0.006233155727386475
BernoulliNB,"DW-NB(k=15,CV-λ)",53.0,0.00015582889318466187,0.006233155727386475
BernoulliNB,"DW-NB(k=15,λ=0.5)",97.0,0.008007697761058807,0.15214625746011734
BernoulliNB,"DW-NB(k=30,λ=0.5)",102.0,0.011321667581796646,0.1698250137269497
BernoulliNB,"DW-NB(k=5,λ=0.5)",93.0,0.005994632840156555,0.12588728964328766
BernoulliNB,DW-NB(w1-only),98.0,0.008593697100877762,0.15214625746011734
BernoulliNB,DW-NB(w2-only),101.0,0.010578293353319168,0.1692526936531067
BernoulliNB,DW-NB(w3-only),97.0,0.008007697761058807,0.15214625746011734
BernoulliNB,GaussianNB,199.0,0.7013288475573063,1.0
BernoulliNB,MultinomialNB,145.0,0.12065461277961731,0.9236129224300385
BernoulliNB,NB+kNN-Ensemble,55.0,0.00019468367099761963,0.007203295826911926
ComplementNB,"DW-NB(k=15,CV-λ)",11.0,2.0489096641540527e-07,1.3522803783416748e-05
ComplementNB,"DW-NB(k=15,λ=0.5)",43.0,4.700571298599243e-05,0.002397291362285614
ComplementNB,"DW-NB(k=30,λ=0.5)",49.0,9.822472929954529e-05,0.004518337547779083
ComplementNB,"DW-NB(k=5,λ=0.5)",38.0,2.4273991584777832e-05,0.001286521553993225
ComplementNB,DW-NB(w1-only),46.0,6.843358278274536e-05,0.0032848119735717773
ComplementNB,DW-NB(w2-only),47.0,7.73109495639801e-05,0.003633614629507065
ComplementNB,DW-NB(w3-only),43.0,4.700571298599243e-05,0.002397291362285614
ComplementNB,GaussianNB,144.0,0.1154516153037548,0.9236129224300385
ComplementNB,MultinomialNB,101.0,0.02019607063179433,0.24235284758153194
ComplementNB,NB+kNN-Ensemble,8.0,8.9780321969436e-06,0.0005370768218782352
"DW-NB(k=15,CV-λ)","DW-NB(k=15,λ=0.5)",21.0,0.00014047636832915627,0.006040483838153719
"DW-NB(k=15,CV-λ)","DW-NB(k=30,λ=0.5)",21.0,0.00014047636832915627,0.006040483838153719
"DW-NB(k=15,CV-λ)","DW-NB(k=5,λ=0.5)",41.0,0.00037697425547733403,0.012440150430752023
"DW-NB(k=15,CV-λ)",DW-NB(w1-only),45.0,0.0009182818799141572,0.027548456397424717
"DW-NB(k=15,CV-λ)",DW-NB(w2-only),14.0,4.0999581814844626e-05,0.0021319782543719207
"DW-NB(k=15,CV-λ)",DW-NB(w3-only),24.0,0.0001191864215383877,0.005363388969227447
"DW-NB(k=15,CV-λ)",GaussianNB,4.0,8.804538063577626e-06,0.0005370768218782352
"DW-NB(k=15,CV-λ)",MultinomialNB,22.0,1.996755599975586e-06,0.00012978911399841309
"DW-NB(k=15,CV-λ)",NB+kNN-Ensemble,94.0,0.006451543420553207,0.12903086841106415
"DW-NB(k=15,λ=0.5)","DW-NB(k=30,λ=0.5)",11.0,0.00017698793982282913,0.006725541713267507
"DW-NB(k=15,λ=0.5)","DW-NB(k=5,λ=0.5)",41.0,0.0006354172676748093,0.01969793529791909
"DW-NB(k=15,λ=0.5)",DW-NB(w1-only),144.0,0.42368977533956986,1.0
"DW-NB(k=15,λ=0.5)",DW-NB(w2-only),0.0,8.29809930635731e-06,0.0005144821569941533
"DW-NB(k=15,λ=0.5)",DW-NB(w3-only),121.0,0.1663003578224933,0.9236129224300385
"DW-NB(k=15,λ=0.5)",GaussianNB,4.0,8.804538063577626e-06,0.0005370768218782352
"DW-NB(k=15,λ=0.5)",MultinomialNB,80.0,0.002152439206838608,0.0559634193778038
"DW-NB(k=15,λ=0.5)",NB+kNN-Ensemble,103.0,0.012109261006116867,0.1698250137269497
"DW-NB(k=30,λ=0.5)","DW-NB(k=5,λ=0.5)",30.0,0.00021953596001063257,0.00781850516796112
