classifier_a,classifier_b,statistic,p_value,p_holm
BernoulliNB,ComplementNB,471.0,0.0047351274972312505,0.04735127497231251
BernoulliNB,"DW-NB(k=15,CV-λ)",187.0,3.7553106328146425e-07,1.952761529063614e-05
BernoulliNB,"DW-NB(k=15,λ=0.5)",312.0,7.35983548120689e-05,0.0016191638058655157
BernoulliNB,"DW-NB(k=30,λ=0.5)",354.0,0.0002926219388650167,0.005267194899570301
BernoulliNB,"DW-NB(k=5,λ=0.5)",240.0,5.322604076474556e-06,0.00018469892643793593
BernoulliNB,DW-NB(w1-only),284.0,2.7560355558956667e-05,0.00074412960009183
BernoulliNB,DW-NB(w2-only),322.0,0.0001032723121624801,0.002065446243249602
BernoulliNB,DW-NB(w3-only),299.0,4.693547936620664e-05,0.001173386984155166
BernoulliNB,GaussianNB,583.0,0.1171641325012224,0.9373130600097792
BernoulliNB,MultinomialNB,378.0,0.0010220305934584728,0.015872926036350907
BernoulliNB,NB+kNN-Ensemble,285.0,1.6901119933380172e-05,0.000490132478068025
ComplementNB,"DW-NB(k=15,CV-λ)",187.0,3.7553106328146425e-07,1.952761529063614e-05
ComplementNB,"DW-NB(k=15,λ=0.5)",227.0,1.9059192881883843e-06,7.814269081572376e-05
ComplementNB,"DW-NB(k=30,λ=0.5)",257.0,6.045378730294422e-06,0.0001934521193694215
ComplementNB,"DW-NB(k=5,λ=0.5)",176.0,2.3615979144360672e-07,1.298878852939837e-05
ComplementNB,DW-NB(w1-only),209.0,9.287393271895167e-07,4.45794877050968e-05
ComplementNB,DW-NB(w2-only),244.0,3.690648411445581e-06,0.00014024463963493208
ComplementNB,DW-NB(w3-only),216.0,1.2311987804023104e-06,5.663514389850628e-05
ComplementNB,GaussianNB,426.0,0.0014623362165580316,0.02047270703181244
ComplementNB,MultinomialNB,603.0,0.1617477547377998,0.9373130600097792
ComplementNB,NB+kNN-Ensemble,213.0,1.0914785493952752e-06,5.1299491821577935e-05
"DW-NB(k=15,CV-λ)","DW-NB(k=15,λ=0.5)",261.0,2.001879688941829e-05,0.0005605263129037122
"DW-NB(k=15,CV-λ)","DW-NB(k=30,λ=0.5)",223.0,4.5820761226464015e-06,0.00016495474041527044
"DW-NB(k=15,CV-λ)","DW-NB(k=5,λ=0.5)",377.0,0.0009920578772719317,0.015872926036350907
"DW-NB(k=15,CV-λ)",DW-NB(w1-only),311.0,0.00020295547058945393,0.0038561539411996245
"DW-NB(k=15,CV-λ)",DW-NB(w2-only),239.0,8.626736058025162e-06,0.0002645412025072719
"DW-NB(k=15,CV-λ)",DW-NB(w3-only),264.0,3.7888997515432946e-05,0.0009851139354012566
"DW-NB(k=15,CV-λ)",GaussianNB,204.0,2.1134892074391024e-06,8.45395682975641e-05
"DW-NB(k=15,CV-λ)",MultinomialNB,11.0,9.213862240183854e-11,6.081149078521343e-09
"DW-NB(k=15,CV-λ)",NB+kNN-Ensemble,308.0,6.415805618902193e-05,0.0014756352923475044
"DW-NB(k=15,λ=0.5)","DW-NB(k=30,λ=0.5)",129.0,1.5129546571962498e-06,6.657000491663499e-05
"DW-NB(k=15,λ=0.5)","DW-NB(k=5,λ=0.5)",181.0,3.7223139821883416e-06,0.00014024463963493208
"DW-NB(k=15,λ=0.5)",DW-NB(w1-only),395.0,0.24320259287873114,0.9373130600097792
"DW-NB(k=15,λ=0.5)",DW-NB(w2-only),154.0,8.533587177653933e-06,0.0002645412025072719
"DW-NB(k=15,λ=0.5)",DW-NB(w3-only),336.0,0.0036089309341836144,0.043083798518110776
"DW-NB(k=15,λ=0.5)",GaussianNB,145.0,2.680839164967405e-07,1.4208447574327245e-05
"DW-NB(k=15,λ=0.5)",MultinomialNB,120.0,3.193133871359274e-08,1.9478116615291572e-06
"DW-NB(k=15,λ=0.5)",NB+kNN-Ensemble,607.0,0.45520411573444075,0.9373130600097792
"DW-NB(k=30,λ=0.5)","DW-NB(k=5,λ=0.5)",148.0,8.356930210189107e-07,4.0948958029926625e-05
"DW-NB(k=30,λ=0.5)",DW-NB(w1-only),122.0,2.4221687786050226e-07,1.3079711404467122e-05
"DW-NB(k=30,λ=0.5)",DW-NB(w2-only),402.0,0.005514373546638066,0.04962936191974259
"DW-NB(k=30,λ=0.5)",DW-NB(w3-only),189.0,5.277112183941026e-06,0.00018469892643793593
"DW-NB(k=30,λ=0.5)",GaussianNB,186.0,2.765101985622601e-06,0.00010783897743928143
"DW-NB(k=30,λ=0.5)",MultinomialNB,146.0,1.7115525709686148e-07,9.62516683179269e-06
"DW-NB(k=30,λ=0.5)",NB+kNN-Ensemble,371.0,0.0008286573383571966,0.014087174752072343
"DW-NB(k=5,λ=0.5)",DW-NB(w1-only),361.0,0.0016992792445972638,0.02209063017976443
"DW-NB(k=5,λ=0.5)",DW-NB(w2-only),161.0,5.533037576884934e-07,2.766518788442467e-05
"DW-NB(k=5,λ=0.5)",DW-NB(w3-only),257.5,5.022315896186791e-05,0.00120535581508483
"DW-NB(k=5,λ=0.5)",GaussianNB,116.0,6.879059799606635e-08,4.058645281767915e-06
"DW-NB(k=5,λ=0.5)",MultinomialNB,85.0,6.027203278442172e-09,3.9176821309874117e-07
"DW-NB(k=5,λ=0.5)",NB+kNN-Ensemble,441.0,0.003590316543175898,0.043083798518110776
DW-NB(w1-only),DW-NB(w2-only),96.0,5.307342924855115e-06,0.00018469892643793593
DW-NB(w1-only),DW-NB(w3-only),491.0,0.15730162470388975,0.9373130600097792
DW-NB(w1-only),GaussianNB,135.0,1.6886257599636296e-07,9.62516683179269e-06
DW-NB(w1-only),MultinomialNB,115.0,2.528619552383904e-08,1.5930303180018596e-06
DW-NB(w1-only),NB+kNN-Ensemble,567.0,0.2665494798674303,0.9373130600097792
DW-NB(w2-only),DW-NB(w3-only),168.0,1.2541278271666904e-06,5.663514389850628e-05
DW-NB(w2-only),GaussianNB,185.0,1.5850999844742078e-06,6.791752105482356e-05
DW-NB(w2-only),MultinomialNB,125.0,4.025763647144099e-08,2.4154581882864593e-06
DW-NB(w2-only),NB+kNN-Ensemble,220.0,0.11970367362071829,0.9373130600097792
DW-NB(w3-only),GaussianNB,117.0,1.1683486049300831e-07,6.776421908594482e-06
DW-NB(w3-only),MultinomialNB,116.0,2.6497593282759943e-08,1.6428507835311164e-06
DW-NB(w3-only),NB+kNN-Ensemble,589.0,0.12938693651394995,0.9373130600097792
GaussianNB,MultinomialNB,312.0,7.35983548120689e-05,0.0016191638058655157
GaussianNB,NB+kNN-Ensemble,197.0,1.579477233833106e-06,6.791752105482356e-05
MultinomialNB,NB+kNN-Ensemble,110.0,1.2501551831383209e-08,8.000993172085254e-07
