classifier_a,classifier_b,statistic,p_value,p_holm
BernoulliNB,ComplementNB,13.0,1.049041748046875e-05,0.0005035400390625
BernoulliNB,"DW-NB(k=15,CV-λ)",3.0,5.960464477539062e-07,3.2782554626464844e-05
BernoulliNB,"DW-NB(k=15,λ=0.5)",72.0,0.024863600730895996,0.19890880584716797
BernoulliNB,"DW-NB(k=30,λ=0.5)",79.0,0.04248917102813721,0.21244585514068604
BernoulliNB,"DW-NB(k=5,λ=0.5)",48.0,0.0025163888931274414,0.045295000076293945
BernoulliNB,DW-NB(w1-only),67.0,0.016406655311584473,0.1515721082687378
BernoulliNB,DW-NB(w2-only),73.0,0.026927709579467773,0.19890880584716797
BernoulliNB,DW-NB(w3-only),66.0,0.015044927597045898,0.1515721082687378
BernoulliNB,GaussianNB,133.0,0.6431422233581543,1.0
BernoulliNB,MultinomialNB,58.0,0.007189035415649414,0.1006464958190918
BernoulliNB,NB+kNN-Ensemble,18.0,3.0159950256347656e-05,0.001236557960510254
ComplementNB,"DW-NB(k=15,CV-λ)",0.0,1.1920928955078125e-07,7.867813110351562e-06
ComplementNB,"DW-NB(k=15,λ=0.5)",12.0,8.344650268554688e-06,0.0004088878631591797
ComplementNB,"DW-NB(k=30,λ=0.5)",15.0,1.633167266845703e-05,0.0007022619247436523
ComplementNB,"DW-NB(k=5,λ=0.5)",5.0,1.1920928955078125e-06,6.318092346191406e-05
ComplementNB,DW-NB(w1-only),13.0,1.049041748046875e-05,0.0005035400390625
ComplementNB,DW-NB(w2-only),13.0,1.049041748046875e-05,0.0005035400390625
ComplementNB,DW-NB(w3-only),11.0,6.556510925292969e-06,0.00032782554626464844
ComplementNB,GaussianNB,52.0,0.0039006471633911133,0.06241035461425781
ComplementNB,MultinomialNB,0.0,1.1920928955078125e-07,7.867813110351562e-06
ComplementNB,NB+kNN-Ensemble,0.0,1.1920928955078125e-07,7.867813110351562e-06
"DW-NB(k=15,CV-λ)","DW-NB(k=15,λ=0.5)",16.0,2.014636993408203e-05,0.0008461475372314453
"DW-NB(k=15,CV-λ)","DW-NB(k=30,λ=0.5)",8.0,2.9802322387695312e-06,0.0001519918441772461
"DW-NB(k=15,CV-λ)","DW-NB(k=5,λ=0.5)",33.0,0.00037276744842529297,0.01006472110748291
"DW-NB(k=15,CV-λ)",DW-NB(w1-only),18.0,3.0159950256347656e-05,0.001236557960510254
"DW-NB(k=15,CV-λ)",DW-NB(w2-only),14.0,1.3113021850585938e-05,0.0005769729614257812
"DW-NB(k=15,CV-λ)",DW-NB(w3-only),25.0,0.00010764598846435547,0.003659963607788086
"DW-NB(k=15,CV-λ)",GaussianNB,3.0,5.960464477539062e-07,3.2782554626464844e-05
"DW-NB(k=15,CV-λ)",MultinomialNB,0.0,1.1920928955078125e-07,7.867813110351562e-06
"DW-NB(k=15,CV-λ)",NB+kNN-Ensemble,24.0,9.083747863769531e-05,0.0033609867095947266
"DW-NB(k=15,λ=0.5)","DW-NB(k=30,λ=0.5)",6.0,0.00014125368757832353,0.004661371690084676
"DW-NB(k=15,λ=0.5)","DW-NB(k=5,λ=0.5)",27.0,0.001236464609381248,0.028438686015768704
"DW-NB(k=15,λ=0.5)",DW-NB(w1-only),129.0,0.5645889043807983,1.0
"DW-NB(k=15,λ=0.5)",DW-NB(w2-only),18.0,3.0159950256347656e-05,0.001236557960510254
"DW-NB(k=15,λ=0.5)",DW-NB(w3-only),27.0,0.00014960765838623047,0.004787445068359375
"DW-NB(k=15,λ=0.5)",GaussianNB,0.0,1.1920928955078125e-07,7.867813110351562e-06
"DW-NB(k=15,λ=0.5)",MultinomialNB,45.0,0.0017795562744140625,0.03737068176269531
"DW-NB(k=15,λ=0.5)",NB+kNN-Ensemble,63.0,0.011516094207763672,0.14970922470092773
"DW-NB(k=30,λ=0.5)","DW-NB(k=5,λ=0.5)",13.0,0.0002288361993854613,0.006865085981563839
"DW-NB(k=30,λ=0.5)",DW-NB(w1-only),24.0,9.083747863769531e-05,0.0033609867095947266
"DW-NB(k=30,λ=0.5)",DW-NB(w2-only),23.0,7.62939453125e-05,0.002899169921875
"DW-NB(k=30,λ=0.5)",DW-NB(w3-only),7.0,2.2649765014648438e-06,0.00011777877807617188
"DW-NB(k=30,λ=0.5)",GaussianNB,0.0,1.1920928955078125e-07,7.867813110351562e-06
"DW-NB(k=30,λ=0.5)",MultinomialNB,56.0,0.005897641181945801,0.08846461772918701
"DW-NB(k=30,λ=0.5)",NB+kNN-Ensemble,24.0,9.083747863769531e-05,0.0033609867095947266
"DW-NB(k=5,λ=0.5)",DW-NB(w1-only),39.0,0.0008462667465209961,0.021156668663024902
"DW-NB(k=5,λ=0.5)",DW-NB(w2-only),31.0,0.00027811527252197266,0.007787227630615234
"DW-NB(k=5,λ=0.5)",DW-NB(w3-only),46.0,0.0020009279251098633,0.040018558502197266
"DW-NB(k=5,λ=0.5)",GaussianNB,0.0,1.1920928955078125e-07,7.867813110351562e-06
"DW-NB(k=5,λ=0.5)",MultinomialNB,29.0,0.00020515918731689453,0.0063599348068237305
"DW-NB(k=5,λ=0.5)",NB+kNN-Ensemble,126.0,0.5087660551071167,1.0
DW-NB(w1-only),DW-NB(w2-only),24.0,0.0005257056661761567,0.013668347320580074
DW-NB(w1-only),DW-NB(w3-only),56.0,0.012630323368642548,0.15156388042371058
DW-NB(w1-only),GaussianNB,2.0,3.5762786865234375e-07,2.002716064453125e-05
DW-NB(w1-only),MultinomialNB,44.0,0.0015796422958374023,0.03475213050842285
DW-NB(w1-only),NB+kNN-Ensemble,65.0,0.013779282569885254,0.1515721082687378
DW-NB(w2-only),DW-NB(w3-only),18.0,0.0002624503030412823,0.007611058788197187
DW-NB(w2-only),GaussianNB,0.0,1.1920928955078125e-07,7.867813110351562e-06
DW-NB(w2-only),MultinomialNB,46.0,0.0020009279251098633,0.040018558502197266
DW-NB(w2-only),NB+kNN-Ensemble,49.0,0.002814650535583496,0.047849059104919434
DW-NB(w3-only),GaussianNB,0.0,1.1920928955078125e-07,7.867813110351562e-06
DW-NB(w3-only),MultinomialNB,41.0,0.001092672348022461,0.026224136352539062
DW-NB(w3-only),NB+kNN-Ensemble,76.0,0.033985137939453125,0.20391082763671875
GaussianNB,MultinomialNB,125.0,0.49079859256744385,1.0
GaussianNB,NB+kNN-Ensemble,1.0,2.384185791015625e-07,1.3589859008789062e-05
MultinomialNB,NB+kNN-Ensemble,13.0,1.049041748046875e-05,0.0005035400390625
