classifier_a,classifier_b,statistic,p_value,p_holm
BernoulliNB,ComplementNB,385.0,0.00045181267796984645,0.01671706908488432
BernoulliNB,"DW-NB(k=15,CV-λ)",207.0,8.563951874182638e-07,4.4532549745749716e-05
BernoulliNB,"DW-NB(k=15,λ=0.5)",716.0,0.3799732989182504,1.0
BernoulliNB,"DW-NB(k=30,λ=0.5)",768.0,0.6420785027937037,1.0
BernoulliNB,"DW-NB(k=5,λ=0.5)",648.0,0.15612664850375133,1.0
BernoulliNB,DW-NB(w1-only),682.0,0.25093447938631974,1.0
BernoulliNB,DW-NB(w2-only),767.0,0.6363987699006359,1.0
BernoulliNB,DW-NB(w3-only),714.0,0.3714096927162641,1.0
BernoulliNB,GaussianNB,451.0,0.00285041291675422,0.08266197458587238
BernoulliNB,MultinomialNB,787.0,0.7536458137223649,1.0
BernoulliNB,NB+kNN-Ensemble,402.0,0.0007442396849216399,0.026792628657179036
ComplementNB,"DW-NB(k=15,CV-λ)",85.0,3.8300273696180795e-09,2.527818063947932e-07
ComplementNB,"DW-NB(k=15,λ=0.5)",446.0,0.002501568264496055,0.0775486161993777
ComplementNB,"DW-NB(k=30,λ=0.5)",456.0,0.003243146236462431,0.09080809462094806
ComplementNB,"DW-NB(k=5,λ=0.5)",380.0,0.0003888534744391503,0.014776432028687711
ComplementNB,DW-NB(w1-only),426.0,0.0014623362165580316,0.04679475892985701
ComplementNB,DW-NB(w2-only),458.0,0.003413594759949535,0.09216705851863745
ComplementNB,DW-NB(w3-only),447.0,0.0025680437421973304,0.0775486161993777
ComplementNB,GaussianNB,620.0,0.10086272255502637,1.0
ComplementNB,MultinomialNB,311.0,4.207951809533221e-05,0.0018935783142899495
ComplementNB,NB+kNN-Ensemble,165.0,1.4741831357635288e-07,8.255425560275761e-06
"DW-NB(k=15,CV-λ)","DW-NB(k=15,λ=0.5)",146.0,1.7115525709686148e-07,9.413539140327381e-06
"DW-NB(k=15,CV-λ)","DW-NB(k=30,λ=0.5)",141.0,1.363443822099221e-07,7.771629785965561e-06
"DW-NB(k=15,CV-λ)","DW-NB(k=5,λ=0.5)",191.0,1.2272945976258556e-06,6.136472988129278e-05
"DW-NB(k=15,CV-λ)",DW-NB(w1-only),195.0,8.711112103083407e-07,4.4532549745749716e-05
"DW-NB(k=15,CV-λ)",DW-NB(w2-only),159.0,1.8643622625467746e-07,1.0067556217752584e-05
"DW-NB(k=15,CV-λ)",DW-NB(w3-only),184.0,5.487017012586496e-07,2.9081190166708432e-05
"DW-NB(k=15,CV-λ)",GaussianNB,79.0,4.492850931496349e-09,2.920353105472627e-07
"DW-NB(k=15,CV-λ)",MultinomialNB,402.0,0.0007442396849216399,0.026792628657179036
"DW-NB(k=15,CV-λ)",NB+kNN-Ensemble,322.0,6.114251962581954e-05,0.0026902708635360597
"DW-NB(k=15,λ=0.5)","DW-NB(k=30,λ=0.5)",307.0,0.0008470190329652707,0.028798647120819202
"DW-NB(k=15,λ=0.5)","DW-NB(k=5,λ=0.5)",445.0,0.016635201431990376,0.37232989653405857
"DW-NB(k=15,λ=0.5)",DW-NB(w1-only),602.0,0.15925070288026355,1.0
"DW-NB(k=15,λ=0.5)",DW-NB(w2-only),296.0,7.144193765858211e-05,0.0030720033193190307
"DW-NB(k=15,λ=0.5)",DW-NB(w3-only),483.0,0.016188256371046025,0.37232989653405857
"DW-NB(k=15,λ=0.5)",GaussianNB,80.0,7.417041383136907e-09,4.7469064852076204e-07
"DW-NB(k=15,λ=0.5)",MultinomialNB,771.0,0.6592426438298021,1.0
"DW-NB(k=15,λ=0.5)",NB+kNN-Ensemble,275.0,1.1771241782302102e-05,0.0005532483637681988
"DW-NB(k=30,λ=0.5)","DW-NB(k=5,λ=0.5)",423.0,0.009613394634938587,0.2307214712385261
"DW-NB(k=30,λ=0.5)",DW-NB(w1-only),455.0,0.008309147418326675,0.20772868545816686
"DW-NB(k=30,λ=0.5)",DW-NB(w2-only),531.0,0.045233881621521255,0.9046776324304251
"DW-NB(k=30,λ=0.5)",DW-NB(w3-only),383.0,0.001184867136083119,0.039100615490742924
"DW-NB(k=30,λ=0.5)",GaussianNB,95.0,1.5537509368973887e-08,9.63325580876381e-07
"DW-NB(k=30,λ=0.5)",MultinomialNB,764.0,0.6194884297995049,1.0
"DW-NB(k=30,λ=0.5)",NB+kNN-Ensemble,253.0,5.199402396393858e-06,0.000254770717423299
"DW-NB(k=5,λ=0.5)",DW-NB(w1-only),537.0,0.05091425838383325,0.9673709092928316
"DW-NB(k=5,λ=0.5)",DW-NB(w2-only),435.0,0.005003417651487115,0.13008885893866498
"DW-NB(k=5,λ=0.5)",DW-NB(w3-only),508.0,0.028150714698673453,0.5911650086721425
"DW-NB(k=5,λ=0.5)",GaussianNB,108.0,2.9127986662182843e-08,1.7185512130687877e-06
"DW-NB(k=5,λ=0.5)",MultinomialNB,826.0,0.9968303289039459,1.0
"DW-NB(k=5,λ=0.5)",NB+kNN-Ensemble,363.0,0.00023086368209198547,0.009003683601587433
DW-NB(w1-only),DW-NB(w2-only),291.0,0.00010127638769417277,0.004152331895461083
DW-NB(w1-only),DW-NB(w3-only),551.0,0.099176986188372,1.0
DW-NB(w1-only),GaussianNB,102.0,2.182559760198815e-08,1.331361453721277e-06
DW-NB(w1-only),MultinomialNB,792.0,0.7840003358030716,1.0
DW-NB(w1-only),NB+kNN-Ensemble,332.0,8.53333980006236e-05,0.0035840027160261917
DW-NB(w2-only),DW-NB(w3-only),312.0,0.00020997838177757149,0.00839913527110286
DW-NB(w2-only),GaussianNB,104.0,2.403622242642838e-08,1.4421733455857029e-06
DW-NB(w2-only),MultinomialNB,764.0,0.6194884297995049,1.0
DW-NB(w2-only),NB+kNN-Ensemble,255.0,5.607137484436239e-06,0.00026914259925293947
DW-NB(w3-only),GaussianNB,111.0,3.3618808880794724e-08,1.949890915086094e-06
DW-NB(w3-only),MultinomialNB,781.0,0.7177204969655789,1.0
DW-NB(w3-only),NB+kNN-Ensemble,299.0,2.77608607980653e-05,0.0012769995967110038
GaussianNB,MultinomialNB,601.0,0.07318994224883485,1.0
GaussianNB,NB+kNN-Ensemble,112.0,1.371967325418697e-08,8.643394150137792e-07
MultinomialNB,NB+kNN-Ensemble,585.0,0.05501373255621582,0.9902471860118848
