classifier_a,classifier_b,statistic,p_value,p_holm
BernoulliNB,ComplementNB,0.0,5.143753751233159e-11,3.394877475813885e-09
BernoulliNB,"DW-NB(k=15,CV-λ)",0.0,5.143753751233159e-11,3.394877475813885e-09
BernoulliNB,"DW-NB(k=15,λ=0.5)",374.0,0.0003241341706799222,0.008103354266998054
BernoulliNB,"DW-NB(k=30,λ=0.5)",322.0,6.114251962581954e-05,0.0017119905495229472
BernoulliNB,"DW-NB(k=5,λ=0.5)",291.0,2.093679050730279e-05,0.0006490405057263865
BernoulliNB,DW-NB(w1-only),338.0,0.0001039277182759607,0.002702120675174978
BernoulliNB,DW-NB(w2-only),310.0,4.065946789144302e-05,0.0012197840367432907
BernoulliNB,DW-NB(w3-only),331.0,8.255796638149703e-05,0.00222906509230042
BernoulliNB,GaussianNB,406.0,0.0008348925003560795,0.020037420008545907
BernoulliNB,MultinomialNB,0.0,5.143753751233159e-11,3.394877475813885e-09
BernoulliNB,NB+kNN-Ensemble,662.0,0.19121721814049875,1.0
ComplementNB,"DW-NB(k=15,CV-λ)",0.0,5.143753751233159e-11,3.394877475813885e-09
ComplementNB,"DW-NB(k=15,λ=0.5)",12.0,9.711701633410262e-11,4.855850816705131e-09
ComplementNB,"DW-NB(k=30,λ=0.5)",15.0,1.1368290151089907e-10,5.002047666479559e-09
ComplementNB,"DW-NB(k=5,λ=0.5)",12.0,9.711701633410262e-11,4.855850816705131e-09
ComplementNB,DW-NB(w1-only),18.0,1.330005527924045e-10,5.5860232172809895e-09
ComplementNB,DW-NB(w2-only),13.0,1.023580747309045e-10,4.913187587083416e-09
ComplementNB,DW-NB(w3-only),13.0,1.023580747309045e-10,4.913187587083416e-09
ComplementNB,GaussianNB,29.0,2.353430654039466e-10,8.94303648534997e-09
ComplementNB,MultinomialNB,820.0,0.9588124766374582,1.0
ComplementNB,NB+kNN-Ensemble,4.0,6.363774575830323e-11,3.394877475813885e-09
"DW-NB(k=15,CV-λ)","DW-NB(k=15,λ=0.5)",0.0,5.143753751233159e-11,3.394877475813885e-09
"DW-NB(k=15,CV-λ)","DW-NB(k=30,λ=0.5)",0.0,5.143753751233159e-11,3.394877475813885e-09
"DW-NB(k=15,CV-λ)","DW-NB(k=5,λ=0.5)",0.0,5.143753751233159e-11,3.394877475813885e-09
"DW-NB(k=15,CV-λ)",DW-NB(w1-only),0.0,5.143753751233159e-11,3.394877475813885e-09
"DW-NB(k=15,CV-λ)",DW-NB(w2-only),0.0,5.143753751233159e-11,3.394877475813885e-09
"DW-NB(k=15,CV-λ)",DW-NB(w3-only),0.0,5.143753751233159e-11,3.394877475813885e-09
"DW-NB(k=15,CV-λ)",GaussianNB,0.0,5.143753751233159e-11,3.394877475813885e-09
"DW-NB(k=15,CV-λ)",MultinomialNB,0.0,5.143753751233159e-11,3.394877475813885e-09
"DW-NB(k=15,CV-λ)",NB+kNN-Ensemble,0.0,5.143753751233159e-11,3.394877475813885e-09
"DW-NB(k=15,λ=0.5)","DW-NB(k=30,λ=0.5)",821.0,0.9651446197287787,1.0
"DW-NB(k=15,λ=0.5)","DW-NB(k=5,λ=0.5)",717.0,0.3843002480749851,1.0
"DW-NB(k=15,λ=0.5)",DW-NB(w1-only),716.0,0.3799732989182504,1.0
"DW-NB(k=15,λ=0.5)",DW-NB(w2-only),687.0,0.2677078712837242,1.0
"DW-NB(k=15,λ=0.5)",DW-NB(w3-only),631.0,0.120354302507949,1.0
"DW-NB(k=15,λ=0.5)",GaussianNB,561.0,0.03490552060069009,0.8028269738158721
"DW-NB(k=15,λ=0.5)",MultinomialNB,18.0,1.330005527924045e-10,5.5860232172809895e-09
"DW-NB(k=15,λ=0.5)",NB+kNN-Ensemble,102.0,8.597587582184144e-09,3.181107405408133e-07
"DW-NB(k=30,λ=0.5)","DW-NB(k=5,λ=0.5)",703.0,0.3264777560924301,1.0
"DW-NB(k=30,λ=0.5)",DW-NB(w1-only),709.0,0.35052990029788067,1.0
"DW-NB(k=30,λ=0.5)",DW-NB(w2-only),735.0,0.46723420121144066,1.0
"DW-NB(k=30,λ=0.5)",DW-NB(w3-only),665.0,0.1994391418139536,1.0
"DW-NB(k=30,λ=0.5)",GaussianNB,648.0,0.15612664850375133,1.0
