classifier_a,classifier_b,statistic,p_value,p_holm
BernoulliNB,ComplementNB,44.0,0.0015796422958374023,0.030013203620910645
BernoulliNB,"DW-NB(k=15,CV-λ)",11.0,6.556510925292969e-06,0.0003999471664428711
BernoulliNB,"DW-NB(k=15,λ=0.5)",52.0,0.0039006471633911133,0.06241035461425781
BernoulliNB,"DW-NB(k=30,λ=0.5)",58.0,0.007189035415649414,0.08626842498779297
BernoulliNB,"DW-NB(k=5,λ=0.5)",25.0,0.00010764598846435547,0.003659963607788086
BernoulliNB,DW-NB(w1-only),48.0,0.0025163888931274414,0.045295000076293945
BernoulliNB,DW-NB(w2-only),56.0,0.005897641181945801,0.08256697654724121
BernoulliNB,DW-NB(w3-only),41.0,0.001092672348022461,0.02294611930847168
BernoulliNB,GaussianNB,134.0,0.6634435653686523,1.0
BernoulliNB,MultinomialNB,80.0,0.045679688453674316,0.36543750762939453
BernoulliNB,NB+kNN-Ensemble,53.0,0.00433504581451416,0.0650256872177124
ComplementNB,"DW-NB(k=15,CV-λ)",12.0,8.344650268554688e-06,0.0005006790161132812
ComplementNB,"DW-NB(k=15,λ=0.5)",26.0,0.0001270771026611328,0.00406646728515625
ComplementNB,"DW-NB(k=30,λ=0.5)",28.0,0.00017547607421875,0.00473785400390625
ComplementNB,"DW-NB(k=5,λ=0.5)",13.0,1.049041748046875e-05,0.0006189346313476562
ComplementNB,DW-NB(w1-only),22.0,6.389617919921875e-05,0.0025019307211316707
ComplementNB,DW-NB(w2-only),26.0,0.0001270771026611328,0.00406646728515625
ComplementNB,DW-NB(w3-only),20.0,4.4226646423339844e-05,0.0021228790283203125
ComplementNB,GaussianNB,57.0,0.006516098976135254,0.0847092866897583
ComplementNB,MultinomialNB,119.0,0.3902466297149658,1.0
ComplementNB,NB+kNN-Ensemble,24.0,9.083747863769531e-05,0.0033609867095947266
"DW-NB(k=15,CV-λ)","DW-NB(k=15,λ=0.5)",21.0,5.328655242919922e-05,0.0022913217544555664
"DW-NB(k=15,CV-λ)","DW-NB(k=30,λ=0.5)",17.0,2.467632293701172e-05,0.0014312267303466797
"DW-NB(k=15,CV-λ)","DW-NB(k=5,λ=0.5)",86.0,0.06910169124603271,0.4146101474761963
"DW-NB(k=15,CV-λ)",DW-NB(w1-only),24.0,9.083747863769531e-05,0.0033609867095947266
"DW-NB(k=15,CV-λ)",DW-NB(w2-only),18.0,3.0159950256347656e-05,0.001658797264099121
"DW-NB(k=15,CV-λ)",DW-NB(w3-only),28.0,0.00017547607421875,0.00473785400390625
"DW-NB(k=15,CV-λ)",GaussianNB,7.0,2.2649765014648438e-06,0.00014722347259521484
"DW-NB(k=15,CV-λ)",MultinomialNB,0.0,1.1920928955078125e-07,7.867813110351562e-06
"DW-NB(k=15,CV-λ)",NB+kNN-Ensemble,17.0,2.467632293701172e-05,0.0014312267303466797
"DW-NB(k=15,λ=0.5)","DW-NB(k=30,λ=0.5)",2.0,0.00012042223841686183,0.00397393386775644
"DW-NB(k=15,λ=0.5)","DW-NB(k=5,λ=0.5)",0.0,5.956977907456359e-05,0.0025019307211316707
"DW-NB(k=15,λ=0.5)",DW-NB(w1-only),39.0,0.13372989286451814,0.6416158656102887
"DW-NB(k=15,λ=0.5)",DW-NB(w2-only),17.0,0.0006179102511197069,0.014829846026872966
"DW-NB(k=15,λ=0.5)",DW-NB(w3-only),20.0,0.0009022546344924854,0.020138097946181373
"DW-NB(k=15,λ=0.5)",GaussianNB,1.0,3.0883947354500344e-05,0.001658797264099121
"DW-NB(k=15,λ=0.5)",MultinomialNB,20.0,4.4226646423339844e-05,0.0021228790283203125
"DW-NB(k=15,λ=0.5)",NB+kNN-Ensemble,52.0,0.02730632132788956,0.24969877410094454
"DW-NB(k=30,λ=0.5)","DW-NB(k=5,λ=0.5)",0.0,5.956977907456359e-05,0.0025019307211316707
"DW-NB(k=30,λ=0.5)",DW-NB(w1-only),0.0,5.956977907456359e-05,0.0025019307211316707
"DW-NB(k=30,λ=0.5)",DW-NB(w2-only),73.0,0.04804479976978151,0.36543750762939453
"DW-NB(k=30,λ=0.5)",DW-NB(w3-only),0.0,4.009964816469138e-05,0.0019648827600698775
"DW-NB(k=30,λ=0.5)",GaussianNB,6.0,9.14928944129577e-05,0.0033609867095947266
"DW-NB(k=30,λ=0.5)",MultinomialNB,27.0,0.00014960765838623047,0.004189014434814453
"DW-NB(k=30,λ=0.5)",NB+kNN-Ensemble,88.0,0.12832317312205774,0.6416158656102887
"DW-NB(k=5,λ=0.5)",DW-NB(w1-only),9.0,0.00013634079670182602,0.00406646728515625
"DW-NB(k=5,λ=0.5)",DW-NB(w2-only),1.0,3.0883947354500344e-05,0.001658797264099121
"DW-NB(k=5,λ=0.5)",DW-NB(w3-only),24.0,0.0008755694759209293,0.020138097946181373
"DW-NB(k=5,λ=0.5)",GaussianNB,1.0,3.0883947354500344e-05,0.001658797264099121
"DW-NB(k=5,λ=0.5)",MultinomialNB,10.0,5.125999450683594e-06,0.0003178119659423828
"DW-NB(k=5,λ=0.5)",NB+kNN-Ensemble,22.0,0.000418499334469344,0.0104624833617336
DW-NB(w1-only),DW-NB(w2-only),0.0,0.0001318338889828333,0.00406646728515625
DW-NB(w1-only),DW-NB(w3-only),51.0,0.024969877410094453,0.24969877410094454
DW-NB(w1-only),GaussianNB,1.0,3.0883947354500344e-05,0.001658797264099121
DW-NB(w1-only),MultinomialNB,20.0,4.4226646423339844e-05,0.0021228790283203125
DW-NB(w1-only),NB+kNN-Ensemble,41.0,0.016880932087628427,0.1856902529639127
DW-NB(w2-only),DW-NB(w3-only),8.0,7.687343458186032e-05,0.002921190514110692
DW-NB(w2-only),GaussianNB,9.0,3.933906555175781e-06,0.00025177001953125
DW-NB(w2-only),MultinomialNB,20.0,4.4226646423339844e-05,0.0021228790283203125
DW-NB(w2-only),NB+kNN-Ensemble,35.0,0.463071015014588,1.0
DW-NB(w3-only),GaussianNB,0.0,2.7015948487105512e-05,0.0015128931152779087
DW-NB(w3-only),MultinomialNB,20.0,4.4226646423339844e-05,0.0021228790283203125
DW-NB(w3-only),NB+kNN-Ensemble,42.0,0.0035021618425883725,0.05953675132400233
GaussianNB,MultinomialNB,42.0,0.0012379884719848633,0.024759769439697266
GaussianNB,NB+kNN-Ensemble,9.0,3.933906555175781e-06,0.00025177001953125
MultinomialNB,NB+kNN-Ensemble,18.0,3.0159950256347656e-05,0.001658797264099121
