classifier_a,classifier_b,statistic,p_value,p_holm
BernoulliNB,ComplementNB,802.0,0.8456610086033243,1.0
BernoulliNB,"DW-NB(k=15,CV-λ)",286.0,1.7517827675745285e-05,0.0006656774516783208
BernoulliNB,"DW-NB(k=15,λ=0.5)",820.0,0.9588124766374582,1.0
BernoulliNB,"DW-NB(k=30,λ=0.5)",815.0,0.9271986835493116,1.0
BernoulliNB,"DW-NB(k=5,λ=0.5)",759.0,0.5917501623233197,1.0
BernoulliNB,DW-NB(w1-only),817.0,0.9398332260574196,1.0
BernoulliNB,DW-NB(w2-only),817.0,0.9398332260574196,1.0
BernoulliNB,DW-NB(w3-only),822.0,0.9714789616775299,1.0
BernoulliNB,GaussianNB,282.0,1.5172723216729074e-05,0.0005917362054524339
BernoulliNB,MultinomialNB,621.0,0.10252363572017413,1.0
BernoulliNB,NB+kNN-Ensemble,151.0,8.006235291529478e-08,4.163242351595328e-06
ComplementNB,"DW-NB(k=15,CV-λ)",215.0,1.1828154695801772e-06,5.2043880661527795e-05
ComplementNB,"DW-NB(k=15,λ=0.5)",650.0,0.16081695640292681,1.0
ComplementNB,"DW-NB(k=30,λ=0.5)",663.0,0.19392967975296338,1.0
ComplementNB,"DW-NB(k=5,λ=0.5)",593.0,0.06356680254998931,1.0
ComplementNB,DW-NB(w1-only),658.0,0.18064635361491455,1.0
ComplementNB,DW-NB(w2-only),647.0,0.15382076262225483,1.0
ComplementNB,DW-NB(w3-only),649.0,0.15845866402419906,1.0
ComplementNB,GaussianNB,391.0,0.0005398983743411383,0.01889644310193984
ComplementNB,MultinomialNB,92.0,5.354742204759559e-09,3.1592979008081396e-07
ComplementNB,NB+kNN-Ensemble,35.0,3.202752590643773e-10,2.0817891839184522e-08
"DW-NB(k=15,CV-λ)","DW-NB(k=15,λ=0.5)",139.0,1.2443113041869758e-07,6.0971253905161815e-06
"DW-NB(k=15,CV-λ)","DW-NB(k=30,λ=0.5)",176.0,6.46248147269715e-07,2.972741477440689e-05
"DW-NB(k=15,CV-λ)","DW-NB(k=5,λ=0.5)",89.0,1.1580379721429074e-08,6.600816441214572e-07
"DW-NB(k=15,CV-λ)",DW-NB(w1-only),190.0,7.067217902010219e-07,3.1802480559045985e-05
"DW-NB(k=15,CV-λ)",DW-NB(w2-only),159.0,1.8643622625467746e-07,8.762502633969841e-06
"DW-NB(k=15,CV-λ)",DW-NB(w3-only),155.0,1.562778417069237e-07,7.501336401932337e-06
"DW-NB(k=15,CV-λ)",GaussianNB,111.0,2.0956107894482846e-08,1.1735420420910394e-06
"DW-NB(k=15,CV-λ)",MultinomialNB,417.0,0.0011396756663823939,0.037609296990619
"DW-NB(k=15,CV-λ)",NB+kNN-Ensemble,690.0,0.27813390357095946,1.0
"DW-NB(k=15,λ=0.5)","DW-NB(k=30,λ=0.5)",350.0,0.003347372866008037,0.09372644024822503
"DW-NB(k=15,λ=0.5)","DW-NB(k=5,λ=0.5)",626.0,0.42817269421763693,1.0
"DW-NB(k=15,λ=0.5)",DW-NB(w1-only),724.0,0.6999312910961195,1.0
"DW-NB(k=15,λ=0.5)",DW-NB(w2-only),355.0,0.0005068734412839219,0.01824744388622119
"DW-NB(k=15,λ=0.5)",DW-NB(w3-only),524.0,0.03929132033561113,0.8644090473834448
