classifier_a,classifier_b,statistic,p_value,p_holm
BernoulliNB,ComplementNB,38.0,0.0007423162460327148,0.016245245933532715
BernoulliNB,"DW-NB(k=15,CV-λ)",3.0,5.960464477539062e-07,3.814697265625e-05
BernoulliNB,"DW-NB(k=15,λ=0.5)",44.0,0.0015796422958374023,0.02685391902923584
BernoulliNB,"DW-NB(k=30,λ=0.5)",47.0,0.002245783805847168,0.03593254089355469
BernoulliNB,"DW-NB(k=5,λ=0.5)",20.0,4.4226646423339844e-05,0.0018132925033569336
BernoulliNB,DW-NB(w1-only),43.0,0.0013997554779052734,0.026595354080200195
BernoulliNB,DW-NB(w2-only),47.0,0.002245783805847168,0.03593254089355469
BernoulliNB,DW-NB(w3-only),37.0,0.0006498098373413086,0.016245245933532715
BernoulliNB,GaussianNB,139.0,0.7682963609695435,1.0
BernoulliNB,MultinomialNB,98.0,0.14335036277770996,0.7699390387323464
BernoulliNB,NB+kNN-Ensemble,43.0,0.0013997554779052734,0.026595354080200195
ComplementNB,"DW-NB(k=15,CV-λ)",0.0,1.1920928955078125e-07,7.867813110351562e-06
ComplementNB,"DW-NB(k=15,λ=0.5)",13.0,1.049041748046875e-05,0.00058746337890625
ComplementNB,"DW-NB(k=30,λ=0.5)",17.0,2.467632293701172e-05,0.0012831687927246094
ComplementNB,"DW-NB(k=5,λ=0.5)",3.0,5.960464477539062e-07,3.814697265625e-05
ComplementNB,DW-NB(w1-only),13.0,1.049041748046875e-05,0.00058746337890625
ComplementNB,DW-NB(w2-only),14.0,1.3113021850585938e-05,0.0007081031799316406
ComplementNB,DW-NB(w3-only),12.0,8.344650268554688e-06,0.0004923343658447266
ComplementNB,GaussianNB,64.0,0.012604832649230957,0.15125799179077148
ComplementNB,MultinomialNB,141.0,0.8115357160568237,1.0
ComplementNB,NB+kNN-Ensemble,12.0,8.344650268554688e-06,0.0004923343658447266
"DW-NB(k=15,CV-λ)","DW-NB(k=15,λ=0.5)",18.0,3.0159950256347656e-05,0.0015381574630737305
"DW-NB(k=15,CV-λ)","DW-NB(k=30,λ=0.5)",16.0,2.014636993408203e-05,0.0010677576065063477
"DW-NB(k=15,CV-λ)","DW-NB(k=5,λ=0.5)",50.0,0.0031430721282958984,0.04400300979614258
"DW-NB(k=15,CV-λ)",DW-NB(w1-only),18.0,3.0159950256347656e-05,0.0015381574630737305
"DW-NB(k=15,CV-λ)",DW-NB(w2-only),18.0,3.0159950256347656e-05,0.0015381574630737305
"DW-NB(k=15,CV-λ)",DW-NB(w3-only),20.0,4.4226646423339844e-05,0.0018132925033569336
"DW-NB(k=15,CV-λ)",GaussianNB,7.0,2.2649765014648438e-06,0.00013589859008789062
"DW-NB(k=15,CV-λ)",MultinomialNB,0.0,1.1920928955078125e-07,7.867813110351562e-06
"DW-NB(k=15,CV-λ)",NB+kNN-Ensemble,18.0,3.0159950256347656e-05,0.0015381574630737305
"DW-NB(k=15,λ=0.5)","DW-NB(k=30,λ=0.5)",2.0,0.00012042223841686183,0.004094356106173302
"DW-NB(k=15,λ=0.5)","DW-NB(k=5,λ=0.5)",2.0,7.980221938929199e-05,0.0028728798980145118
"DW-NB(k=15,λ=0.5)",DW-NB(w1-only),49.0,0.19298546891685997,0.7719418756674399
"DW-NB(k=15,λ=0.5)",DW-NB(w2-only),18.0,0.000701810512606601,0.016245245933532715
"DW-NB(k=15,λ=0.5)",DW-NB(w3-only),21.0,0.0010212800218205383,0.020425600436410764
"DW-NB(k=15,λ=0.5)",GaussianNB,1.0,3.0883947354500344e-05,0.0015381574630737305
"DW-NB(k=15,λ=0.5)",MultinomialNB,29.0,0.00020515918731689453,0.006154775619506836
"DW-NB(k=15,λ=0.5)",NB+kNN-Ensemble,57.0,0.0420199491044772,0.2941396437313404
"DW-NB(k=30,λ=0.5)","DW-NB(k=5,λ=0.5)",1.0,6.898751069615867e-05,0.0026215254064540293
"DW-NB(k=30,λ=0.5)",DW-NB(w1-only),7.0,0.00010460893926546262,0.003661312874291192
"DW-NB(k=30,λ=0.5)",DW-NB(w2-only),57.0,0.013754521768656157,0.15125799179077148
"DW-NB(k=30,λ=0.5)",DW-NB(w3-only),0.0,4.009964816469138e-05,0.0016841852229170378
"DW-NB(k=30,λ=0.5)",GaussianNB,2.0,5.30032340654538e-05,0.0020671261285526983
"DW-NB(k=30,λ=0.5)",MultinomialNB,37.0,0.0006498098373413086,0.016245245933532715
"DW-NB(k=30,λ=0.5)",NB+kNN-Ensemble,88.0,0.12832317312205774,0.7699390387323464
