classifier_a,classifier_b,statistic,p_value,p_holm
BernoulliNB,ComplementNB,429.0,0.0015873559839121674,0.017460915823033843
BernoulliNB,"DW-NB(k=15,CV-λ)",77.0,2.60177661441508e-09,1.6651370332256511e-07
BernoulliNB,"DW-NB(k=15,λ=0.5)",268.0,1.537440296718044e-05,0.00033823686527796967
BernoulliNB,"DW-NB(k=30,λ=0.5)",297.0,4.375536240843609e-05,0.0008313518857602857
BernoulliNB,"DW-NB(k=5,λ=0.5)",203.0,1.213226159250537e-06,4.003646325526772e-05
BernoulliNB,DW-NB(w1-only),240.0,5.322604076474556e-06,0.0001330651019118639
BernoulliNB,DW-NB(w2-only),275.0,1.9887049715740898e-05,0.00041762804403055884
BernoulliNB,DW-NB(w3-only),246.0,6.709221367929404e-06,0.00016102131283030568
BernoulliNB,GaussianNB,585.0,0.08230618761875984,0.6584495009500787
BernoulliNB,MultinomialNB,439.0,0.005549103053246294,0.055491030532462945
BernoulliNB,NB+kNN-Ensemble,247.0,4.139587572947539e-06,0.00010762927689663601
ComplementNB,"DW-NB(k=15,CV-λ)",54.0,8.373887572893727e-10,5.443026922380922e-08
ComplementNB,"DW-NB(k=15,λ=0.5)",158.0,1.0880321229211498e-07,5.004947765437289e-06
ComplementNB,"DW-NB(k=30,λ=0.5)",180.0,2.797876998620145e-07,1.1471295694342593e-05
ComplementNB,"DW-NB(k=5,λ=0.5)",102.0,8.597587582184144e-09,5.244528425132328e-07
ComplementNB,DW-NB(w1-only),130.0,3.13299372922421e-08,1.6604866764888314e-06
ComplementNB,DW-NB(w2-only),162.0,1.2947272428633098e-07,5.826272592884894e-06
ComplementNB,DW-NB(w3-only),138.0,4.493358705494725e-08,2.2466793527473622e-06
ComplementNB,GaussianNB,404.0,0.0007883575096604025,0.011825362644906037
ComplementNB,MultinomialNB,687.0,0.48679244239984665,1.0
ComplementNB,NB+kNN-Ensemble,121.0,2.078413809047129e-08,1.1639117330663922e-06
"DW-NB(k=15,CV-λ)","DW-NB(k=15,λ=0.5)",141.0,1.363443822099221e-07,5.999152817236573e-06
"DW-NB(k=15,CV-λ)","DW-NB(k=30,λ=0.5)",111.0,3.3618808880794724e-08,1.7481780618013258e-06
"DW-NB(k=15,CV-λ)","DW-NB(k=5,λ=0.5)",205.0,2.202682656818047e-06,6.167511439090531e-05
"DW-NB(k=15,CV-λ)",DW-NB(w1-only),188.0,1.8027437678737416e-06,5.608010077212331e-05
"DW-NB(k=15,CV-λ)",DW-NB(w2-only),125.0,6.511149693192102e-08,3.125351852732209e-06
"DW-NB(k=15,CV-λ)",DW-NB(w3-only),169.0,4.765845233075283e-07,1.8110211885686074e-05
"DW-NB(k=15,CV-λ)",GaussianNB,75.0,5.776907564607824e-09,3.6394517657029293e-07
"DW-NB(k=15,CV-λ)",MultinomialNB,11.0,9.213862240183854e-11,6.081149078521343e-09
"DW-NB(k=15,CV-λ)",NB+kNN-Ensemble,182.0,5.040519544330389e-07,1.8649922314022438e-05
"DW-NB(k=15,λ=0.5)","DW-NB(k=30,λ=0.5)",115.0,7.46804539326333e-07,2.6138158876421655e-05
"DW-NB(k=15,λ=0.5)","DW-NB(k=5,λ=0.5)",165.0,1.823834414422104e-06,5.608010077212331e-05
"DW-NB(k=15,λ=0.5)",DW-NB(w1-only),473.0,0.335559345629456,1.0
"DW-NB(k=15,λ=0.5)",DW-NB(w2-only),195.0,1.1503972479053568e-05,0.00026459136701823205
"DW-NB(k=15,λ=0.5)",DW-NB(w3-only),291.0,0.0004885998192506884,0.007817597108011014
"DW-NB(k=15,λ=0.5)",GaussianNB,89.0,1.8360735075722525e-08,1.0465618993161839e-06
"DW-NB(k=15,λ=0.5)",MultinomialNB,174.0,3.580244525915839e-07,1.3962953651071771e-05
"DW-NB(k=15,λ=0.5)",NB+kNN-Ensemble,687.0,0.8008062575570309,1.0
"DW-NB(k=30,λ=0.5)","DW-NB(k=5,λ=0.5)",128.0,3.2390216185074257e-07,1.2956086474029703e-05
"DW-NB(k=30,λ=0.5)",DW-NB(w1-only),91.0,5.1533608841136404e-08,2.525146833215684e-06
"DW-NB(k=30,λ=0.5)",DW-NB(w2-only),339.0,0.0008589460093631047,0.012025244131083464
"DW-NB(k=30,λ=0.5)",DW-NB(w3-only),179.0,2.0391190941708246e-06,5.913445373095391e-05
"DW-NB(k=30,λ=0.5)",GaussianNB,97.0,4.364383467168819e-08,2.2258355682560977e-06
"DW-NB(k=30,λ=0.5)",MultinomialNB,212.0,1.7525031491288534e-06,5.608010077212331e-05
"DW-NB(k=30,λ=0.5)",NB+kNN-Ensemble,303.0,9.12388884400504e-05,0.001551061103480857
"DW-NB(k=5,λ=0.5)",DW-NB(w1-only),349.0,0.001176412231271731,0.014116946775260774
"DW-NB(k=5,λ=0.5)",DW-NB(w2-only),175.0,1.0274927032857373e-06,3.493475191171507e-05
"DW-NB(k=5,λ=0.5)",DW-NB(w3-only),260.0,5.52020539498103e-05,0.0009936369710965855
"DW-NB(k=5,λ=0.5)",GaussianNB,95.0,2.47364761761903e-08,1.3357697135142762e-06
"DW-NB(k=5,λ=0.5)",MultinomialNB,114.0,2.41286178084341e-08,1.3270739794638756e-06
"DW-NB(k=5,λ=0.5)",NB+kNN-Ensemble,522.0,0.02436304261969215,0.21926738357722936
DW-NB(w1-only),DW-NB(w2-only),126.0,2.7894401326708202e-05,0.0005578880265341641
DW-NB(w1-only),DW-NB(w3-only),518.0,0.17409820745475224,1.0
DW-NB(w1-only),GaussianNB,82.0,1.2925338941582694e-08,7.755203364949617e-07
DW-NB(w1-only),MultinomialNB,164.0,2.3210852705924888e-07,9.980666663547702e-06
DW-NB(w1-only),NB+kNN-Ensemble,627.0,0.5723262473687813,1.0
DW-NB(w2-only),DW-NB(w3-only),193.0,3.735704841595299e-06,0.00010086403072307308
DW-NB(w2-only),GaussianNB,95.0,1.5537509368973887e-08,9.011755434004855e-07
DW-NB(w2-only),MultinomialNB,183.0,5.259201173037616e-07,1.893312422293542e-05
DW-NB(w2-only),NB+kNN-Ensemble,211.0,0.0884874648758046,0.6584495009500787
DW-NB(w3-only),GaussianNB,85.0,1.5030204987044312e-08,8.867820942356145e-07
