classifier_a,classifier_b,statistic,p_value,p_holm
"DW-NB(k=15,CV-λ)","DW-NB(k=15,λ=0.5)",,1.0,1.0
"DW-NB(k=15,CV-λ)","DW-NB(k=30,λ=0.5)",562.0,0.4661102219910902,1.0
"DW-NB(k=15,CV-λ)","DW-NB(k=5,λ=0.5)",453.0,0.012679086616444504,0.2662608189453346
"DW-NB(k=15,CV-λ)",DW-NB(w1-only),456.0,0.0797617584041863,1.0
"DW-NB(k=15,CV-λ)",DW-NB(w2-only),480.0,0.08628209595873698,1.0
"DW-NB(k=15,CV-λ)",DW-NB(w3-only),602.0,0.22637820224585303,1.0
"DW-NB(k=15,λ=0.5)","DW-NB(k=30,λ=0.5)",562.0,0.4661102219910902,1.0
"DW-NB(k=15,λ=0.5)","DW-NB(k=5,λ=0.5)",453.0,0.012679086616444504,0.2662608189453346
"DW-NB(k=15,λ=0.5)",DW-NB(w1-only),456.0,0.0797617584041863,1.0
"DW-NB(k=15,λ=0.5)",DW-NB(w2-only),480.0,0.08628209595873698,1.0
"DW-NB(k=15,λ=0.5)",DW-NB(w3-only),602.0,0.22637820224585303,1.0
"DW-NB(k=30,λ=0.5)","DW-NB(k=5,λ=0.5)",486.0,0.017335781148800584,0.3120440606784105
"DW-NB(k=30,λ=0.5)",DW-NB(w1-only),513.0,0.07302052288286451,1.0
"DW-NB(k=30,λ=0.5)",DW-NB(w2-only),411.0,0.018171070603837255,0.3120440606784105
"DW-NB(k=30,λ=0.5)",DW-NB(w3-only),678.5,0.3296715612412898,1.0
"DW-NB(k=5,λ=0.5)",DW-NB(w1-only),495.0,0.021216988142060366,0.33947181027296586
"DW-NB(k=5,λ=0.5)",DW-NB(w2-only),650.0,0.22733645887726983,1.0
"DW-NB(k=5,λ=0.5)",DW-NB(w3-only),439.0,0.014373563529261777,0.27309770705597375
DW-NB(w1-only),DW-NB(w2-only),363.0,0.26847805013696446,1.0
DW-NB(w1-only),DW-NB(w3-only),710.0,0.6151645927292209,1.0
DW-NB(w2-only),DW-NB(w3-only),793.0,0.9674669611076139,1.0
