classifier_a,classifier_b,statistic,p_value,p_holm
BernoulliNB,ComplementNB,12.0,9.711701633410262e-11,3.394877475813885e-09
BernoulliNB,"DW-NB(k=15,CV-λ)",116.0,1.6511372153385402e-08,4.1278430383463504e-07
BernoulliNB,"DW-NB(k=15,λ=0.5)",0.0,5.143753751233159e-11,3.394877475813885e-09
BernoulliNB,"DW-NB(k=30,λ=0.5)",0.0,5.143753751233159e-11,3.394877475813885e-09
BernoulliNB,"DW-NB(k=5,λ=0.5)",0.0,5.143753751233159e-11,3.394877475813885e-09
BernoulliNB,DW-NB(w1-only),0.0,5.143753751233159e-11,3.394877475813885e-09
BernoulliNB,DW-NB(w2-only),0.0,5.143753751233159e-11,3.394877475813885e-09
BernoulliNB,DW-NB(w3-only),0.0,5.143753751233159e-11,3.394877475813885e-09
BernoulliNB,GaussianNB,625.0,0.10938590519345351,1.0
BernoulliNB,MultinomialNB,3.0,6.034571117940267e-11,3.394877475813885e-09
BernoulliNB,NB+kNN-Ensemble,1.0,5.4253667582425466e-11,3.394877475813885e-09
ComplementNB,"DW-NB(k=15,CV-λ)",0.0,5.143753751233159e-11,3.394877475813885e-09
ComplementNB,"DW-NB(k=15,λ=0.5)",0.0,5.143753751233159e-11,3.394877475813885e-09
ComplementNB,"DW-NB(k=30,λ=0.5)",0.0,5.143753751233159e-11,3.394877475813885e-09
ComplementNB,"DW-NB(k=5,λ=0.5)",0.0,5.143753751233159e-11,3.394877475813885e-09
ComplementNB,DW-NB(w1-only),0.0,5.143753751233159e-11,3.394877475813885e-09
ComplementNB,DW-NB(w2-only),0.0,5.143753751233159e-11,3.394877475813885e-09
ComplementNB,DW-NB(w3-only),0.0,5.143753751233159e-11,3.394877475813885e-09
ComplementNB,GaussianNB,6.0,7.075725805273177e-11,3.394877475813885e-09
ComplementNB,MultinomialNB,607.0,0.08116376742154,0.89280144163694
ComplementNB,NB+kNN-Ensemble,0.0,5.143753751233159e-11,3.394877475813885e-09
"DW-NB(k=15,CV-λ)","DW-NB(k=15,λ=0.5)",1.0,5.4253667582425466e-11,3.394877475813885e-09
