classifier_a,classifier_b,statistic,p_value,p_holm
"DW-NB(k=15,CV-λ)","DW-NB(k=15,λ=0.5)",13.0,7.106739415115865e-05,0.0014924152771743316
"DW-NB(k=15,CV-λ)","DW-NB(k=30,λ=0.5)",13.0,7.106739415115865e-05,0.0014924152771743316
"DW-NB(k=15,CV-λ)","DW-NB(k=5,λ=0.5)",13.0,7.106739415115865e-05,0.0014924152771743316
"DW-NB(k=15,CV-λ)",DW-NB(w1-only),13.0,7.106739415115865e-05,0.0014924152771743316
"DW-NB(k=15,CV-λ)",DW-NB(w2-only),13.0,7.106739415115865e-05,0.0014924152771743316
"DW-NB(k=15,CV-λ)",DW-NB(w3-only),13.0,7.106739415115865e-05,0.0014924152771743316
"DW-NB(k=15,λ=0.5)","DW-NB(k=30,λ=0.5)",,1.0,1.0
"DW-NB(k=15,λ=0.5)","DW-NB(k=5,λ=0.5)",,1.0,1.0
"DW-NB(k=15,λ=0.5)",DW-NB(w1-only),,1.0,1.0
"DW-NB(k=15,λ=0.5)",DW-NB(w2-only),,1.0,1.0
"DW-NB(k=15,λ=0.5)",DW-NB(w3-only),,1.0,1.0
"DW-NB(k=30,λ=0.5)","DW-NB(k=5,λ=0.5)",,1.0,1.0
"DW-NB(k=30,λ=0.5)",DW-NB(w1-only),,1.0,1.0
"DW-NB(k=30,λ=0.5)",DW-NB(w2-only),,1.0,1.0
"DW-NB(k=30,λ=0.5)",DW-NB(w3-only),,1.0,1.0
"DW-NB(k=5,λ=0.5)",DW-NB(w1-only),,1.0,1.0
"DW-NB(k=5,λ=0.5)",DW-NB(w2-only),,1.0,1.0
"DW-NB(k=5,λ=0.5)",DW-NB(w3-only),,1.0,1.0
DW-NB(w1-only),DW-NB(w2-only),,1.0,1.0
DW-NB(w1-only),DW-NB(w3-only),,1.0,1.0
DW-NB(w2-only),DW-NB(w3-only),,1.0,1.0
