classifier_a,classifier_b,statistic,p_value,p_holm
BernoulliNB,ComplementNB,186.0,3.6013547691814183e-07,1.368514812288939e-05
BernoulliNB,"DW-NB(k=15,CV-λ)",30.0,2.4778334218476834e-10,1.5858133899825174e-08
BernoulliNB,"DW-NB(k=15,λ=0.5)",360.0,0.00021019335701574635,0.004834447211362166
BernoulliNB,"DW-NB(k=30,λ=0.5)",411.0,0.0009626057644997117,0.014439086467495676
BernoulliNB,"DW-NB(k=5,λ=0.5)",262.0,7.289001284637839e-06,0.00024053704239304868
BernoulliNB,DW-NB(w1-only),341.0,0.00011460023011714509,0.002750405522811482
BernoulliNB,DW-NB(w2-only),378.0,0.00036604615859181576,0.007320923171836315
BernoulliNB,DW-NB(w3-only),336.0,9.734155704775134e-05,0.002530880483241535
BernoulliNB,GaussianNB,726.0,0.42458421419288206,1.0
BernoulliNB,MultinomialNB,610.0,0.1800608454063629,1.0
BernoulliNB,NB+kNN-Ensemble,334.0,9.11508764253401e-05,0.0024610736634841828
ComplementNB,"DW-NB(k=15,CV-λ)",1.0,5.4253667582425466e-11,3.5807420604400806e-09
ComplementNB,"DW-NB(k=15,λ=0.5)",173.0,2.0783085005363922e-07,8.521064852199208e-06
ComplementNB,"DW-NB(k=30,λ=0.5)",219.0,1.3880429052953127e-06,4.858150168533595e-05
ComplementNB,"DW-NB(k=5,λ=0.5)",131.0,3.278153305758669e-08,1.6062951198217477e-06
ComplementNB,DW-NB(w1-only),163.0,1.3520598958362482e-07,6.084269531263117e-06
ComplementNB,DW-NB(w2-only),185.0,3.453499518554465e-07,1.3468648122362413e-05
ComplementNB,DW-NB(w3-only),165.0,1.4741831357635288e-07,6.4864057973595265e-06
ComplementNB,GaussianNB,393.0,0.000572650799144432,0.009162412786310912
ComplementNB,MultinomialNB,487.0,0.01773383343298782,0.195072167762866
ComplementNB,NB+kNN-Ensemble,140.0,4.914252847662233e-08,2.3096988384012496e-06
"DW-NB(k=15,CV-λ)","DW-NB(k=15,λ=0.5)",63.0,3.149046903693365e-09,1.7634662660682844e-07
"DW-NB(k=15,CV-λ)","DW-NB(k=30,λ=0.5)",52.0,1.7900309559465886e-09,1.0919188831274191e-07
"DW-NB(k=15,CV-λ)","DW-NB(k=5,λ=0.5)",81.0,7.79558351118721e-09,3.967931689432932e-07
"DW-NB(k=15,CV-λ)",DW-NB(w1-only),110.0,5.1525881203038886e-08,2.370190535339789e-06
