dataset,BernoulliNB,ComplementNB,"DW-NB(k=15,CV-�","DW-NB(k=15,��=","DW-NB(k=30,��=","DW-NB(k=5,��=",DW-NB(w1-only),DW-NB(w2-only),DW-NB(w3-only),GaussianNB,MultinomialNB,NB+kNN-Ensemble
balance_scale,0.760087046,0.876753712,0.903968254,0.900768049,0.902355351,0.902355351,0.902355351,0.900768049,0.903968254,0.903968254,0.876779314,0.900768049
banknote,0.844747699,0.736200148,0.998540146,0.996350365,0.990516238,0.997810219,0.996350365,0.993435946,0.996350365,0.838241828,0.636305935,0.993435946
breast_cancer,0.931484962,0.850626566,0.96660401,0.935056391,0.933302005,0.945582707,0.935056391,0.935056391,0.942073935,0.931547619,0.840100251,0.935056391
digits,0.88534761,0.819671012,0.976070764,0.879236499,0.858097455,0.910394165,0.87700807,0.876452514,0.88257604,0.789096834,0.900387958,0.869220981
ecoli,0.777183601,0.678877005,0.815418895,0.818716578,0.818716578,0.818716578,0.818716578,0.818716578,0.818716578,0.743939394,0.425579323,0.818716578
glass,0.65952381,0.495887446,0.707575758,0.584415584,0.584415584,0.612554113,0.584415584,0.57987013,0.607792208,0.457792208,0.463636364,0.598917749
ionosphere,0.760555556,0.755079365,0.883174603,0.894603175,0.886031746,0.894603175,0.894603175,0.891746032,0.897460317,0.883174603,0.655238095,0.891746032
iris,0.753333333,0.666666667,0.94,0.953333333,0.953333333,0.953333333,0.953333333,0.946666667,0.953333333,0.953333333,0.793333333,0.946666667
letter,0.42155,0.40645,0.9484,0.8524,0.81615,0.91315,0.84825,0.842,0.87135,0.64365,0.524,0.85045
optdigits,0.89519573,0.820996441,0.977402135,0.858718861,0.831494662,0.880071174,0.85569395,0.855516014,0.858185053,0.722597865,0.907117438,0.89519573
page_blocks,0.890366832,0.909735919,0.964736319,0.947558014,0.944451821,0.9537704,0.950298576,0.947557347,0.948105793,0.900415671,0.898593189,0.94280715
parkinsons,0.718684211,0.707631579,0.892368421,0.713421053,0.703157895,0.841578947,0.713421053,0.708421053,0.718421053,0.698157895,0.851052632,0.708421053
pendigits,0.810499876,0.699508892,0.990993217,0.96843279,0.950237158,0.981168583,0.967704856,0.967704856,0.969615436,0.856351394,0.801492845,0.969433535
robot_navigation,0.606672044,0.596044628,0.866014719,0.740282623,0.677412374,0.829722754,0.75054441,0.723052727,0.756410592,0.527849246,0.590173405,0.697942333
satellite,0.693468118,0.541368585,0.906998445,0.841679627,0.82970451,0.860653188,0.838724728,0.838413686,0.841213064,0.795800933,0.579315708,0.849766719
segment,0.723376623,0.495670996,0.945021645,0.883549784,0.844155844,0.933333333,0.896969697,0.883116883,0.888744589,0.796103896,0.769264069,0.872727273
sonar,0.75452381,0.745238095,0.793095238,0.702142857,0.692619048,0.778333333,0.706904762,0.706904762,0.721190476,0.682619048,0.754761905,0.706904762
spambase,0.902632274,0.836777799,0.923062341,0.826776384,0.822428558,0.837641705,0.827427615,0.826341601,0.827428558,0.816560407,0.889808073,0.851989531
transfusion,0.747279279,0.695135135,0.783441441,0.764666667,0.760648649,0.772630631,0.755261261,0.762,0.767369369,0.744558559,0.762054054,0.762
vehicle,0.457535014,0.464495798,0.702240896,0.624201681,0.582773109,0.669005602,0.618333333,0.618319328,0.641904762,0.45035014,0.536680672,0.611232493
vowel,0.376767677,0.324242424,0.918181818,0.846464646,0.797979798,0.954545455,0.860606061,0.777777778,0.896969697,0.674747475,0.461616162,0.754545455
waveform,0.7808,0.7288,0.8252,0.8088,0.8088,0.8082,0.81,0.8098,0.8096,0.798,0.8164,0.8098
wine,0.927124183,0.86503268,0.983333333,0.983333333,0.977777778,0.988888889,0.983333333,0.983333333,0.977777778,0.977777778,0.944117647,0.983333333
yeast,0.472397061,0.516837475,0.562692726,0.491878288,0.491878288,0.491878288,0.518152549,0.491869218,0.512765282,0.134813169,0.332904045,0.301215309
