dataset,BernoulliNB,ComplementNB,"DW-NB(k=15,CV-λ)","DW-NB(k=15,λ=0.5)","DW-NB(k=30,λ=0.5)","DW-NB(k=5,λ=0.5)",DW-NB(w1-only),DW-NB(w2-only),DW-NB(w3-only),GaussianNB,MultinomialNB,NB+kNN-Ensemble
JapaneseVowels,0.01304600054618293,0.010937190891035875,0.0037482180957593785,0.004718990933746657,0.006415070988339885,0.005233710647070724,0.004984197298014586,0.00572384513622626,0.003642979614794812,0.010374440623366513,0.007304755231470801,0.005246547377015455
LED-display-domain-7digit,0.05420127099780755,0.049396356140913894,0.07130529043797837,0.08167687011088949,0.09953223933312594,0.08329332372872256,0.07542472332656504,0.08854377448471464,0.08283853102404835,0.10962562555250377,0.07071067811865474,0.09052930771609571
MagicTelescope,0.009009664065136402,0.008092300802658242,0.010629852154447863,0.0063392590658897805,0.004272751477790643,0.005304441623248846,0.0073114791605338745,0.005639807147092265,0.006339501313594759,0.003928586009719575,0.0034091318375851125,0.005599636485307354
PhishingWebsites,0.0070028902338018055,0.008069245519418048,0.004313934991598861,0.008583355598402622,0.012175177485396477,0.009582392362867209,0.0071776520329069025,0.00849066674454504,0.009054513111138534,0.009647840281461758,0.007555600694680736,0.008503613151326733
Speech,0.0058556293251613165,0.012717596518353165,0.0036567398429745127,0.005063915742492447,0.004628312527874134,0.0043182313082253945,0.00473432029525293,0.005106438265293242,0.004376534084562719,0.005229449223928551,0.0008510590313089522,0.005106438265293242
UCI_churn,0.0012377774099440679,0.0013504390793111505,0.002626157062292738,0.0012377774099440624,0.0012377774099440624,0.0012377774099440624,0.0012377774099440624,0.0012377774099440624,0.0012377774099440624,0.0012377774099440624,0.0012377774099440679,0.008908808712303963
USPS,0.00983454195669267,0.013402700239060102,0.005475112281504175,0.010078587979125959,0.011262594929753759,0.010724450171600834,0.010484909763733194,0.010484909763733194,0.010097581545379814,0.013328721848047273,0.00647523094744963,0.011369953522680859
artificial-characters,0.01566458003268964,0.011496983149832102,0.009016824163466398,0.01664681749187713,0.015803370075843887,0.014470923562724197,0.011586707806159285,0.0144345135974584,0.011760861315345903,0.01061455316943143,0.006278603724168575,0.010332977034706379
banknote-authentication,0.011998775433990408,0.0381083474269643,0.0030776424916480988,0.005161363366325161,0.006926574032065228,0.00352588241999746,0.005161363366325161,0.006390555290747883,0.005161363366325161,0.036542177750843605,0.021354485675036554,0.006390555290747883
blood-transfusion-service-center,0.04360552283601219,0.05141260417914166,0.02313559197376064,0.04990195547385963,0.04230984632528276,0.03292150980422633,0.04517778639702352,0.048087705105747,0.04291840370708292,0.05046475201266925,0.004330326165275608,0.048087705105747
