dataset,BernoulliNB,ComplementNB,"DW-NB(k=15,CV-λ)","DW-NB(k=15,λ=0.5)","DW-NB(k=30,λ=0.5)","DW-NB(k=5,λ=0.5)",DW-NB(w1-only),DW-NB(w2-only),DW-NB(w3-only),GaussianNB,MultinomialNB,NB+kNN-Ensemble
balance_scale,0.8060521830961939,0.8710167849243862,0.8886748176144461,0.884087676317846,0.9087087979337365,0.8342251046048954,0.9047763012701093,0.9157870897355258,0.8565560857241759,0.8982173675167697,0.825038309939826,0.9205332639022721
banknote,,,,,,,,,,,,
breast_cancer,,,,,,,,,,,,
digits,0.9896564104192654,0.9792433293137996,0.9986954368374711,0.9807662014246551,0.9786193123234878,0.9831773859762514,0.9805791371092685,0.9805336694462733,0.9809635199617684,0.9642901623362736,0.991329777113943,0.9960982948650481
ecoli,,,,,,,,,,,,
glass,0.8596541458505396,0.8211463721540997,0.8831580786293958,0.8860498882080614,0.8860498882080614,0.8887227027229812,0.8854300796308593,0.8821100865830745,0.8898362224298594,0.8328169891105007,0.7887004316063074,0.8783702546512349
ionosphere,,,,,,,,,,,,
iris,0.8846666666666667,0.8846666666666667,0.9946666666666667,0.9946666666666667,0.9946666666666667,0.9960000000000001,0.9946666666666667,0.9946666666666667,0.9946666666666667,0.9946666666666667,0.8306666666666667,0.9973333333333333
letter,0.9105685102777581,0.8898483296295542,0.9988212191966103,0.9966505694242352,0.9943759317819622,0.9978615290066326,0.9965102963399064,0.9962719517008829,0.9973048821980811,0.9566640074519721,0.8957521251422647,0.9966242621995945
optdigits,0.9906254665654431,0.9815650631684176,0.9986179338387619,0.9860432158185279,0.9836450114549098,0.9876618327812008,0.9858531399310191,0.9858387357472893,0.9860793169271874,0.9499932981568151,0.9912825388064885,0.9971010637401481
page_blocks,0.935940444787178,0.9082880677534613,0.971585843987615,0.9737086854087481,0.973592152909089,0.9738451066069921,0.973808505719612,0.9733798324587779,0.9737627826667682,0.9610848433281441,0.9225771926954056,0.9815844254769918
parkinsons,,,,,,,,,,,,
pendigits,0.9628853532544193,0.93288885780501,0.9991582036548167,0.9986933634991516,0.9978997938479235,0.998871034604187,0.9986744376466623,0.9986645273158095,0.9987310110241584,0.9788831423439748,0.9457350609471733,0.9987696669138606
robot_navigation,0.8193881209024594,0.8220672111682188,0.9718378877540814,0.9332947512420151,0.9095642777450983,0.958873774569386,0.9356089720193251,0.9281337046128308,0.9378919905234557,0.8323306857124608,0.8309384727218869,0.935244402252137
satellite,0.9151975463282179,0.8815937897989737,0.9875702907756315,0.9719017578849922,0.9690901300495623,0.9749125593037812,0.9714691727526826,0.9714150161786224,0.972270417287368,0.9411218130238055,0.8950016360571695,0.9814436606275893
segment,0.931219117582754,0.9216865625956535,0.9960448642266824,0.9872731645458919,0.983982683982684,0.9902630198084743,0.988694302330666,0.9865057501421137,0.9876885740522103,0.9675707289343652,0.9430167475622021,0.9889839958021776
sonar,,,,,,,,,,,,
spambase,,,,,,,,,,,,
transfusion,,,,,,,,,,,,
vehicle,0.7563049503241188,0.7471372547092185,0.9137762710677514,0.8717457023161115,0.8422927263360067,0.8942190079410748,0.8704778975601183,0.8688824066623294,0.8784266818443995,0.7708382971222113,0.751722486352487,0.8862107097704035
vowel,0.8574971941638608,0.8256228956228956,0.995263748597082,0.9905611672278338,0.9836139169472503,0.9986307519640854,0.991358024691358,0.9830751964085298,0.9941863075196409,0.9628507295173963,0.8390123456790123,0.9804489337822672
waveform,0.9353056326677172,0.926512860572531,0.9619927057023698,0.9615832944812096,0.9612489781411238,0.9579205233494139,0.9614911861533763,0.9614864290717403,0.9617400740654339,0.9560011623663269,0.9375807714165785,0.9615123688745892
wine,0.9937692862692863,0.988402615902616,0.9977753727753728,0.9977753727753728,0.9977753727753728,0.9995670995670995,0.9977753727753728,0.9977753727753728,0.9977753727753728,0.9986712361712362,0.9904966329966329,0.9986712361712362
yeast,0.8048058142963056,0.8455268704387862,0.8061437695883225,0.8187153732824383,0.8187153732824383,0.8187153732824383,0.8194593967397263,0.8183428452093884,0.8143884643918737,0.794424254203781,0.8383826809692712,0.8375132451053074
