dataset,BernoulliNB,ComplementNB,"DW-NB(k=15,CV-λ)","DW-NB(k=15,λ=0.5)","DW-NB(k=30,λ=0.5)","DW-NB(k=5,λ=0.5)",DW-NB(w1-only),DW-NB(w2-only),DW-NB(w3-only),GaussianNB,MultinomialNB,NB+kNN-Ensemble
JapaneseVowels,0.9411861494494168,0.9233579491721826,0.9997130924579316,0.9978082236658203,0.9964327267995057,0.999377119550463,0.997646020454048,0.9973312468848288,0.9985348827525113,0.9839497963446995,0.9344454018524762,0.997639050847875
LED-display-domain-7digit,0.9570885183939299,0.9234027340939459,0.9355671035049851,0.9325980716041077,0.931067729328437,0.9337498278343098,0.9282524913800353,0.9319225602463114,0.9323225616479316,0.9234212347807398,0.9519536367374017,0.9415751952924246
MagicTelescope,,,,,,,,,,,,
PhishingWebsites,,,,,,,,,,,,
Speech,,,,,,,,,,,,
UCI_churn,,,,,,,,,,,,
USPS,0.9675880775404307,0.9291815180748427,0.9965286640081867,0.940606429956207,0.9367842189274931,0.944314974549954,0.9401178781701809,0.9401147845565031,0.9407625641066387,0.9017985609289753,0.9824739570556604,0.9924733573340699
artificial-characters,0.7242754404586839,0.7047446626755122,0.9934517367090614,0.9672520489582104,0.9563772442285421,0.9798371517735246,0.9973636131469414,0.9468776018937305,0.9571721102491114,0.725668802068965,0.6948196442346655,0.9420602082123729
banknote-authentication,,,,,,,,,,,,
blood-transfusion-service-center,,,,,,,,,,,,
breast-w,,,,,,,,,,,,
california,,,,,,,,,,,,
cardiotocography,0.9998107923728335,1.0,0.9998237323732374,0.9998237323732374,0.9998237323732374,0.9998237323732374,0.9998237323732374,0.9998237323732374,0.9998237323732374,0.9998237323732374,1.0,1.0
clean1,,,,,,,,,,,,
clean2,,,,,,,,,,,,
climate-model-simulation-crashes,,,,,,,,,,,,
corporate_credit_ratings,0.8557417777777777,0.8398151111111112,0.9597253333333333,0.9571324444444445,0.9592164444444444,0.952284888888889,0.9570431111111111,0.9568284444444444,0.9560373333333333,0.962647111111111,0.8515862222222224,0.9578471111111112
default-of-credit-card-clients,,,,,,,,,,,,
diabetes,,,,,,,,,,,,
ecoli,0.9109304485632725,0.8599231639297493,0.8311396410170355,0.8311396410170355,0.8311396410170355,0.8311396410170355,0.8311091591239808,0.8311091591239808,0.8311091591239808,0.8202192802298686,0.8331447523234253,0.841437838812386
eeg-eye-state,,,,,,,,,,,,
gas-drift,0.8067061517244929,0.8216217292246011,0.9986473933771955,0.884392360742727,0.8781957198518079,0.8871887437280611,0.8823310823969208,0.8821177138695993,0.8831738967087175,0.786130674820071,0.8404275139143678,0.9910581911048035
gina_agnostic,,,,,,,,,,,,
glass,0.8591696619669396,0.8179578632250734,0.9090518922474689,0.8885140382454443,0.8885140382454443,0.8920428643147795,0.8899167475474591,0.8851952045157309,0.894153546199767,0.8386449264349074,0.7905040836388965,0.8834628363953545
har,0.9588878208559375,0.9594561385910984,0.9984880771655327,0.9475788894076913,0.9456450645228347,0.9509836725025174,0.9473187265914209,0.9473085383068442,0.9476593889792235,0.9072413433655846,0.9734536453823385,0.990970068534101
heart-statlog,,,,,,,,,,,,
ionosphere,,,,,,,,,,,,
iris,0.8846666666666667,0.8846666666666667,0.9946666666666666,0.9946666666666666,0.9946666666666666,0.9960000000000001,0.9946666666666666,0.9946666666666666,0.9946666666666666,0.9946666666666666,0.8306666666666667,0.9973333333333333
isolet,0.9826578531115464,0.9818238892056488,0.9960405349386174,0.9697679392781101,0.9689380801280576,0.9711621434572161,0.969615731733086,0.9696136830756167,0.9697171860978211,0.9517274466003792,0.9940662482642149,0.9963634274877556
kc1,,,,,,,,,,,,
letter,0.9105685102777581,0.8898483296295542,0.9988218213936569,0.9966505694242352,0.9943759317819622,0.9978615290066326,0.9965102963399065,0.9962719517008829,0.9973048821980811,0.9566640074519721,0.8957521251422647,0.9966242621995945
madelon,,,,,,,,,,,,
mc1,,,,,,,,,,,,
mfeat-factors,0.9821597222222221,0.9814777777777778,0.9977083333333333,0.9867861111111113,0.9867013888888889,0.9868277777777777,0.9867611111111112,0.9867583333333334,0.9868277777777777,0.9777597222222223,0.9901027777777778,0.997075
mfeat-karhunen,0.9887333333333335,0.9794194444444445,0.9980527777777779,0.997411111111111,0.9970166666666666,0.9975916666666667,0.9973444444444446,0.9973333333333334,0.9975916666666667,0.9957652777777778,0.9844416666666665,0.9973194444444445
mozilla4,,,,,,,,,,,,
optdigits,0.9906254665654431,0.9815650631684176,0.9987020275245048,0.9860432158185279,0.9836450114549098,0.9876618327812008,0.9858531399310191,0.9858387357472893,0.9860793169271875,0.9499932981568151,0.9912825388064885,0.9971010637401481
