dataset,BernoulliNB,ComplementNB,"DW-NB(k=15,CV-λ)","DW-NB(k=15,λ=0.5)","DW-NB(k=30,λ=0.5)","DW-NB(k=5,λ=0.5)",DW-NB(w1-only),DW-NB(w2-only),DW-NB(w3-only),GaussianNB,MultinomialNB,NB+kNN-Ensemble
JapaneseVowels,0.002442721164261185,0.002832790052147564,0.0001075696641560262,0.00020906686329314446,0.0003420641990580972,0.00010948607766487387,0.00022771732980277418,0.00026608896300558065,0.0001509150265692731,0.0013349285528984076,0.002774123290409087,0.0002879982605260373
LED-display-domain-7digit,0.019439168001274196,0.021103451944218046,0.03191484450938302,0.04385472289222937,0.04407276148322465,0.042031346063661226,0.03884501283325019,0.04488750509411203,0.04201895096771029,0.04518044167160125,0.017879649983279504,0.03722174173144453
MagicTelescope,,,,,,,,,,,,
PhishingWebsites,,,,,,,,,,,,
Speech,,,,,,,,,,,,
UCI_churn,,,,,,,,,,,,
USPS,0.003282646111156768,0.004317878200508732,0.0014456432425897067,0.006307261529901334,0.006274416825408032,0.00676318069114982,0.006288709415565312,0.006292674917284956,0.00649850868874082,0.005998550893313352,0.0020705103317425226,0.001145474128256176
artificial-characters,0.01267780744337145,0.00904652230104565,0.0015777722435943865,0.0018511530938324198,0.0019243303001569081,0.002261671365240789,0.0012383925967881639,0.0014856165981922196,0.0018948854777478532,0.0067485347439079245,0.00788908518999531,0.002706898980881656
banknote-authentication,,,,,,,,,,,,
blood-transfusion-service-center,,,,,,,,,,,,
breast-w,,,,,,,,,,,,
california,,,,,,,,,,,,
cardiotocography,0.0005513199183736393,0.0,0.0005574071783225285,0.0005574071783225285,0.0005574071783225285,0.0005574071783225285,0.0005574071783225285,0.0005574071783225285,0.0005574071783225285,0.0005574071783225285,0.0,0.0
clean1,,,,,,,,,,,,
clean2,,,,,,,,,,,,
climate-model-simulation-crashes,,,,,,,,,,,,
corporate_credit_ratings,0.008495895098538849,0.008518388198681124,0.006115181513109092,0.00661170423317165,0.005449081441827741,0.005997795461484586,0.006625306448900159,0.006593428894104992,0.006646742308801803,0.004232319155273886,0.007944332092791023,0.005806227846950265
default-of-credit-card-clients,,,,,,,,,,,,
diabetes,,,,,,,,,,,,
ecoli,0.0177220432666275,0.025599044854644214,0.005632618438289933,0.005632618438289933,0.005632618438289933,0.005632618438289933,0.005675726344854791,0.005675726344854791,0.005675726344854791,0.028297582985681875,0.008328499416008836,0.0071943810580475135
eeg-eye-state,,,,,,,,,,,,
gas-drift,0.00968416460648885,0.0073714211850674964,0.0007268940453065853,0.0058130137088510956,0.006670331817531334,0.006190054419312067,0.005763675613637169,0.005678955490616803,0.00602220232412421,0.007148532475733134,0.0071069767876175815,0.0014079008113064533
gina_agnostic,,,,,,,,,,,,
glass,0.04569583400325207,0.04323525172534429,0.04748069424963331,0.062188893951936185,0.062188893951936185,0.05683897443409592,0.060685500681622644,0.05937966854419722,0.06001420271623213,0.059611482119264904,0.047103388693448205,0.06168814146652961
har,0.003810183199678833,0.0027379042011858265,0.0006279623238311786,0.006593148608520544,0.006965274974159443,0.006491792804414937,0.006741164000425349,0.006740324954542294,0.006848209495752009,0.021485410070831972,0.003371487465059073,0.0017807043053388637
heart-statlog,,,,,,,,,,,,
ionosphere,,,,,,,,,,,,
iris,0.03143482381290134,0.027764441242907566,0.01124365390282098,0.01124365390282098,0.01124365390282098,0.008999314102807398,0.01124365390282098,0.01124365390282098,0.01124365390282098,0.01124365390282098,0.007825251938515115,0.008432740427115719
isolet,0.0020844988591221403,0.0026132179381507335,0.0017113787182417375,0.005376171804178417,0.0057344180620896275,0.005020545496159194,0.005478866355723845,0.00547856506828335,0.005456786266518886,0.00685073619780801,0.001638101498779263,0.0011969754061897757
kc1,,,,,,,,,,,,
letter,0.003388105405418625,0.0029679633680168554,0.000524736185393771,0.0003758118828213703,0.0004768675527557526,0.0005745371735972773,0.0003785178647025391,0.0004002173430752239,0.000377794539322428,0.002737689817644546,0.0030256766367576455,0.00027162496613739875
madelon,,,,,,,,,,,,
mc1,,,,,,,,,,,,
mfeat-factors,0.006561442121933219,0.005435158369547119,0.001579077016793603,0.00828350897380249,0.008204765027284445,0.007740840974895857,0.008297396277111452,0.008294888686804301,0.008256329408922694,0.00980824607668582,0.0036726487397289146,0.0020082797578360235
mfeat-karhunen,0.004583084542443283,0.006644813075574667,0.0016891716178227783,0.0020928711712307675,0.0020657986362389584,0.001993776754704366,0.0020917812258562617,0.0020833127571000163,0.001966456098792307,0.003488581523478181,0.006283407969123714,0.0025105828817300006
mozilla4,,,,,,,,,,,,
optdigits,0.002091800324635023,0.003152261445034609,0.0010481203623317773,0.004061621549041559,0.00444034465605495,0.004519944380686765,0.004099467804666575,0.004104825916615863,0.004017501418204572,0.008358753179856628,0.002012429256268464,0.00032925821098734605
ozone-level-8hr,,,,,,,,,,,,
page-blocks,0.012066076010013345,0.02059779500868702,0.013735841900917738,0.01714430523083434,0.01674454052883471,0.016039241729197472,0.017256415015182415,0.01719943106066999,0.017272377920526254,0.016979914015075512,0.021885985452015328,0.007182538652766397
parkinsons,,,,,,,,,,,,
pendigits,0.004093988678914514,0.0038019376262771495,0.0007643648546872404,0.0007128769609877863,0.0007950937568210229,0.0007209285293442065,0.0007125595389708819,0.0007123291256432995,0.0007226733068117019,0.002427782271619871,0.0038214128007247493,0.0005175953052319818
ringnorm,,,,,,,,,,,,
