dataset,BernoulliNB,ComplementNB,"DW-NB(k=15,CV-λ)","DW-NB(k=15,λ=0.5)","DW-NB(k=30,λ=0.5)","DW-NB(k=5,λ=0.5)",DW-NB(w1-only),DW-NB(w2-only),DW-NB(w3-only),GaussianNB,MultinomialNB,NB+kNN-Ensemble
JapaneseVowels,0.6995956005261496,0.5828413417485635,0.9810304059962889,0.9392911898473522,0.9262626606649732,0.9652087568287362,0.9365456002861577,0.932050096118784,0.9508295093816421,0.8492116151247531,0.2867197717788442,0.9334394500753402
LED-display-domain-7digit,0.7301666666666666,0.5821666666666666,0.712,0.6896666666666667,0.683,0.6941666666666666,0.7024999999999999,0.6953333333333334,0.6900000000000001,0.657,0.7255,0.6913333333333334
MagicTelescope,0.6974907093224406,0.7580098218074603,0.799922500554368,0.7075745570217815,0.6978101295859958,0.7351803443055497,0.715194419802412,0.7049855278528601,0.7149883046552314,0.646723572984623,0.5266026499367255,0.7050260464914337
PhishingWebsites,0.9275822961712266,0.9279446604659031,0.9657328114070435,0.8762486750920356,0.8324797112334521,0.9291061333869312,0.9362153929968053,0.8741379662267148,0.8858713013043831,0.7288187047022364,0.9266609533914636,0.8754373274346128
Speech,0.615536309496631,0.7320058227391226,0.5990342906716588,0.6272307091870125,0.6269544660930899,0.6451378062754255,0.6272303286868832,0.6270925876400513,0.6359772656608417,0.6476776446389707,0.5,0.6270925876400513
UCI_churn,0.5,0.500844969566774,0.5068770139634802,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6041744987468671
USPS,0.8153029701837037,0.5855679981732352,0.9543465676850647,0.7902783659125088,0.7819121396048937,0.8010993672469576,0.7880178574407197,0.7880178574407197,0.789265636874535,0.7604049344915402,0.827640810648588,0.8150312978003486
artificial-characters,0.2502338908451223,0.20907258791475475,0.9307685516775166,0.7118569795316563,0.6657109564204563,0.8043098287255006,0.9516458904236872,0.59288805109461,0.6448095589266591,0.282564647441878,0.14401064858067886,0.48163297790142917
banknote-authentication,0.8485872841567407,0.7266948107974855,0.9986842105263157,0.9967105263157896,0.9911323577199334,0.9980263157894737,0.9967105263157896,0.9934318377911993,0.9967105263157896,0.8332489663054805,0.590983606557377,0.9934318377911993
blood-transfusion-service-center,0.6472394220846234,0.6710268317853457,0.6281303749570004,0.576857585139319,0.5685242518059855,0.599389404884761,0.5840213278293773,0.5694014447884417,0.5846405228758169,0.5521327829377365,0.5,0.5694014447884417
breast-w,0.9707048748353098,0.8993412384716732,0.9622979797979798,0.9661363636363637,0.9661363636363637,0.9704924242424242,0.9661363636363637,0.9661363636363637,0.9682196969696969,0.9670833333333333,0.887173364075538,0.9661363636363637
california,0.7402832446108617,0.73955551357529,0.8463715892600696,0.8161193411228655,0.8101095215001617,0.8222285035977714,0.8143745441695052,0.8126781498357131,0.8212573496793208,0.6222478646455989,0.7396041511590312,0.8126781498357131
cardiotocography,0.993836618283677,1.0,0.9996969696969696,0.9996969696969696,0.9996969696969696,0.9996969696969696,0.9996969696969696,0.9996969696969696,0.9996969696969696,0.9996969696969696,1.0,0.9996969696969696
clean1,0.7328500203500203,0.6853795278795278,0.8894953194953195,0.829090354090354,0.8186538461538462,0.8572517297517297,0.829090354090354,0.829090354090354,0.829090354090354,0.8168019943019942,0.6968264143264143,0.829090354090354
clean2,0.6665283709447889,0.7590586865015913,0.9262124247255832,0.8592130935605636,0.846687443462347,0.8828065317742156,0.8576950669950987,0.8570256594471333,0.8601038799826594,0.8408737728501239,0.7071453103632523,0.8817892504202914
climate-model-simulation-crashes,0.580234693877551,0.8230102040816327,0.49989795918367347,0.5782755102040816,0.5882959183673468,0.5762346938775511,0.589295918367347,0.5903163265306122,0.5698163265306122,0.7149897959183673,0.5,0.5903163265306122
corporate_credit_ratings,0.4556,0.3884,0.7416,0.7388,0.7394000000000001,0.7266,0.7382000000000001,0.7350000000000001,0.74,0.7398,0.5309999999999999,0.734
default-of-credit-card-clients,0.5802049004464925,0.6462035853153218,0.6531589176707088,0.6965213870154573,0.6965794639355807,0.6903495468610541,0.6965836197417861,0.6971963879952104,0.6965816992124176,0.687812108201096,0.5,0.6971963879952104
diabetes,0.6846894586894587,0.6206182336182337,0.7055470085470086,0.7103219373219373,0.7143931623931624,0.7106581196581196,0.7132507122507122,0.7141794871794872,0.7103219373219373,0.7211310541310542,0.5,0.7141794871794872
ecoli,0.456375132260047,0.43704966245968835,0.5592603800610549,0.5592603800610549,0.5592603800610549,0.5592603800610549,0.5592603800610549,0.5592603800610549,0.5592603800610549,0.4941899440156591,0.125,0.5977219185225934
eeg-eye-state,0.5675019860167284,0.5456422744724697,0.8493682321762319,0.6456184853360935,0.5895400163339317,0.7685455279797351,0.64509765200276,0.6440786117210079,0.6552815016982623,0.49932682221269714,0.500074294205052,0.6445992239406357
gas-drift,0.5256653775844298,0.44718072091264227,0.9907569153726333,0.6375956937194972,0.6356152921496041,0.6390110682463664,0.6338548788940507,0.6338548788940507,0.6342895961869732,0.5687955830223955,0.5776944631120763,0.9234143326844378
gina_agnostic,0.7964816247032427,0.7940862344518809,0.821625917370165,0.7847726769187388,0.7839319210099631,0.7922364926088296,0.7844885860096478,0.7844885860096478,0.7859141372400609,0.7822205588842193,0.794076207713913,0.7853425787231607
glass,0.6076940035273368,0.37415490887713104,0.6552763080540858,0.5572089947089948,0.5572089947089948,0.5757275132275131,0.5618386243386243,0.5430629041740153,0.5896164021164021,0.4911081716637272,0.2965534979423868,0.54537771898883
