dataset,BernoulliNB,ComplementNB,"DW-NB(k=15,CV-λ)","DW-NB(k=15,λ=0.5)","DW-NB(k=30,λ=0.5)","DW-NB(k=5,λ=0.5)",DW-NB(w1-only),DW-NB(w2-only),DW-NB(w3-only),GaussianNB,MultinomialNB,NB+kNN-Ensemble
JapaneseVowels,0.013993703264676076,0.010228432901393072,0.0038065551989661744,0.005470667497855509,0.007428634985941249,0.005602409970866439,0.00566551101702802,0.006375776083593517,0.0038323295565191673,0.01159990144872577,0.006896761956370353,0.0061486537288404875
LED-display-domain-7digit,0.05734587502790457,0.04942290417195377,0.08314719953265688,0.08783331576357968,0.10271559680574562,0.09488866120191258,0.08320823944244407,0.09480584448307054,0.0917322997357791,0.11395201502560223,0.0769200723534774,0.09689245661117357
MagicTelescope,0.011642676992958928,0.008922383481264985,0.012299115709527199,0.008849034620594635,0.00707880124400966,0.007904542059122147,0.009810103946844378,0.007889029282197268,0.008926181625354744,0.005928519225583765,0.004867643465845428,0.007851300335027256
PhishingWebsites,0.0074410735523547395,0.008422805703787064,0.004755548897024393,0.007727672617591658,0.010967030720813876,0.008706447446147049,0.006558779323143148,0.007630068141575368,0.008136530277042602,0.008687902419845113,0.008014211843775421,0.007640052018114501
Speech,0.06121588395818358,0.09080370453112879,0.08598393735179546,0.08836979807423104,0.08824184673316993,0.09417517428561936,0.08850710097029421,0.0884518716462879,0.09541938803227967,0.08175694871704384,0.0,0.0884518716462879
UCI_churn,0.0,0.003334356782749124,0.007942999472654158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018187565186795103
USPS,0.010098804903394222,0.015095542394172334,0.006103230352078988,0.011722707132673763,0.012910912969326033,0.012105224818161925,0.0121948999572704,0.0121948999572704,0.011710076973466918,0.015295103701338629,0.0063377555151817085,0.01331511182132202
artificial-characters,0.014650875402158937,0.01327085402119641,0.009267004058425163,0.015996624907133414,0.014857948329457586,0.01329796046732218,0.011595522507697497,0.01652282930236436,0.012842094003425562,0.009916296991943454,0.005341804049405705,0.011093567911798833
banknote-authentication,0.011740775676582263,0.03936232954397531,0.0027739277720775033,0.00465201829727987,0.0065402716220212195,0.0031779334969713356,0.00465201829727987,0.006289483681010106,0.00465201829727987,0.04027625653543662,0.02426930928000269,0.006289483681010106
blood-transfusion-service-center,0.06369840348949228,0.06005420963721669,0.03373513432479394,0.06535970406641792,0.05998937883681726,0.04660274160379814,0.06523612018008168,0.06284994625743083,0.05522846088094909,0.06843467924227366,0.0,0.06284994625743083
breast-w,0.015873519812350283,0.0176033843958635,0.019292921947807146,0.023454492648698217,0.023454492648698217,0.01975964606497866,0.023454492648698217,0.023454492648698217,0.02007660019125472,0.02042144184263622,0.03053641779288131,0.023454492648698217
california,0.011376908581903168,0.011243603923239694,0.010031338239913392,0.016009411204948972,0.016923792442644952,0.013496371923576564,0.01614645122790433,0.016209759495901296,0.014980928734766644,0.05835768416401444,0.011427253957655583,0.016209759495901296
cardiotocography,0.006457708817825251,0.0,0.0009582659576268128,0.0009582659576268128,0.0009582659576268128,0.0009582659576268128,0.0009582659576268128,0.0009582659576268128,0.0009582659576268128,0.0009582659576268128,0.0,0.0009582659576268128
clean1,0.10235963624141173,0.09495648558300197,0.034811949210161314,0.07060014949422327,0.07520522692507571,0.05720503876493179,0.07060014949422327,0.07060014949422327,0.07060014949422327,0.07691222207276424,0.0893597100210844,0.07060014949422327
clean2,0.02728300177968509,0.028910454478312655,0.01772802138237001,0.024776096756246164,0.02422280547239079,0.023745120998267914,0.024036275732631618,0.024009697993780263,0.023802811649850462,0.02362395099223231,0.029040776303180763,0.02153210281979346
climate-model-simulation-crashes,0.10126050912164891,0.09121816433958659,0.01914533970915687,0.08785603605824818,0.08295909372354154,0.1421664095523198,0.08169318121655987,0.08133822257103843,0.10600824353661625,0.13465049849471344,0.0,0.08133822257103843
corporate_credit_ratings,0.013849989971917756,0.01861421201364402,0.01675443556527976,0.016226179121681412,0.017765134392961984,0.02290172240004864,0.01797405537619895,0.01826350337573697,0.019955506062794386,0.01692992091600613,0.01893262909488389,0.01611072796479275
default-of-credit-card-clients,0.012441685293767345,0.014279931204285664,0.021009879649203124,0.008018033669443,0.006869609471392309,0.01013590590346475,0.008086896445972405,0.007937847951889098,0.009140123097701533,0.017717255165743122,0.0,0.007937847951889098
diabetes,0.06118622475786556,0.05376586977608456,0.054340379410834326,0.05233932634635453,0.04791620361471044,0.052591977740093034,0.053681133565253156,0.056077572886790925,0.046165551472347424,0.056150684601596515,0.0,0.056077572886790925
ecoli,0.14112908606163233,0.016759894137043315,0.002891678748313723,0.002891678748313723,0.002891678748313723,0.002891678748313723,0.002891678748313723,0.002891678748313723,0.002891678748313723,0.19460355033153567,0.0,0.05150115057372848
eeg-eye-state,0.016584048457899306,0.014003994622665626,0.03863696041791765,0.08094072107822488,0.0878386735335608,0.060975068490667375,0.07961223570435814,0.07721735494688753,0.08571267554956001,0.005388590187111016,0.0002349389049159263,0.0775922756200314
gas-drift,0.010028965351152296,0.010200665645556897,0.002825702789473258,0.01346553922992562,0.01304096779146631,0.013389872192219928,0.013476702816299329,0.013476702816299329,0.01374328475477002,0.012232921289749572,0.01884322296796383,0.008855460673746275
