dataset,BernoulliNB,ComplementNB,"DW-NB(k=15,CV-λ)","DW-NB(k=15,λ=0.5)","DW-NB(k=30,λ=0.5)","DW-NB(k=5,λ=0.5)",DW-NB(w1-only),DW-NB(w2-only),DW-NB(w3-only),GaussianNB,MultinomialNB,NB+kNN-Ensemble
balance_scale,0.3460238124248427,0.5613423125055261,0.1995395147518471,0.1917780058502889,0.20152288796010293,0.20111289948754602,0.19135584287379984,0.19126222710851162,0.1973757854180203,0.2278932489883394,0.4349214324629326,0.1977714769741304
banknote,0.2428718447893567,0.4634109335469166,0.00401892967179394,0.00924714736597139,0.02549236299130933,0.0033709756552750677,0.006568714898377802,0.013826679913040638,0.006101036125531126,0.20941980821197337,0.4585445085328367,0.05943247119886037
breast_cancer,0.12035006231706646,0.32398919773360424,0.058989591161588195,0.10876635311874103,0.1137727550247756,0.0931619222503143,0.10967381333032715,0.11013518483667165,0.10269999767509848,0.1278912734642092,0.29358182072704514,0.08032704858594482
digits,0.18780308414509533,0.7468684629268065,0.050761366131600115,0.22932743755052337,0.26787411300625,0.17028664488598166,0.2331245694650038,0.2335761194452266,0.22250333889417945,0.4020194560174238,0.15699709035232515,0.15279674432694798
ecoli,0.3129844184788736,0.8632992977251037,0.34608478818851907,0.36179573656431596,0.36179573656431596,0.36179573656431596,0.3612569286598878,0.3612569286598878,0.3612569286598878,0.4423739981440208,0.6866165670532243,0.30359801015872256
glass,0.5077214290310674,0.7999730503318537,0.4235896267036875,0.6108373425021674,0.6108373425021674,0.5741926652575617,0.6154080277635613,0.6240361143083671,0.5808264361089747,0.8698509065576445,0.6573455272040716,0.5125829263720725
ionosphere,0.4270111916450225,0.44100663788545696,0.1877926722187891,0.18140248915692275,0.19873159734612797,0.1907804868343766,0.18098838212334362,0.1838924567217722,0.17997844125843282,0.20862831969185308,0.4140424491039657,0.1876580472428262
iris,0.35332497561911114,0.596422653902636,0.08069140465489362,0.067720192097558,0.07169747818608649,0.06579629116191471,0.06773884571620596,0.06960384025069281,0.06593265853225638,0.0775421531930231,0.49244598160371106,0.06851348451859546
letter,0.7262442416337827,0.960527278071357,0.09710547505829212,0.2085591188311994,0.2582916545325921,0.12590471863549724,0.21266444882587962,0.2213106023512743,0.18358781640693594,0.5050409510105615,0.9343964511303623,0.22880245279047545
optdigits,0.17602282017957424,0.7447622010118031,0.03954703578630646,0.2627189378604181,0.3114445531287692,0.22440546456468544,0.2688459568870528,0.2691157519585204,0.26291966984277204,0.5288666908818921,0.15107941077018067,0.16984898431027678
page_blocks,0.16279666617398847,0.7658619128484252,0.0526299562057939,0.09170031233987323,0.09607164482596695,0.08284634020950374,0.08855439287630161,0.09302639537445846,0.09039056658840997,0.1733911141269961,0.1784914677780574,0.0824766306682034
parkinsons,0.5196738418253067,0.3355263178544456,0.14504305169454337,0.5246045382687763,0.5489766304461632,0.29640738706072123,0.5261326211713401,0.5287087921868678,0.5171525105063265,0.5840776504126639,0.26006541313389253,0.27642544464643604
pendigits,0.3078597848179034,0.857744129249433,0.014669143122201144,0.056616497239464526,0.090201244953809,0.03334763658981667,0.05768740093889936,0.058014304456288524,0.054355078432489726,0.25810318217306605,0.46700309751019553,0.078246460039082
robot_navigation,0.5870631502362144,0.6660050699946243,0.2041702525609319,0.3941062013167779,0.4736191426721219,0.27444188034518335,0.384243401612853,0.4146737170734407,0.3735414308012459,0.7641112532550188,0.5363282398553012,0.3771516715705462
satellite,0.5286933550856155,0.7679513964013588,0.13293088117012725,0.295434070689272,0.31580659241053394,0.2614450561538652,0.29850518785980423,0.2988263492734672,0.29337180448806327,0.39171050861838125,0.5981178722225329,0.20679107566990834
segment,0.4444159909196762,0.749297840841298,0.08161465813842832,0.19924771602090138,0.24991791742110273,0.12056579014365772,0.17764467018243732,0.20527065828930818,0.18700596710505688,0.37755524182241457,0.5543898024291657,0.16433717935915562
sonar,0.4365599275632355,0.3799022860360707,0.2973085091257331,0.4786536833098662,0.49541666001653617,0.3777061613438695,0.48302828711353063,0.4876998016920144,0.4611881124382933,0.5728462028022402,0.37856510453925196,0.363468985065695
spambase,0.16543550777674237,0.27477018465932107,0.12143435033052515,0.3372002088166225,0.3493849264001731,0.3124038027727539,0.3373881555067416,0.3397643192137862,0.33711131818923123,0.3640236153333594,0.25384745694002353,0.17647823658994954
transfusion,0.3385023970560296,0.4743487599198337,0.32535039105375735,0.33752200872972105,0.3324603927085818,0.3698582402607083,0.37732858210286513,0.33561261059827474,0.3394621786208608,0.37527391839288154,0.3488077085508783,0.3233389846715693
vehicle,0.7758898571324185,0.7256877683981144,0.35570437507101993,0.5406620745963838,0.5930683476210742,0.46465133414321774,0.5454352732536065,0.549387003968428,0.5187823339811591,0.8554636548019848,0.6820274168000598,0.49525674091689187
vowel,0.7305344053754459,0.9060258842724703,0.24929595994441905,0.26488796073347676,0.3429011050639126,0.08934677229110469,0.2547186048710991,0.3363642046393339,0.20830619033753775,0.4468344963104126,0.877804192953446,0.389087804072744
waveform,0.3592113175015282,0.5789240127084938,0.23915089406796816,0.2882972625004509,0.2893753884554378,0.294467797868445,0.2882491721116412,0.28823858963547105,0.2886287530652182,0.34035187004923834,0.5025146363891204,0.2549821812581946
wine,0.11047585018430961,0.5094463404643255,0.044892399447629086,0.03271832024535462,0.033588269198994755,0.02586998412158667,0.03314488140569617,0.03358175160987335,0.031733928895886845,0.03518694668960791,0.3529149821705004,0.03730369840558077
yeast,0.6545251221768368,0.8953286803503892,0.634499304398654,0.9077148466060028,0.9077148466060028,0.9077148466060028,0.8567096660425202,0.9081133509736494,0.8977516183763745,1.5789067664612253,0.7590565744615821,0.8102044992678966
