dataset,BernoulliNB,ComplementNB,"DW-NB(k=15,CV-λ)","DW-NB(k=15,λ=0.5)","DW-NB(k=30,λ=0.5)","DW-NB(k=5,λ=0.5)",DW-NB(w1-only),DW-NB(w2-only),DW-NB(w3-only),GaussianNB,MultinomialNB,NB+kNN-Ensemble
JapaneseVowels,0.4094681812368813,0.8811377662654889,0.043361741185267796,0.08487646445426322,0.10546269422402513,0.04676380111064585,0.08830295745803521,0.09441548746651789,0.06896814413096898,0.20937051640176424,0.8232106657740367,0.10321918791178313
LED-display-domain-7digit,0.37474716137591874,0.8749462634382908,0.4134301539363926,0.48145118075359583,0.4892553099752391,0.5009460468155404,0.49299633925041003,0.4818588096368185,0.4907458135028935,0.5645030844514402,0.532202326179166,0.4389691092829617
MagicTelescope,0.3435117657620543,0.4438833311576368,0.22517895572979207,0.32876837905655754,0.3398051873261342,0.3064449396279308,0.32204760299672597,0.3329929035570026,0.32300723758998967,0.47206883440258585,0.4057736479335922,0.29783464867122017
PhishingWebsites,0.11653776638316202,0.10640532241954608,0.05488039375632862,0.2537537010726793,0.3367713637558206,0.14655012739921072,0.12955474986309495,0.26003772338937936,0.23393559891248872,0.5709498542067248,0.10642485091733211,0.20351689745734364
Speech,0.04814685879459931,0.3858398811898781,0.02664842611585358,0.03241626516579617,0.03279651626446575,0.0298231099549153,0.032826198621723715,0.03292577085543099,0.031345212440339235,0.04833763448666472,0.03229679529119473,0.03184681104183621
UCI_churn,0.2807554095040677,0.2461567938574447,0.22786038200882,1.7101742461023863,1.7101742461023863,1.7101742461023863,1.7101742461023863,1.7101742461023863,1.7101742461023863,1.7101742461023863,0.2770389763132189,0.5583407878936821
USPS,0.3290942894719831,0.5363268012779501,0.062459479290966124,0.3735518350444838,0.38754638205214037,0.35509065424810476,0.37587727916839964,0.37596255181504395,0.37366471731777334,0.43127815634681593,0.27676029156195786,0.16675946216007217
artificial-characters,0.8321627901949515,0.897743387320973,0.2101068607597342,0.4784846718584041,0.5495694146371191,0.33597272026624025,0.06816493612928927,0.5857965066600047,0.5270386544330742,1.1858340533304292,0.8723366595214317,0.6274843230823139
banknote-authentication,0.24287184478935667,0.4634109335469166,0.00401892967179391,0.009247147365971351,0.025492362991309282,0.0033709756552750512,0.00656871489837776,0.013826679913040579,0.00610103612553108,0.2094198082119733,0.4585445085328367,0.05943247119886032
blood-transfusion-service-center,0.3385023970560295,0.4743487599198337,0.3253503910537573,0.337522008729721,0.33246039270858174,0.3698582402607083,0.3773285821028651,0.33561261059827474,0.33946217862086076,0.37527391839288154,0.3488077085508783,0.3233389846715693
breast-w,0.0533407192980138,0.32848458243463863,0.060827338780856444,0.06834952753585968,0.06897342265172114,0.06235136945783663,0.06852986113217913,0.06885201201137452,0.06779732705712144,0.0712145478904221,0.24011859702318739,0.05163434799646231
california,0.36956996336542575,0.4775749985986182,0.21824515191862917,0.25436856201724833,0.2644950320590559,0.248938703797614,0.25619575993383104,0.25892351667819297,0.2485846529130987,0.44189350193245486,0.4775750077479294,0.2789116578355747
cardiotocography,0.00681869496927537,0.0025921342927599103,0.0009389671361502301,0.0009389671361502301,0.0009389671361502301,0.0009389671361502301,0.0009389671361502301,0.0009389671361502301,0.0009389671361502301,0.0009389671361502301,0.0009330726028452099,0.00180951959134253
clean1,0.4917504871580425,0.42649603748301657,0.18930706158600344,0.3238048812490488,0.33631105632621716,0.2701507165163014,0.3256107378500611,0.3272324614476023,0.31705148548675105,0.36085214544316196,0.4141242369953767,0.23556545427286996
clean2,0.5077148613256289,0.3357469991626515,0.04364898556386571,0.1799807075264726,0.19371590014542145,0.16033761184829803,0.1834479550256566,0.18403396097912092,0.1820293943703704,0.21984590081886504,0.23952681195158831,0.09077666370760497
climate-model-simulation-crashes,0.14089111325092643,0.4056705272464597,0.1418614028267789,0.13328849485090521,0.13060017857418182,0.15024366211906176,0.13230462762287337,0.13210330515360819,0.1367521648225211,0.15864286141087797,0.14690310820898667,0.12863617330653104
corporate_credit_ratings,0.689889016685599,0.8939810830548869,0.35957091056326773,0.3686072659213401,0.36471039988024595,0.4111009752046774,0.36918174475705834,0.3705064640298116,0.3716517338333621,0.3557636890193393,0.8467141444381866,0.3810874128815286
default-of-credit-card-clients,0.4113854708813972,0.4694942663002153,0.2937007444808542,0.3513988730618672,0.3478037497484001,0.366958630384284,0.3521125025409093,0.3508766337839925,0.35327034556328163,0.46047039578586546,0.32876376709213967,0.32131171705756595
diabetes,0.3795907774707462,0.49065685682678034,0.3506617865543532,0.3400566622583054,0.3376368429185256,0.3535836309312276,0.3404195599395193,0.34049669372901215,0.3413847430068037,0.3594917599838883,0.4465733569544105,0.33310291989475493
ecoli,0.32691163307857324,0.8624906426587661,0.39118972415154596,0.39118972415154596,0.39118972415154596,0.39118972415154596,0.39081772795503855,0.39081772795503855,0.39081772795503855,0.34561709336239793,0.6852806490497605,0.27839740100683397
eeg-eye-state,0.520491849498216,0.49993006949300567,0.20968058739445222,0.7572702230619053,0.8732900231329911,0.49555235196791114,0.7596416664357413,0.7617937523969662,0.7364470414006321,1.047019019755004,0.49468279198716375,0.4430538800209405
gas-drift,0.9173584241257249,0.7027927145600169,0.01609432743560334,0.7092990749410705,0.7122199146291217,0.7067701576647029,0.7168895667509357,0.716997480407394,0.7161132804556518,0.8525483908481111,0.5703211760020055,0.23166561245589726
gina_agnostic,0.3870700331034654,0.3838293530273998,0.24463435966914965,0.41924101790927376,0.422929010333552,0.40526940769469677,0.4197261188825214,0.4197558574038515,0.4178444364461753,0.42885243694226666,0.38388017484386877,0.2720633941082676
glass,0.5025770710136894,0.7995672047414681,0.41447595029094564,0.6050867740197897,0.6050867740197897,0.5819787126703755,0.6016702627374974,0.6180966860636954,0.5828208352961837,0.8976869098904205,0.6572417126091755,0.523375134928162
har,0.3306578528352352,0.5742141405981066,0.06557516466684758,0.42591883220869364,0.45394570039745297,0.3833349418046752,0.4292637382956757,0.4293766727456717,0.42413276867141747,0.5078087764217478,0.2531571330976786,0.1895373056426401
heart-statlog,0.2535205296393177,0.32916955605253223,0.25737143852830313,0.24882076228618924,0.24933906619682453,0.2661479867375088,0.24817976360601027,0.2480088518135625,0.2517700226063491,0.267717592856728,0.31929265243000204,0.2386790796196944
ionosphere,0.4270111916450225,0.44100663788545696,0.18779267221878904,0.18140248915692275,0.19873159734612794,0.19078048683437654,0.18098838212334362,0.18389245672177218,0.17997844125843276,0.20862831969185303,0.4140424491039657,0.18765804724282614
iris,0.3533249756191111,0.5971257006746957,0.08056565460540771,0.06766345783584186,0.07155894428388572,0.06578908540561072,0.06767069775557105,0.06947295870806683,0.06595824050940888,0.07754215319312342,0.4931625173679025,0.06828147712883452
isolet,0.25214179052106134,0.7681809852693465,0.1635824078773208,0.2811517548773562,0.29263917003520984,0.26040101542501715,0.28232793010842944,0.28239265682365533,0.2798260365099225,0.314565861290828,0.183414760045825,0.17678673522112665
kc1,0.4681504475275582,0.42420858159088065,0.21865154724250196,0.327350544118434,0.3279815199116192,0.31564964840030324,0.32228840519665697,0.32797124913808917,0.32680898530422753,0.3406658024807389,0.23417448136397817,0.2471815897007541
letter,0.7262442416337827,0.960527278071357,0.09710547505829206,0.20855911883119935,0.2582916545325921,0.12590471863549718,0.2126644488258796,0.22131060235127425,0.18358781640693592,0.5050409510105613,0.9343964511303623,0.22880245279047542
madelon,0.5871001604851326,0.4876936690403066,0.48545396497038656,0.5143044486765291,0.5123923227529976,0.5408035519027936,0.5147261228374573,0.5147431512791311,0.5164715873576249,0.5992345189743162,0.48769366904030287,0.4883166985199175
mc1,0.34952519967759643,0.20469979174590786,0.009478227846289461,0.08340557328649723,0.09195596261645957,0.07961774458032592,0.08217959369236957,0.08490949620285984,0.08415103543471472,0.12552455025127168,0.028114000385605444,0.03875302225895086
mfeat-factors,0.2246508772649462,0.6588667425641329,0.058306667769212187,0.1344547689470712,0.13823333538367633,0.11868073761378932,0.13472876692568048,0.13495594907247094,0.13302628259592422,0.14588445914483855,0.18030966953472244,0.08537642067658821
mfeat-karhunen,0.2139051072014831,0.8816659015738667,0.06545702415042493,0.08577289246052817,0.09106660008978917,0.06740283529304289,0.08728144886237268,0.08780732126941634,0.08110412869552643,0.11224552873199949,0.6978555788028353,0.08073221473188731
mozilla4,0.3447250187824135,0.416162941384649,0.16786694560314838,0.2167330839792852,0.23221449186606455,0.19346537028291985,0.2085498634459904,0.22826814106925702,0.21133422851756029,0.4210685981765111,0.3855356769470531,0.2414685802581868
optdigits,0.1760228201795742,0.7447622010118031,0.03954703578630641,0.2627189378604181,0.3114445531287692,0.2244054645646854,0.2688459568870528,0.2691157519585204,0.26291966984277204,0.5288666908818921,0.15107941077018064,0.16984898431027676
ozone-level-8hr,0.5845956025965456,0.380343141862738,0.09026060341437665,0.43155494948469625,0.47307381825565314,0.3809812745325757,0.43885518403964446,0.4389508394541499,0.4361952690651033,0.6082681568800502,0.10161709507187622,0.21393314810177397
page-blocks,0.16279666617398844,0.7658619128484252,0.052629956205793846,0.09170031233987319,0.0960716448259669,0.08284634020950368,0.08855439287630158,0.09302639537445842,0.09039056658840991,0.17339111412699607,0.17849146777805736,0.08247663066820336
parkinsons,0.5196738418253067,0.3355263178544456,0.14504305169454332,0.5246045382687763,0.5489766304461632,0.29640738706072123,0.5261326211713401,0.5287087921868678,0.5171525105063265,0.5840776504126639,0.2600654131338925,0.276425444646436
pendigits,0.3078597848179033,0.857744129249433,0.014669143122201089,0.05661649723946448,0.09020124495380898,0.03334763658981661,0.057687400938899326,0.05801430445628849,0.054355078432489656,0.258103182173066,0.46700309751019553,0.07824646003908196
ringnorm,0.3909537630247579,0.49997875820904003,0.03048693218514742,0.11893329940509163,0.08326106873615725,0.2278655639416321,0.11858731301790182,0.11865617229722328,0.12364002513341739,0.03048693218514742,0.4999318187214996,0.1508810162550434
satimage,0.5286933550856155,0.7679513964013588,0.1329308811701272,0.29543407068927197,0.31580659241053394,0.26144505615386515,0.2985051878598042,0.29882634927346713,0.2933718044880632,0.3917105086183812,0.5981178722225329,0.2067910756699083
scene,0.4571753547092122,0.14942116851573015,0.12910246796940902,0.2852777099106137,0.2911897285078426,0.26769709422070187,0.2857499865085581,0.28576819748205,0.2832771821457623,0.2949319794848761,0.11001069270685952,0.14913445664673577
segment,0.4444159909196762,0.749297840841298,0.08161465813842828,0.19924771602090136,0.24991791742110267,0.12056579014365768,0.1776446701824373,0.20527065828930816,0.18700596710505685,0.37755524182241457,0.5543898024291657,0.1643371793591556
semeion,0.27543451739238545,0.3863169756961995,0.1567179997433999,0.38002495284161586,0.3895762386310713,0.351701986461325,0.3824771668080581,0.3826067521483365,0.3784956404299379,0.4209260208803728,0.27836534371645594,0.21593908330258382
sonar,0.4365599275632355,0.3799022860360707,0.29730850912573303,0.4786536833098662,0.49541666001653617,0.3777061613438694,0.48302828711353063,0.4876998016920144,0.4611881124382933,0.5728462028022402,0.37856510453925196,0.36346898506569497
spambase,0.16543550777674237,0.27477018465932107,0.12143435033052512,0.33720020881662244,0.3493849264001731,0.31240380277275387,0.3373881555067416,0.3397643192137862,0.33711131818923123,0.3640236153333594,0.2538474569400235,0.1764782365899495
texture,0.6088167146577028,0.9011459303142498,0.03274119437109664,0.18004929364399302,0.24853448931575067,0.1158253819912003,0.1816464951055444,0.1845724825441041,0.17337260077045896,0.4193543138410557,0.8146894863660219,0.14308178137617547
thyroid-ann,0.06964645390418685,0.5791345560637191,0.09042679065100359,1.714860286665822,1.704569315343307,1.736251920235486,1.71622941783518,1.717257761807987,1.7163476059883933,1.8457799291626145,0.13496128783395736,0.5225583817900475
vehicle,0.7758898571324184,0.7256877683981144,0.35570437507101993,0.5406620745963838,0.5930683476210742,0.46465133414321774,0.5454352732536065,0.549387003968428,0.5187823339811591,0.8554636548019848,0.6820274168000598,0.49525674091689187
vowel,0.7749229079913466,0.9086508213138901,0.4157762914835419,0.5833097510523237,0.6674081607077017,0.2686731915258047,0.5418009163494368,0.6939879748232182,0.5239958127653579,0.8779955686448415,0.9046713814293182,0.7036480654053314
waveform-5000,0.3592113175015282,0.5789240127084938,0.23915089406796813,0.28829726250045085,0.2893753884554378,0.294467797868445,0.2882491721116412,0.288238589635471,0.2886287530652182,0.3403518700492383,0.5025146363891204,0.2549821812581946
wilt,0.08795322896337829,0.49634482954270726,0.056992434195131024,0.056690221431339685,0.06273146250862086,0.05081422511878545,0.05687941540466261,0.05992775677769023,0.0538003379567481,0.15115029920025527,0.10190486671827634,0.07753386393868428
wine,0.11047585018430957,0.5094463404643255,0.04489239944762903,0.032718320245354586,0.03358826919899472,0.025869984121586642,0.03314488140569613,0.033581751609873325,0.03173392889588682,0.0351869466896079,0.3529149821705004,0.03730369840558071
wine-quality-red,0.5818924291853795,0.825934467386331,0.4741447403165802,0.5098157562300736,0.5098157562300736,0.5214031940262893,0.42820086520848993,0.558565879845807,0.5261941254715494,0.6110060119342734,0.6207266439314394,0.5418594976998393
wine-quality-white,0.6752708602517055,0.8539477336923913,0.5417151203306825,0.5841610442431616,0.5841610442431616,0.5841610442431616,0.5291783739963928,0.6260527073870706,0.6446969189818144,0.7239618700709521,0.6612598589957037,0.5657322537232273
