dataset,BernoulliNB,ComplementNB,"DW-NB(k=15,CV-λ)","DW-NB(k=15,λ=0.5)","DW-NB(k=30,λ=0.5)","DW-NB(k=5,λ=0.5)",DW-NB(w1-only),DW-NB(w2-only),DW-NB(w3-only),GaussianNB,MultinomialNB,NB+kNN-Ensemble
JapaneseVowels,0.012833198928619982,0.00016748644301274582,0.002019290736967992,0.004610226693443727,0.005432929553968982,0.004651923464731731,0.004626740852435409,0.004804220438701477,0.004242713545495143,0.011257556667292154,0.0009636138923998695,0.004810471243578719
LED-display-domain-7digit,0.08280278898033064,0.0011040624016051645,0.08479880770780664,0.15255523791631614,0.16829966203911093,0.15988390170592578,0.14184931490995112,0.15558553441003592,0.155560447255378,0.2157221764934144,0.025362151565780526,0.11697891376121486
MagicTelescope,0.007329869364009909,0.0014805880361841214,0.009030128728227713,0.01042937285848232,0.00977730219654171,0.009945828980791062,0.011480206438001312,0.010263355696798804,0.009944377427359895,0.008743470215897511,0.0019661214782575155,0.007846628099127503
PhishingWebsites,0.01022445374495213,0.008668485361941432,0.004550867817284159,0.017344011710077843,0.023560456483921948,0.016875528322204313,0.014712188223045708,0.017333017572012218,0.01658259487783189,0.018083629755744117,0.00905043888168241,0.008363475267374153
Speech,0.008671261468741531,0.004888169185771501,0.005384756332482452,0.005986387232104928,0.0049172096168022235,0.006965353316766026,0.006005541809311742,0.006008349580499136,0.005962965495555084,0.00811280607689893,0.0016805111956438997,0.004110277731676583
UCI_churn,0.004050384439496576,0.006463557427102458,0.00696822774935419,0.002475554819888076,0.002475554819888076,0.002475554819888076,0.002475554819888076,0.002475554819888076,0.002475554819888076,0.002475554819888076,0.0029053405739347163,0.004234216779807534
USPS,0.020144052464329265,0.008562922070903572,0.0056157107221472295,0.02125809549325955,0.02378023636269717,0.021470646431157366,0.021170783344233793,0.02115151859178124,0.02156559176606018,0.024573069842009545,0.008814965659504138,0.01095328146984968
artificial-characters,0.00871329281999551,8.957946601498233e-05,0.009444634083900656,0.014918645390749963,0.01655575797108592,0.017920702595654613,0.014710502811745073,0.014064087307952368,0.0136853845145096,0.0210986206996811,0.0008784592115339807,0.009600621770355302
banknote-authentication,0.018158768758945017,0.0035783128761709567,0.004589735124896598,0.007061504069065325,0.0074629124499601285,0.0060823765654556645,0.007742597734511784,0.007281679137481572,0.00672595001933388,0.03650389216495941,0.0034856459482128384,0.010398314518052575
blood-transfusion-service-center,0.042414045741845284,0.009155992878610393,0.029320222052896472,0.04771760154486758,0.049609961012144606,0.04820261205275881,0.05297671891929609,0.04796713811579837,0.048720964674102904,0.07250760065507136,0.007013235020210258,0.036604212325662425
breast-w,0.027002602819786062,0.0072297297294995,0.026824938678934918,0.040919241836190806,0.04132638930236923,0.039581263034330315,0.04103268049658573,0.04148059022024188,0.040363654555282145,0.04050639901363391,0.010313847739087507,0.028597616938032026
california,0.012151256292610657,0.0004468140662627799,0.010096001505513262,0.013437572756560373,0.01468026007768527,0.01292683304310819,0.013318583183136102,0.01333519915541581,0.013410339359216669,0.06351286253015082,0.0004468506252324763,0.016411806727582207
cardiotocography,0.00420825732954215,6.836927622354817e-05,0.0029692747982801534,0.0029692747982801534,0.0029692747982801534,0.0029692747982801534,0.0029692747982801534,0.0029692747982801534,0.0029692747982801534,0.0029692747982801534,9.372939716617129e-05,0.0014389777711637805
clean1,0.20916936090405872,0.1412785694736026,0.0529891908398698,0.13188337791249097,0.1329723309105216,0.10505669523649777,0.13274344629179408,0.13344025447619742,0.1290551270109095,0.14523775295132307,0.13067228562900796,0.0702886670473009
clean2,0.02900020838166179,0.0288334261499543,0.007025043999971261,0.024069657595263402,0.02508625574932666,0.02429135821206269,0.02418758105945226,0.02437054608369666,0.02436320777415868,0.025148459197389065,0.02291532200679415,0.012381998197406806
climate-model-simulation-crashes,0.0341533723752087,0.014837160777771108,0.030408851125013264,0.03217311127304303,0.028975597334739513,0.031607241494208876,0.03125201116378001,0.03090127394033819,0.033462778806953884,0.04182700769461702,0.013622574189120596,0.02552766604769595
corporate_credit_ratings,0.012446174862533157,0.00023220122434366587,0.02137549962669479,0.021653983866895,0.019524079111121608,0.03063971550537658,0.0213125936900779,0.021155414994836943,0.023559770984105402,0.01844948646562819,0.002013455372346663,0.018388864714643044
default-of-credit-card-clients,0.010453418254356422,0.0019332738911066885,0.007263028686907845,0.0132255516684872,0.01327320556219946,0.013042415920170063,0.0132684358555848,0.01312056854666823,0.013445315603788659,0.03032700097940346,0.0013232540139795027,0.011767216688121055
