name,n_samples,n_features,n_classes,imbalance_ratio,source,identifier
iris,150,4,3,1.0,sklearn,load_iris
wine,178,13,3,1.4791666666666667,sklearn,load_wine
breast_cancer,569,30,2,1.6839622641509433,sklearn,load_breast_cancer
digits,1797,64,10,1.0517241379310345,sklearn,load_digits
glass,214,9,6,8.444444444444445,openml,"name=glass,version=1"
vehicle,846,18,4,1.0954773869346734,openml,"name=vehicle,version=1"
ionosphere,351,34,2,1.7857142857142858,openml,"name=ionosphere,version=1"
sonar,208,60,2,1.1443298969072164,openml,"name=sonar,version=1"
ecoli,336,7,8,71.5,openml,"name=ecoli,version=1"
yeast,1484,8,10,92.6,openml,"name=yeast,version=1"
segment,2310,19,7,1.0,openml,"name=segment,version=1"
waveform,5000,40,3,1.0235934664246824,openml,"name=waveform-5000,version=1"
optdigits,5620,64,10,1.032490974729242,openml,"name=optdigits,version=1"
satellite,6430,36,6,2.4496,openml,"name=satimage,version=1"
pendigits,10992,16,10,1.0843601895734598,openml,"name=pendigits,version=1"
vowel,990,12,11,1.0,openml,"name=vowel,version=2"
balance_scale,625,4,3,5.877551020408164,openml,"name=balance-scale,version=1"
page_blocks,5473,10,5,175.46428571428572,openml,"name=page-blocks,version=1"
spambase,4601,57,2,1.5377826806398236,openml,"name=spambase,version=1"
banknote,1372,4,2,1.2491803278688525,openml,"name=banknote-authentication,version=1"
robot_navigation,5456,24,4,6.722560975609756,openml,"name=wall-robot-navigation,version=1"
letter,20000,16,26,1.1076294277929155,openml,"name=letter,version=1"
transfusion,748,4,2,3.202247191011236,openml,"name=blood-transfusion-service-center,version=1"
parkinsons,195,22,2,3.0625,openml,"name=parkinsons,version=1"
