dataset,BernoulliNB,ComplementNB,"DW-NB(k=15,CV-λ)","DW-NB(k=15,λ=0.5)","DW-NB(k=30,λ=0.5)","DW-NB(k=5,λ=0.5)",DW-NB(w1-only),DW-NB(w2-only),DW-NB(w3-only),GaussianNB,MultinomialNB,NB+kNN-Ensemble
balance_scale,0.124593449274532,0.4838112119738782,0.15124683748943737,0.13388715267597365,0.17243172596209091,0.08728586328134347,0.14407615030170967,0.14897505259770594,0.08452688435050948,0.21417244990775686,0.39873058143328316,0.18158707078842265
banknote,0.06545452611042864,0.20556865698012539,0.006535379383270107,0.01109366198608499,0.026151406093484042,0.0018675253329598963,0.005903233920024809,0.013900230551086638,0.007784703473906067,0.07454142052743917,0.08860070384620872,0.09359992486858817
breast_cancer,0.06538773523999199,0.2430232162024879,0.04672861105666013,0.05968740470366839,0.06161387549070692,0.050816966276509654,0.05925141969479144,0.05938643115222123,0.05531100643852831,0.06626393677769442,0.18985575812880823,0.04631476723175344
digits,0.08496280283979149,0.6288837974130962,0.05002974494925899,0.1197384006030529,0.1342398613657942,0.0878839133912113,0.11934173542040727,0.11884433856219426,0.11397395723210253,0.20330686043468355,0.06519669461977273,0.056761264821348564
ecoli,0.12619402889727502,0.5451145533215025,0.17596181267322392,0.18103297870820426,0.18103297870820426,0.18103297870820426,0.18085425648751827,0.18085425648751827,0.18085425648751827,0.23213242262191955,0.08083862309271123,0.13787021699146987
glass,0.2382577570915645,0.30772209524903155,0.2022268265008053,0.327149465488187,0.327149465488187,0.3112400252407684,0.3295489642889876,0.32301516273587616,0.31645232818264635,0.3958622558304398,0.15447599425458872,0.24426797015319365
ionosphere,0.22720847050732682,0.2040804056629438,0.10209681443657359,0.1027155310873165,0.10904243906695503,0.10446998118952655,0.10037614674279924,0.10252424487777685,0.10020998284258334,0.11051830346826752,0.15267234955934433,0.1170222519038326
iris,0.15805913751623968,0.2890847636880384,0.06543180714343667,0.05829430062430385,0.06192754025817811,0.040603425376905096,0.060925498180813574,0.06103852757384881,0.057253955393679834,0.055677911635402456,0.3518456130817054,0.07338958222903096
letter,0.07259983278943867,0.3673299365768147,0.07459288430301655,0.038460074388960756,0.02790483331481718,0.039931841912120285,0.04119191662783361,0.04442217746641119,0.03341511409160708,0.12409702861986815,0.4682938557389399,0.10724307331851202
optdigits,0.07379502318096678,0.626572310745171,0.023540349547162862,0.12798239306800935,0.15147684858524046,0.1091680667408218,0.13041244644455685,0.13065753457725937,0.12697334983998626,0.2607562971976986,0.05448761876391561,0.06576077289152875
