dataset,BernoulliNB,ComplementNB,"DW-NB(k=15,CV-λ)","DW-NB(k=15,λ=0.5)","DW-NB(k=30,λ=0.5)","DW-NB(k=5,λ=0.5)",DW-NB(w1-only),DW-NB(w2-only),DW-NB(w3-only),GaussianNB,MultinomialNB,NB+kNN-Ensemble
JapaneseVowels,0.04009679185554767,0.49486117721101797,0.04832716318932136,0.01652113144928909,0.02499763526671307,0.013789566312551928,0.01709229454305718,0.01688718884007111,0.01613252429213146,0.02841693600041263,0.19316641303479173,0.06415814713130077
LED-display-domain-7digit,0.14033893208543524,0.486962153505322,0.14733434234533163,0.21244464209767217,0.22023223659840396,0.2490380706417655,0.23058055653546478,0.21698203203600835,0.22833265540838726,0.2672975779914,0.3436171756031253,0.17143145925099385
MagicTelescope,0.06371272192951452,0.2300062916806803,0.03122616655164604,0.1397339349098072,0.14050001290968156,0.138525773001754,0.13608090276825097,0.14229658972799203,0.1375321856288328,0.21816238571248064,0.1748003223510277,0.08346545943911254
PhishingWebsites,0.04679606214483626,0.02563606985670232,0.028975541208613058,0.1267292030375503,0.16820379988414386,0.07266239496666967,0.06265288567878066,0.1295756854384693,0.11602631560088816,0.2839823531596478,0.028384954865397598,0.09363410984642642
Speech,0.02328327683361908,0.31534523561460875,0.01162179523469379,0.01684894855178869,0.01688078543972411,0.015906973273607718,0.01664060636358495,0.01681812011936807,0.01624822837726763,0.02454109472598496,0.00342936805841925,0.01636449256386397
UCI_churn,0.13973785462013005,0.07872569145040723,0.05681383543195077,0.8550871230511939,0.8550871230511939,0.8550871230511939,0.8550871230511939,0.8550871230511939,0.8550871230511939,0.8550871230511939,0.13060364966105284,0.403792954631278
USPS,0.16285261826605904,0.1534517563520989,0.0201102741744696,0.18684414791634046,0.19305780790946353,0.17675594167852965,0.18800636518421734,0.18794792250209572,0.18621390049793532,0.21563323827051226,0.12415017170677696,0.05776022808097636
artificial-characters,0.07705087652579024,0.11209458981527029,0.20379175725806084,0.17193511554703017,0.1955855679346071,0.11903153484794789,0.02690337152889517,0.15820366067794078,0.1275533205894634,0.45085341044482774,0.03814769914199192,0.13356618992908895
banknote-authentication,0.0654545261104286,0.20556865698012533,0.0065353793832700294,0.01109366198608494,0.02615140609348398,0.0018675253329598815,0.00590323392002476,0.013900230551086579,0.00778470347390601,0.07454142052743913,0.08860070384620868,0.09359992486858812
blood-transfusion-service-center,0.0856635357664147,0.1740376012022871,0.09819802248071388,0.12198586544118169,0.11461682547757919,0.15353744424048432,0.15174330056402513,0.11268427073971121,0.11915251241418726,0.14163709589343493,0.04432243647933069,0.10277689742614933
breast-w,0.03021825027923753,0.25846159803314406,0.0368971571213291,0.035595285277065826,0.03598945408162012,0.03314084792874121,0.03564557226049518,0.03594989346833621,0.03541156096819001,0.03678110028144882,0.24048729537188662,0.03327686455644275
california,0.054604638102064104,0.22331835327532543,0.02245103451261917,0.03481070993506453,0.034945499875764965,0.04998612912000197,0.03580117897277521,0.03548594482747176,0.03249630500099035,0.13881133746960117,0.22336689118935804,0.06321508504370513
cardiotocography,0.00641075859580192,0.03780470441574642,0.0004694835680760891,0.0004694835680760891,0.0004694835680760891,0.0004694835680760891,0.0004694835680760891,0.0004694835680760891,0.0004694835680760891,0.0004694835680760891,0.01834668442125035,0.00533092686095724
clean1,0.25444878650300845,0.1977757132410612,0.11681414790214514,0.16825946124428803,0.17425409836878752,0.14160069581855012,0.1733436353037589,0.17635110712761498,0.1694290073007442,0.1869523417863547,0.1817590250800766,0.11377191369458776
clean2,0.25522062782280536,0.11343432254631655,0.02968294147746654,0.09175445762287968,0.09822771432331631,0.08236092188033152,0.09294608862142989,0.09320772324688803,0.09158114938521625,0.11005209886984176,0.09213402962324177,0.050232242139487016
climate-model-simulation-crashes,0.08864920052168104,0.20349399474191085,0.07755429942300025,0.07806502222658265,0.07239261341024111,0.08448242326423919,0.0769114415835974,0.07785293586375194,0.07940535112680945,0.08026918704399258,0.050624246257771045,0.08051215543977311
corporate_credit_ratings,0.04780966971703176,0.28419761381609865,0.04328888214779284,0.04705348282910045,0.061236933737722155,0.07688815271908486,0.050106241084755164,0.047015524084760105,0.04641313489259914,0.04218443866009401,0.39661279597826454,0.07689890886744162
default-of-credit-card-clients,0.11332678674470546,0.11257956344260882,0.04170632626604005,0.08862081252243544,0.0811884191820474,0.11810515229271741,0.0896263109587361,0.0891069964105228,0.09230732833464037,0.1450033407034879,0.051417540264919646,0.03480233032896361
diabetes,0.12309283624275061,0.13546478135595288,0.12261100082537217,0.12626029175964015,0.11557706959909238,0.12689392845302466,0.12041500198436031,0.12093509340527024,0.12754862558962354,0.14144910792003215,0.07181536283298529,0.11584437279849488
ecoli,0.0983123430720696,0.5258659548250142,0.19512593233818964,0.19512593233818964,0.19512593233818964,0.19512593233818964,0.1950121540254077,0.1950121540254077,0.1950121540254077,0.1574104523065746,0.0904844082682394,0.10763758115389045
eeg-eye-state,0.1347784013497641,0.04808584534936109,0.04879580832415447,0.3777785719965204,0.43580418153959233,0.24729285904230774,0.37878329353578744,0.3788379217358321,0.37033398681965185,0.5150871336842957,0.00035960995462312,0.20003012867287423
gas-drift,0.4568369848566289,0.18840828053487377,0.00919777738574845,0.35123747019379115,0.35259728699546683,0.34990756403586454,0.35507850996645185,0.3550912078301434,0.35469797973243333,0.42441043585924093,0.09397474553037027,0.15709695271050586
gina_agnostic,0.19375593300340122,0.1913551766687373,0.060884914844252944,0.2117924849109641,0.21356792977863778,0.20512822987442364,0.21235168858776832,0.21236027019927298,0.21084177885751526,0.21548287936029178,0.19103647343928992,0.08293785669262706
glass,0.21030740722837074,0.2907088279354249,0.1746287285787617,0.3126242710702731,0.3126242710702731,0.303131422164959,0.31448300949549624,0.31557303877451176,0.30126049033355096,0.41112356890833796,0.17232116615082288,0.22043433337302468
har,0.1616156913709256,0.18999331081774087,0.06097017991240923,0.212681074454358,0.22605049274189087,0.1907727154523967,0.21355122628213144,0.21358491623338627,0.21117803537333893,0.2537955845007417,0.04037840844295608,0.09696474015006558
heart-statlog,0.14500119350002283,0.2219050024594292,0.1415526147962255,0.14777498872316208,0.14380797036441864,0.1384898335655083,0.15057165262878172,0.153195109371056,0.1323308932360255,0.15132372335756922,0.21191141059061533,0.12145970897702012
ionosphere,0.2272084705073268,0.2040804056629438,0.10209681443657355,0.10271553108731646,0.10904243906695502,0.10446998118952651,0.1003761467427992,0.10252424487777681,0.10020998284258328,0.11051830346826748,0.15267234955934428,0.11702225190383256
iris,0.15805913751623965,0.28952654436796443,0.06532225540179042,0.058224843112672765,0.06189221861574886,0.04059372029292534,0.060834769305072145,0.060885945643984286,0.05729807824978128,0.05567791163657596,0.35237508603844725,0.07316736000664188
isolet,0.12387268191080983,0.4388088209085444,0.12158640744983,0.14066327863350378,0.14529142358678104,0.12986063575609352,0.14107217336042263,0.1412481225496926,0.13961690388499243,0.1577516174191057,0.03145478770848162,0.08803823784103834
kc1,0.237466137339497,0.17659317740944025,0.06242069813545361,0.165169274867922,0.16658595123109854,0.15973423236527118,0.16169108637146548,0.16533479513080745,0.1645651561523303,0.172358795243884,0.05403738374370527,0.08678100474155401
letter,0.07259983278943863,0.3673299365768147,0.07459288430301654,0.038460074388960715,0.02790483331481714,0.03993184191212023,0.04119191662783355,0.04442217746641114,0.033415114091607016,0.12409702861986811,0.4682938557389399,0.10724307331851198
madelon,0.2333572238781712,0.07087132388644063,0.10238396862559943,0.15335846236920875,0.15271564382221053,0.1722220858703735,0.15580293613800766,0.15541332108201536,0.1564412006670754,0.24996666255606495,0.07087132388644152,0.10316513523592094
mc1,0.17521077830667184,0.049820743743731674,0.00431761805379092,0.04229678429254656,0.04664320701738503,0.04051055572453453,0.04172284771003792,0.043281338468924554,0.04290054607865907,0.06318292806414741,0.009449729327227251,0.03101266651104132
mfeat-factors,0.11381790262993245,0.49622820096276116,0.03524621826398388,0.0693252311247344,0.0715103936129576,0.060419585037362965,0.0686481245669443,0.06873141548380354,0.0681392321699552,0.07378861746726591,0.050879807114519116,0.04648491660039245
mfeat-karhunen,0.08252028457187957,0.7598739587375641,0.03550423507836585,0.03916468603647571,0.040675093644014323,0.03441257948917838,0.04159210966590735,0.04286779628412442,0.03814914557773099,0.054638721545126744,0.6955581859334916,0.0465239881170193
mozilla4,0.06798514958202165,0.15791358160835925,0.02627589906185574,0.04181492063299906,0.03930023484641409,0.05714816065375613,0.03643496444414055,0.04578257763445242,0.04059592367146148,0.15449841957324356,0.16866204280498703,0.039830795566609414
optdigits,0.07379502318096673,0.626572310745171,0.02354034954716279,0.1279823930680093,0.15147684858524044,0.10916806674082177,0.1304124464445568,0.13065753457725934,0.12697334983998623,0.26075629719769855,0.05448761876391557,0.06576077289152871
ozone-level-8hr,0.2924782572482443,0.09226293380052755,0.03410030173095291,0.21830108221557087,0.2374738615813715,0.19151990958820111,0.2208622681722448,0.22079825073857076,0.220831032059518,0.30637757765142576,0.02804635096817823,0.10183223517474656
