dataset,BernoulliNB,ComplementNB,"DW-NB(k=15,CV-λ)","DW-NB(k=15,λ=0.5)","DW-NB(k=30,λ=0.5)","DW-NB(k=5,λ=0.5)",DW-NB(w1-only),DW-NB(w2-only),DW-NB(w3-only),GaussianNB,MultinomialNB,NB+kNN-Ensemble
JapaneseVowels,0.011609646796181386,0.010914398914668975,0.005413381509916245,0.0028233430383725194,0.00296622524798137,0.002628854865078308,0.0032089503204089207,0.0032478630217599594,0.0029959624153808647,0.0057587145256591315,0.007373530324709752,0.003996011866366621
LED-display-domain-7digit,0.035350901166868294,0.04937526678473645,0.033357512652083206,0.08692969644277418,0.09814771793553796,0.07985083548073156,0.07674355867805242,0.0875416899443751,0.08657936703826856,0.10434494264689322,0.05900185293610675,0.034777021270233285
MagicTelescope,0.009811561697337936,0.008268553821753798,0.003269306900390174,0.006403351730005747,0.005667573149767467,0.0067555627873214265,0.007079404048599982,0.006413957024432115,0.0062828581000573345,0.004668531679288133,0.00759060986994155,0.007175283939675295
PhishingWebsites,0.005020236597709045,0.003175406448812136,0.0036290004859615725,0.00914940659791806,0.012788440891181271,0.008405203595754026,0.007024776451087142,0.008988431391156081,0.008674326823214857,0.008668328796304237,0.005143222725916859,0.0082192199812882
Speech,0.006245102955667524,0.011689487032668646,0.0034699685045992703,0.0036870059367499703,0.00326131961792455,0.00427814337948103,0.003295665477340073,0.003445069744844344,0.003921267552828636,0.005047125646528818,0.0010319212442032536,0.004543552749604933
UCI_churn,0.001670526847042833,0.006954065303978539,0.008900556052920276,0.0012377774099440637,0.0012377774099440637,0.0012377774099440637,0.0012377774099440637,0.0012377774099440637,0.0012377774099440637,0.0012377774099440637,0.001157890381271113,0.0035750468318963067
USPS,0.00950733645588173,0.009590103508662224,0.004387634691776633,0.010588990411259524,0.011632096523891803,0.010948774973462876,0.010805481556806513,0.010765391247402995,0.010492558031950806,0.012258427411744977,0.006095518037571737,0.006937232217955444
artificial-characters,0.01749020964685412,0.011495694563868225,0.005745088876934732,0.008654000033719118,0.01687551208308588,0.011237657417996321,0.0057852280728576885,0.014845311071363505,0.012069020722968189,0.01589613315097156,0.008626284542423588,0.017684055837375166
banknote-authentication,0.021437979366560413,0.0388995632388863,0.0018809695487604476,0.003678939699225132,0.008529092214937858,0.003128576543570524,0.00508068592916861,0.003588737919031486,0.004824586882067526,0.0265082953891223,0.019490405104538436,0.011107722328240624
blood-transfusion-service-center,0.039322981280530536,0.04894144806000392,0.022085956589336257,0.02563099820897696,0.026642347066339167,0.030480051802247103,0.02860900514432411,0.029324998008096046,0.027350910015856038,0.048558363030104655,0.020860133308981777,0.03425367354697077
breast-w,0.013669344569031558,0.023551262535942065,0.010425045568629535,0.021516995348181894,0.021476833695601032,0.021220895717236846,0.021590071028973,0.0215449040339033,0.021228335181811893,0.02117451367454084,0.014169010718600805,0.013915150762571557
california,0.011278466049738279,0.011237597450632466,0.005629897683811628,0.006440764774861555,0.006867215747360715,0.009715950070167005,0.005695063155697659,0.007069101400127828,0.007871066777534465,0.07699150653044101,0.011420125167869416,0.011173463373373469
cardiotocography,0.00289937687091901,0.0004547746046400647,0.001484637399139295,0.001484637399139295,0.001484637399139295,0.001484637399139295,0.001484637399139295,0.001484637399139295,0.001484637399139295,0.001484637399139295,0.0006471958704076264,0.0022771037063871722
clean1,0.10910708665879927,0.0829959362976379,0.034060965973479074,0.06522116247062994,0.06493289890992786,0.05300716391249044,0.06696052307998866,0.06862220098596405,0.0663222475007043,0.07217719886808939,0.07801195310124813,0.03712597314289029
clean2,0.013650876282475098,0.01643708124761817,0.004153443354383196,0.01174020335481201,0.013015636341647992,0.012605380193494936,0.012541367289261602,0.012101495746339043,0.012499241804454584,0.012187886295049353,0.01051513547690614,0.008527290581022858
climate-model-simulation-crashes,0.0121887874911058,0.05009922981427939,0.02637270846775499,0.02004594409440375,0.016851159154189894,0.021206658148169712,0.02041569498711658,0.022646315357050823,0.026047820327646357,0.023946054605514924,0.016821050212406735,0.021164576155469173
corporate_credit_ratings,0.00976725851882282,0.01860490520351313,0.011556862364227392,0.010444651262941803,0.010531807752427564,0.012104529211087556,0.007972140585985337,0.0060093687098902605,0.01067508851244167,0.007013274062331428,0.01837508377971386,0.013049465263997483
default-of-credit-card-clients,0.01251347225258937,0.01035939076258954,0.00440325763976023,0.00784513271270182,0.008179197872420494,0.006538797485032075,0.006742174724552119,0.008694107704838099,0.008279047189888944,0.009557129484146316,0.004445246952947724,0.00910215506493907
diabetes,0.04184284102290814,0.060462643207207685,0.02990446517282835,0.035985087384668664,0.040633005100730854,0.03005335951468199,0.035578636097358785,0.04072169568820856,0.029655270103268537,0.04272919140144284,0.036934354131835385,0.028444556132806345
ecoli,0.021855181911609574,0.014472736429942389,0.03542905377883802,0.03542905377883802,0.03542905377883802,0.03542905377883802,0.03552824679771737,0.03552824679771737,0.03552824679771737,0.11414340906787929,0.06769653650785677,0.008641578492075135
