dataset,BernoulliNB,ComplementNB,"DW-NB(k=15,CV-λ)","DW-NB(k=15,λ=0.5)","DW-NB(k=30,λ=0.5)","DW-NB(k=5,λ=0.5)",DW-NB(w1-only),DW-NB(w2-only),DW-NB(w3-only),GaussianNB,MultinomialNB,NB+kNN-Ensemble
balance_scale,0.5296166839831586,0.6259721995172879,0.6300568063260756,0.6278931795180978,0.6288590642222913,0.6289134097690608,0.6289560589114649,0.6278603842952293,0.6299576476291326,0.629882272264063,0.6115969249970605,0.6278603842952293
banknote,0.8469200745511596,0.7207767976754366,0.9986798535597565,0.9966952185462279,0.9910947909040267,0.9980197803396349,0.9966952185462279,0.9934138470781733,0.9966952185462279,0.8311499585146576,0.4227564662300341,0.9934138470781733
breast_cancer,0.9274255267967766,0.8542916592734618,0.9553168295570773,0.9248928792326023,0.9233838994362962,0.9357675544145362,0.9248928792326023,0.9248928792326023,0.9316544979434473,0.9220703476030122,0.7504220332083267,0.9248928792326023
digits,0.9334724644300436,0.8857488106676191,0.9864426052447408,0.9287650325631718,0.9154326619811274,0.9476662152179225,0.927316945541377,0.92698747170666,0.9307503025166376,0.8698805303503276,0.9422367893102214,0.9227764193629222
ecoli,0.5443655347269518,0.3822349178094331,0.5701196853980696,0.5916578648288521,0.5916578648288521,0.5916578648288521,0.5916578648288521,0.5916578648288521,0.5916578648288521,0.46893782056559435,0.018687693586061444,0.5916578648288521
glass,0.6281572534527022,0.3994876479937106,0.6673178138015231,0.6202834225303124,0.6202834225303124,0.6437626495724341,0.6202834225303124,0.592864313314005,0.6532415266707569,0.5102680768683243,0.2698078694091143,0.5945794165327591
ionosphere,0.7541956831753676,0.7286960791370298,0.826473453594736,0.8393054800448713,0.831317468030259,0.8406566985731286,0.8393054800448713,0.8350246608747943,0.8442583623305426,0.8370753682871733,0.1398075527045271,0.8350246608747943
iris,0.7776980113338927,0.5695746999323641,0.9521478487493933,0.9631803867413467,0.9631803867413467,0.9631803867413467,0.9631803867413467,0.9579507363763611,0.9631803867413467,0.9631803867413467,0.8324273304261801,0.9579507363763611
letter,0.6119261519401723,0.5378969747393845,0.9724810489767499,0.9191393133851096,0.8981223841589735,0.953230302750895,0.916814556477941,0.9132326271094036,0.9299556469623559,0.7870061329381297,0.675661717646898,0.9179950957299541
optdigits,0.9401402646053624,0.8888783077501772,0.9873315385596859,0.9128140433204083,0.8960186677962071,0.9254691971534482,0.9106666542461328,0.9105666128704224,0.9121802745402301,0.8184399162309941,0.9470050108655009,0.9394977808376164
page_blocks,0.705635244799087,0.7667504708718073,0.8290057265820474,0.8288548935521389,0.8182184583033794,0.8401030884428587,0.8306396342609675,0.8116354572870886,0.827851955044542,0.7905367533135758,0.035156918877490104,0.8032283334900694
parkinsons,0.7539927666063162,0.7315971722684573,0.7960484552163858,0.759574986304348,0.7509550025455977,0.859476481357674,0.759574986304348,0.7545075344013183,0.7630064438094243,0.7498197434581545,0.5865791375337852,0.7545075344013183
pendigits,0.8854851615396415,0.7666124790378679,0.9950013739839448,0.9824165248581478,0.972049567413913,0.9895849569403914,0.9820051084335304,0.9820051084335304,0.9830947533823226,0.9136008927564105,0.878119597617556,0.9829868376715248
robot_navigation,0.7167361788324038,0.6469939059773249,0.9028628108657684,0.8543709255965123,0.8196772471563738,0.9010770853077454,0.8599705733572648,0.844201423441034,0.8631259090063672,0.7342040215712402,0.5217979823548987,0.8306107789905282
satellite,0.8085164367459072,0.448004272352871,0.9303610984701294,0.8929363562939198,0.8846474474647174,0.9070362112994037,0.8913721440275287,0.8910754528603098,0.8930935251724618,0.8671245063106762,0.48591773543409883,0.8948018288500952
segment,0.8189440138318383,0.5537469988908823,0.9669904973078808,0.9265341374455531,0.8957119109003113,0.9597382018455228,0.9359759667752299,0.9262027060649723,0.930163489391791,0.8545707457689563,0.8545547504152882,0.9192181419029575
sonar,0.7453806730742703,0.7423216360464415,0.7855344491615315,0.6939595024520224,0.6843763489364353,0.7752501634304598,0.6985677280060987,0.6985677280060987,0.7125935389033432,0.6721774553737545,0.7445028903096931,0.6985677280060987
spambase,0.8893359151468287,0.8517776007080151,0.9157739773539294,0.8422340200711413,0.8382950549622045,0.8523718223503634,0.8429314044364302,0.841865682518027,0.8428300422798787,0.832741766328548,0.8646689191502841,0.8651130364093618
transfusion,0.608799503355314,0.6617529759077064,0.5498371875137849,0.4377418141152757,0.41972223259040203,0.49180457640074476,0.47118280215524644,0.4215020732257734,0.45954701834469114,0.39554392474654476,0.0,0.4215020732257734
vehicle,0.5699562101291018,0.5668967856675244,0.7822488483626657,0.7229691821659358,0.6902320292331205,0.7609652451579397,0.7190539423999263,0.7189124124282117,0.7366935259623901,0.564840907021174,0.6669293762994022,0.710644805749902
vowel,0.5311996514628848,0.3940934947145994,0.9521730140387877,0.9085743759264512,0.8792274765676791,0.9737403640033001,0.916901566864935,0.8661183827391385,0.9397088714407973,0.8006901291795891,0.6360739058843066,0.8520353489849761
waveform,0.8237972427571968,0.761888725988572,0.8642897393948399,0.846538465716853,0.8464063990500813,0.8469572256063691,0.847456315002215,0.847274316960102,0.8473400845597855,0.8361281009467543,0.8529309443446387,0.847274316960102
wine,0.9477250946265124,0.9040176413888024,0.9879873963013146,0.9874236066643807,0.9836432407511498,0.9923278743377321,0.9874236066643807,0.9874236066643807,0.9837705628163474,0.9836432407511498,0.9532886801297742,0.9874236066643807
yeast,0.42112581529509524,0.467207839577901,0.611238091769983,0.5891433542854073,0.5891433542854073,0.5891433542854073,0.5944307713194229,0.582867214687562,0.5984192160828721,0.3912539067798368,0.10099541980572582,0.5559240653749417
