dataset,BernoulliNB,ComplementNB,"DW-NB(k=15,CV-λ)","DW-NB(k=15,λ=0.5)","DW-NB(k=30,λ=0.5)","DW-NB(k=5,λ=0.5)",DW-NB(w1-only),DW-NB(w2-only),DW-NB(w3-only),GaussianNB,MultinomialNB,NB+kNN-Ensemble
JapaneseVowels,0.6493247274399432,0.1481920397557576,0.9807815798797351,0.9380093432806879,0.9245668686678634,0.9645265382322691,0.9351425418656806,0.9305512412122019,0.9498128386601771,0.8433226456140034,0.0,0.9319627754001191
LED-display-domain-7digit,0.7002148614548083,0.0,0.6199824699842815,0.5501218345383144,0.49169061356636606,0.6147549237108724,0.6132263765318724,0.5527570437192894,0.5525625284122683,0.4738322845168959,0.5635622267671292,0.5511473000651119
MagicTelescope,0.6699127572318319,0.7546267408047205,0.7839934564854283,0.6587084909594115,0.6455152096979827,0.6972158334347839,0.6698481551446549,0.6550206301784709,0.6693643531724633,0.587460718851456,0.23042166055490493,0.6550476357852341
PhishingWebsites,0.9273858987399182,0.9277398739431344,0.9655776630184333,0.8679709835487307,0.8159765694431069,0.9268813093110347,0.9344061291297734,0.865545138408141,0.8789913284348616,0.6774430471591227,0.9263027358621597,0.8670391689717374
Speech,0.48192523290377903,0.7069458130799989,0.36602020048335504,0.44794129494131446,0.44778684163317106,0.478357036465892,0.44796484556295796,0.44788471131831165,0.46100527715441036,0.5158412883501627,0.0,0.44788471131831165
UCI_churn,0.0,0.014285714285714285,0.0836976804585457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.530690316022283
USPS,0.8113601607631971,0.5190823597739971,0.9537305241761599,0.7706874346568344,0.7608114194497979,0.7828148765112029,0.7679196529310727,0.7679196529310727,0.7694451762353227,0.7348337043463773,0.8219654806915985,0.798067110339721
artificial-characters,0.0,0.0,0.9299631112102968,0.6891342404146579,0.636705824988306,0.7938973763113941,0.9509965628558396,0.5486320087541399,0.6105796211870382,0.17807778519040343,0.0,0.4034515795064415
banknote-authentication,0.8469200745511596,0.7207767976754366,0.9986798535597565,0.9966952185462279,0.9910947909040267,0.9980197803396349,0.9966952185462279,0.9934138470781733,0.9966952185462279,0.8311499585146576,0.4227564662300341,0.9934138470781733
blood-transfusion-service-center,0.608799503355314,0.6617529759077064,0.5498371875137849,0.4377418141152757,0.41972223259040203,0.49180457640074476,0.47118280215524644,0.4215020732257734,0.45954701834469114,0.39554392474654476,0.0,0.4215020732257734
breast-w,0.9705830546249773,0.8974293782122433,0.9620132294345097,0.966011624875262,0.966011624875262,0.9703928784108463,0.966011624875262,0.966011624875262,0.9680904517659255,0.966958533645675,0.8822084959621735,0.966011624875262
california,0.7368626190465208,0.7394149299737788,0.8462868037577834,0.8105732990246544,0.8033689531489637,0.8182702971866895,0.8086699243926514,0.8067621826856376,0.8161379394309914,0.5095872177211501,0.7394615528582282,0.8067621826856376
cardiotocography,0.9935597940159692,1.0,0.9996927563755689,0.9996927563755689,0.9996927563755689,0.9996927563755689,0.9996927563755689,0.9996927563755689,0.9996927563755689,0.9996927563755689,1.0,0.9996927563755689
clean1,0.727367922119619,0.677586394740019,0.8869719400415074,0.8271670624084427,0.8160018114117176,0.8559680122516303,0.8271670624084427,0.8271670624084427,0.8271670624084427,0.8141611490791132,0.6902347212499331,0.8271670624084427
clean2,0.6563182063880669,0.7575628239069999,0.9235495405609079,0.8569514007714234,0.8437208555163054,0.8816200277028694,0.8554104470438041,0.8547124946674073,0.8579265718328672,0.8379561421803945,0.6826531670375302,0.8777605037786242
climate-model-simulation-crashes,0.3638509571673837,0.816224563406827,0.04237827706911807,0.32345872040023355,0.36820025300205733,0.27220475582581266,0.36820025300205733,0.36867382696806617,0.2839809639253786,0.6077699184435137,0.0,0.36867382696806617
corporate_credit_ratings,0.3741973644797972,0.0,0.719292540926257,0.7181810014502273,0.71847559868005,0.7041283463830394,0.7174618445458893,0.7135309439947335,0.7194240158841045,0.7168269568401454,0.4898207025647564,0.7124137656804367
default-of-credit-card-clients,0.5562606812922779,0.6459190280066271,0.5881782463064396,0.6795476020695564,0.6791319892021161,0.6730042468054128,0.6794684693819627,0.6801214195052333,0.6800306080757336,0.685933900551206,0.0,0.6801214195052333
diabetes,0.6709854841784614,0.6173411854902421,0.6883132920947063,0.6944288638004492,0.6973209572842927,0.697019165622013,0.6968035084338029,0.697613124116365,0.6944333137452016,0.7093104727643815,0.0,0.697613124116365
ecoli,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eeg-eye-state,0.5467024842472257,0.5442596691378976,0.8488071389372326,0.5343123319060111,0.41575662381681033,0.7358449397504574,0.5337357720371163,0.5325316850122709,0.5506297002816453,0.19048725498208324,0.00385471672245849,0.5328728754117424
gas-drift,0.4385492541301887,0.0,0.9907301784275123,0.6246735001550894,0.6223582239376526,0.6262913546790647,0.6205976508383807,0.6205976508383807,0.6211280118140409,0.547912337616692,0.5567795009533036,0.9227430058906767
gina_agnostic,0.7948344258238649,0.7920448518693486,0.8108121232886008,0.7807674534393275,0.7800527279623919,0.788173935843316,0.7805174294281948,0.7805174294281948,0.7818743160049886,0.7784267779069781,0.7920082689940868,0.7812798491116553
glass,0.0,0.0,0.082040167696162,0.087775857850654,0.087775857850654,0.17403247412548492,0.087775857850654,0.0,0.18435372796579694,0.07343345289815163,0.0,0.0
