dataset,BernoulliNB,ComplementNB,"DW-NB(k=15,CV-λ)","DW-NB(k=15,λ=0.5)","DW-NB(k=30,λ=0.5)","DW-NB(k=5,λ=0.5)",DW-NB(w1-only),DW-NB(w2-only),DW-NB(w3-only),GaussianNB,MultinomialNB,NB+kNN-Ensemble
JapaneseVowels,0.018176373446789008,0.19135414636637907,0.003911425772409473,0.005754218649735078,0.007858653771923227,0.005832329693111122,0.00597706463184532,0.006656984600512037,0.004029993918830236,0.013094715877924653,0.0,0.006566549961190449
LED-display-domain-7digit,0.06450295741071695,0.0,0.23199592820977044,0.29850318653121655,0.3455795469051337,0.230169194129147,0.2321690150981334,0.3016467381241298,0.30000852934966654,0.3335013883034119,0.30765859979588467,0.3006401831414584
MagicTelescope,0.015162745662215416,0.009410258255347847,0.013925325027815827,0.013588382350118495,0.012191984396679623,0.011820941205372658,0.014280215847026203,0.01239445941326204,0.013437461002340214,0.011110370273611881,0.021491302420279114,0.012369230969220272
PhishingWebsites,0.00751382933954195,0.008486969538940563,0.004823790949123644,0.008813323645339516,0.013338119558438047,0.009259368620081582,0.006897949168460077,0.008727074459862899,0.009188423926666557,0.012639644059878257,0.00811748136205981,0.00872151916469993
Speech,0.11318969277665175,0.11359849478791924,0.2700104974584703,0.2562986000660172,0.2561992741500172,0.26843282014360487,0.25635210780525614,0.25630867614738106,0.26648385394569146,0.2115636555887946,0.0,0.25630867614738106
UCI_churn,0.0,0.04517539514526256,0.09081016562418373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011883577226203078
USPS,0.010215685416577717,0.0224911222033146,0.006201883123381994,0.012669700549721778,0.014363068929986404,0.013222333567230493,0.01313664912325386,0.01313664912325386,0.012721380873922402,0.017095125749471505,0.007399459966396476,0.014221372592727287
artificial-characters,0.0,0.0,0.009299910231231842,0.01930523068221485,0.017619953537554998,0.01495289799831985,0.011799923893884534,0.020887102984350637,0.014137341505945917,0.01887303253585399,0.0,0.015922697408804084
banknote-authentication,0.01162321368977242,0.041416642793906826,0.0027831130640884184,0.004677838848822093,0.006580401984622977,0.0031884565709514134,0.004677838848822093,0.006302085565196849,0.004677838848822092,0.04385808277293739,0.06003872246261085,0.006302085565196849
blood-transfusion-service-center,0.09143955351543663,0.06372742563933312,0.0633598168778101,0.12349326609775911,0.12051678948828094,0.08908256586482138,0.12280645233232934,0.11680856156405786,0.0994122205770594,0.13122398708303357,0.0,0.11680856156405786
breast-w,0.01592583876466676,0.017365486506151065,0.01957720705250913,0.023470620644602837,0.023470620644602837,0.01976389576985371,0.023470620644602837,0.023470620644602837,0.020111039333824406,0.020447635557605905,0.03401562703036871,0.023470620644602837
