dataset,BernoulliNB,ComplementNB,"DW-NB(k=15,CV-λ)","DW-NB(k=15,λ=0.5)","DW-NB(k=30,λ=0.5)","DW-NB(k=5,λ=0.5)",DW-NB(w1-only),DW-NB(w2-only),DW-NB(w3-only),GaussianNB,MultinomialNB,NB+kNN-Ensemble
balance_scale,0.6345431081161925,0.9471646741936075,0.42992583516994987,0.4652544702736964,0.4239938381757079,1.1276948532110347,0.4564011376297413,0.45425653477357153,0.5720042675255422,0.47629672404045725,0.7654060687503984,0.41355858631815134
banknote,0.40274887665760206,0.6563647304713709,0.02289726463919342,0.024305795291362616,0.0425031302755124,0.018916889441335683,0.018037701497328716,0.029413095633153412,0.01882526157917723,0.3172684943514009,0.6511536006990225,0.12142369368666757
breast_cancer,0.5396029417041369,0.5053507287953768,0.1756927015511552,0.4511658026126866,0.44621479678175124,0.40556021798059494,0.4513875689181873,0.4525255741224165,0.4364469657220063,0.7082369181933394,0.4701262061077152,0.205001434248399
digits,0.6433812034781057,1.7357747371326464,0.15216102536079804,1.9215752226439764,2.108559397441986,1.522960974777051,1.93668964725079,1.9411999623113485,1.8735160447606134,3.8205313044096947,0.3442052965111899,0.2786334605538876
ecoli,0.6381720734826015,2.034670353387972,2.3113829483655213,2.7843049465932443,2.7843049465932443,2.7843049465932443,2.6978608258406878,2.6978608258406878,2.6978608258406878,2.165884980295799,1.376819541833251,1.7024860832740423
glass,0.9659815931280058,1.7032709978154918,2.2404347395097908,2.2390304688743528,2.2390304688743528,2.3177809640948044,2.2181216055567146,2.2351952464071494,2.2589899700214082,3.528309625812633,1.290405079262938,1.3390999278126077
ionosphere,1.2171808848996561,0.6333561810486847,1.0402111246584975,0.886645548759852,0.8617147833028967,1.1188873596011253,0.8723975764308515,0.877396387520386,0.8663711069294129,1.1454592061027884,0.6026569280071442,0.6028702459854681
iris,0.5193649627927966,0.9963672865623566,0.13680318675895972,0.10887295771884095,0.11678833034636042,0.1013903018443368,0.10807432514021462,0.11091772673967597,0.10734706679185849,0.13979565833261814,0.8110014555187913,0.11589855271870952
letter,1.967496439645792,3.2450605126439895,0.2260054348519605,0.46976610074199554,0.6104951706499117,0.31547881624943963,0.4792407769586264,0.4965686266358301,0.41253987544796666,1.6248118653589139,2.9549670868707896,0.46568363744328745
optdigits,0.5992857718330606,1.7353802617168275,0.11232780842951759,1.9486158415424164,2.2378648769538367,1.7063908457190338,1.9894861816362301,1.991855163167339,1.9489824399777849,5.283584134952429,0.34334094619773414,0.29521104801209214
page_blocks,0.3209267194301972,1.5275366394737735,0.2115102728919432,0.4955861913629557,0.4992432268188626,0.5196068742216013,0.4969090597581471,0.49867473981474786,0.49661982993250176,0.886864053895567,0.38515857406812803,0.20896222253025246
parkinsons,1.704686331354381,0.5013009114799316,0.23431637820689644,1.9206848724796721,2.051596820037509,1.2185063132833183,1.9304149334862,1.9468148186187602,1.858092870958382,3.9869505786474506,0.40442766589134277,0.38536053697873796
pendigits,0.8586899189754347,2.109240955972285,0.05650420969784733,0.2403818471749048,0.3624267917351924,0.17082460569319077,0.2449764155934127,0.24678762993875117,0.2331621401266566,1.324389891896994,1.0094340997445566,0.14744328016226144
robot_navigation,1.3916727216982934,1.2350366447490668,0.48447595649812014,1.0761218757944697,1.222557571447504,0.9956412648411703,1.0555473398474642,1.1141003702148593,1.0367739649666132,2.6672978091698214,0.9254258065936437,0.6497301589291297
satellite,3.5317182934920033,1.6207429507226352,0.31808792049810275,1.8885032412286908,2.0143041287761476,1.750731725370968,1.905883153260945,1.9094385976287593,1.8692766459368013,3.938574630658384,1.2210905805422105,0.45450976427826806
segment,1.1040208248816517,1.660196745623963,0.196037451528416,0.7397474825106304,0.822764289280656,0.6385085227411688,0.6850548193776423,0.7621612622228875,0.7205036507707414,1.728920743187588,1.1243412838108358,0.3164186341855167
sonar,1.0510624504651076,0.5635173877986618,0.4651941349345468,1.2783055863438708,1.3093774994913172,1.2227719162170958,1.292685884249443,1.3071949472395434,1.23064482636675,2.364834052501803,0.5621786887872832,0.5232388065572985
spambase,0.44815633027654966,0.43657460211137505,0.3065001799402866,2.6490875004265737,2.7970063764126065,2.2692270651431756,2.604564496542728,2.6714120631652856,2.6244807950254407,5.160797269254969,0.4131999055915473,0.34596654941533334
transfusion,0.5170279388301705,0.6673488027058938,0.7224180599482354,0.7185203396348863,0.6017099642814873,1.3019930806365576,1.0884426727022014,0.7059221841880637,0.7286921280280658,0.7346265914246766,0.5300062343975738,0.5124408050965412
vehicle,2.2027082135193625,1.3379554242762883,0.6635958135283779,1.2545759675984758,1.3326125651773244,1.2842977968387674,1.2645369127765453,1.2748671798298399,1.2158041384891678,2.578515338900197,1.2434669166029306,0.8289984535314379
vowel,1.5999144212085,2.3811902336152437,0.4783880509735483,0.47915753417843304,0.6325261172616703,0.15724573356013408,0.4656000542337674,0.5833529733462097,0.3848643126039379,0.8675300830820378,2.233265054651961,0.7214773778280892
waveform,0.7469877896148622,0.9667960269315244,0.374840492338967,0.4868271737608734,0.4874967327809302,0.6214434263796592,0.48657038242940437,0.48654306788075063,0.48924842215432485,0.8102532097182035,0.8464855962498816,0.3953551095182086
wine,0.20158192713166093,0.8736083388523916,0.11251951466888119,0.05943631664489807,0.061632669653329905,0.0884330176192222,0.06047125685363434,0.06141251086498454,0.0563503553157493,0.09028086244630572,0.6284762327782738,0.07567577086691918
yeast,1.321258389792669,2.2827987475916025,5.2381673182651065,4.15655112341999,4.15655112341999,4.15655112341999,3.9494712077223975,4.080983510472928,4.402670442755499,8.965981690071198,1.6450807558224656,3.087924971532098
