dataset,BernoulliNB,ComplementNB,"DW-NB(k=15,CV-λ)","DW-NB(k=15,λ=0.5)","DW-NB(k=30,λ=0.5)","DW-NB(k=5,λ=0.5)",DW-NB(w1-only),DW-NB(w2-only),DW-NB(w3-only),GaussianNB,MultinomialNB,NB+kNN-Ensemble
JapaneseVowels,0.017285047664752785,0.0006983225049309765,0.00850189686954218,0.009158704650684118,0.008721425399170488,0.010865541874508892,0.009173529040516774,0.009655194551964813,0.008223047463115574,0.022250434722863692,0.0025209892309252637,0.007711182022987551
LED-display-domain-7digit,0.20489224834375472,0.005236922644421186,1.0191127471674413,1.672462884611221,1.6899512656972355,1.8704600002066412,1.5641498556850666,1.6777423227190549,1.6612543190304125,2.1773555418926382,0.09290747454371076,1.2435257699488873
MagicTelescope,0.009727359538257069,0.0015026120734707236,0.05596560292678604,0.04314232867940262,0.036066048946002315,0.06742056547947027,0.043350162045025425,0.042000708269259515,0.042919673169425375,0.05570130461394259,0.00207600551947115,0.018211688351563792
PhishingWebsites,0.018482762768613412,0.010483144151530784,0.02492614878566072,0.09180157919125857,0.10088751066423852,0.08117294232843433,0.07634285114587941,0.0929772030573345,0.08400033670547229,0.20300340772045372,0.011441250693469412,0.012797652210023845
Speech,0.025959270816241737,0.004974586590150091,0.03398784848880185,0.030980616122606833,0.02545770844917761,0.048126731428112565,0.029794664545999685,0.02964793277452296,0.0320966747350769,0.0478699970730337,0.0040895240194522295,0.01841731437901442
UCI_churn,0.028410335449164003,0.015198417129737591,0.12426041663064018,0.04275131718873056,0.04275131718873056,0.04275131718873056,0.04275131718873056,0.04275131718873056,0.04275131718873056,0.04275131718873056,0.01646242630068876,0.004392594062281429
USPS,0.23432361182422728,0.041803568927821264,0.04312588316383184,0.32598189819225154,0.32154000233976715,0.3093699756947593,0.32552989831741364,0.3256909859231656,0.32147984000430474,0.3689048643449759,0.09856460965884094,0.062201310160423746
artificial-characters,0.043993554019030504,0.00044135444628533467,0.060117001262912806,0.045430384240241886,0.04172135190724053,0.074000798603601,0.04659528650117873,0.044096691192079644,0.04704392680920725,0.12619644022960813,0.00421968404397793,0.029720913189350308
banknote-authentication,0.02852767355063157,0.003582054571175399,0.050548938594436967,0.033895843548919065,0.011736499276064849,0.03851330515512647,0.03351011862471457,0.032582317539207505,0.032592670103802374,0.0461502218552436,0.0035279168589114566,0.016376226895539046
blood-transfusion-service-center,0.05966935326354568,0.009329835775726547,0.24872338914029088,0.210596861675566,0.18661777466129661,0.30761514110066185,0.30579304285859216,0.20706198967049116,0.20752834557320118,0.2962779240871418,0.008619893130042371,0.060409786806162394
breast-w,0.14417309403236306,0.008850835122011373,0.5391131704575401,0.49999108546508486,0.49533987462179224,0.4805226840797697,0.4986813153580897,0.49957751751823093,0.504957546758659,0.5103800134775011,0.01229964706133099,0.20940285167944836
california,0.01492471780881371,0.00044656869836977135,0.035340423086277516,0.03480735650247614,0.031189839765527617,0.06172494252677011,0.034219518231213886,0.03424384155834758,0.03543845811515072,0.09053605541382594,0.00044659998829586414,0.019716908940940144
cardiotocography,0.011684351033649844,0.0004878319400674124,0.05127755915642111,0.05127755915642111,0.05127755915642111,0.05127755915642111,0.05127755915642111,0.05127755915642111,0.05127755915642111,0.05127755915642111,0.0006831418002291909,0.0027834277779008394
clean1,1.2536232426465133,0.2060621526947145,0.6979973956059283,0.8620334907116648,0.8876833739783407,0.8232100280529625,0.8601072143911909,0.8682829985903512,0.8621086861539949,1.2203479403351387,0.1950657160731572,0.24632257508145552
clean2,0.4487431106106998,0.04946282428019729,0.01440380750246332,0.1431177714361588,0.1696827841835731,0.11865826619358903,0.14010286017898518,0.14540878078479386,0.14139378771930275,0.29971165087113966,0.04102276176737454,0.021850319659269278
climate-model-simulation-crashes,0.06790907684716854,0.015353715129097903,0.16879559791601187,0.17185862306716151,0.09667394454561376,0.12050343518285521,0.16530350949254444,0.16519061783317432,0.16488142393632316,0.14912148381851092,0.017019180679634746,0.12598405654086112
corporate_credit_ratings,0.036836801601541826,0.0011212166486110656,0.12962474498900511,0.1668006178673893,0.08583157466756997,0.1992632734720636,0.1598073132037293,0.1595065392527445,0.15885171601863357,0.041345548352159665,0.008130821497720582,0.046558393806247426
default-of-credit-card-clients,0.016947765644997566,0.001960840319822903,0.054576359081306126,0.05189937059771359,0.04147449080438634,0.04502242989322644,0.051972194356993545,0.05127856709843346,0.04989119138155764,0.07795495883819153,0.001909459765607784,0.029223924577614194
diabetes,0.07639451095723677,0.004530973372570658,0.1961360478376854,0.17248503578313432,0.13141543328863203,0.3075911432083067,0.16978049786761834,0.16927656938973873,0.16893885517177978,0.20506776362801282,0.004546096541769019,0.08836528359296573
ecoli,0.023523202539104813,0.004183449841646607,0.34585653369376435,0.34585653369376435,0.34585653369376435,0.34585653369376435,0.32495139265208406,0.32495139265208406,0.32495139265208406,0.6124907808973177,0.012136519968315064,0.09458496225403952
eeg-eye-state,0.024595761924703557,0.0001812820737133347,0.062100586184813275,0.6964949080724429,0.835497143139213,0.4551108561882113,0.6998507903713986,0.7002935173361995,0.6768619889958689,2.177165509493806,0.0001765324035938114,0.06522014775706701
gas-drift,0.3724162967990604,0.01199562688237294,0.025953729486337472,0.3740641656861501,0.3789829402239057,0.3758919161005879,0.3750331344860807,0.37485061127596686,0.38153234661256674,0.37188703594649786,0.02965444737622049,0.03344942165909258
gina_agnostic,0.567075210864339,0.3778477258780024,0.0392575236010413,0.7848079106651186,0.7778062663746133,0.7949358178531354,0.7839821489384442,0.7839017758593229,0.7911215294942975,0.7702417258287627,0.3780571851405476,0.031154706492361652
glass,0.1779969307005721,0.017693994927368877,1.1788982524845344,0.8988532984507906,0.8988532984507906,0.9097218537600252,0.880950463401057,0.9000444590433319,0.8677737247608457,2.0803112665543058,0.04062209108446343,0.6893062196212897
har,0.22132439436196605,0.020759819834000673,0.017982924240605866,0.8411219407090187,0.9283690746529045,0.7300892697278638,0.8485735145094879,0.8487181731040913,0.8413235322345941,1.4342646329801259,0.07967183671677812,0.04424480074660957
