dataset,BernoulliNB,ComplementNB,"DW-NB(k=15,CV-λ)","DW-NB(k=15,λ=0.5)","DW-NB(k=30,λ=0.5)","DW-NB(k=5,λ=0.5)",DW-NB(w1-only),DW-NB(w2-only),DW-NB(w3-only),GaussianNB,MultinomialNB,NB+kNN-Ensemble
balance_scale,0.5270058403382197,0.6191738573635623,0.6273735033390194,0.6251119096461196,0.6263360860406751,0.6262167782069186,0.6262230207572308,0.6251653462397251,0.6274732951821334,0.6275772693813064,0.6087724536543215,0.6251653462397251
banknote,0.8439578183934302,0.7283252269962134,0.9985247402142896,0.9963139920418644,0.9904188454458277,0.9977871103214344,0.9963139920418644,0.9933582937798218,0.9963139920418644,0.8346264093962057,0.5293800172406284,0.9933582937798218
breast_cancer,0.9267700373579888,0.84471584590645,0.9631113813532565,0.929515095942512,0.9277701336168096,0.9409340725719428,0.929515095942512,0.929515095942512,0.937019351735025,0.9259506178096562,0.8022304164309892,0.929515095942512
digits,0.885497292485969,0.8064191943792641,0.9759842077845174,0.8799189373685966,0.8584888606952976,0.9107954772866199,0.8776681713063544,0.8771641044864982,0.8831803460989247,0.7876511476767318,0.9004864528332142,0.8700407307922567
ecoli,0.6758036446491001,0.4432092472664156,0.6681260299342435,0.7085178008549102,0.7085178008549102,0.7085178008549102,0.7085178008549102,0.7085178008549102,0.7085178008549102,0.5083149036103664,0.10527748410495867,0.7085178008549102
glass,0.5655957802374212,0.3394291965344597,0.6333910675381264,0.5553839940016411,0.5553839940016411,0.5824338711397534,0.5496916863093333,0.5241567594199174,0.5835596456919986,0.4376855193883058,0.2565183546995141,0.5242272021064591
ionosphere,0.7480257020840987,0.7327136586924896,0.8620743160522135,0.875129246837916,0.8658235430157262,0.8746671054596256,0.875129246837916,0.8717565980559241,0.8789251652052631,0.8647928263167459,0.43028542842517437,0.8717565980559241
iris,0.7233901283901284,0.554112554112554,0.9386868686868686,0.9525757575757575,0.9525757575757575,0.9525757575757575,0.9525757575757575,0.9458417508417508,0.9525757575757575,0.9525757575757575,0.7856343656343656,0.9458417508417508
letter,0.3977239616566891,0.3425931873903057,0.9481511721839487,0.8526629272935343,0.8164920064509273,0.9129258793219593,0.8485966937816645,0.8423878369649227,0.8715496183070138,0.6388847515691232,0.5019646638771038,0.8508064706682561
optdigits,0.895830958482376,0.811882953992362,0.9774620166950511,0.8513580788689679,0.8252437510591302,0.8721516950912248,0.8479484327111061,0.8477792874293657,0.8504080323327703,0.7119057257080645,0.9079992984108234,0.8964777207341283
page_blocks,0.4904772055982519,0.5895914332916605,0.8060237548698161,0.731059833220726,0.7118730303380848,0.7465653540629222,0.7422010734136484,0.7180745484804874,0.7293076144862856,0.6124895275598964,0.20006572922170368,0.6860948042502562
parkinsons,0.6916414603384353,0.6771091993163604,0.838054915514593,0.6902245371375806,0.680971108341313,0.8167956133904409,0.6902245371375806,0.6855157955867338,0.6942684931815367,0.6780906554608601,0.7231209287233955,0.6855157955867338
pendigits,0.8045462811948086,0.6535565100035929,0.9910463888402786,0.9687313626173868,0.9507345944293766,0.9813116997883338,0.9680013547315424,0.9680013547315424,0.9698984478409859,0.8516408648419814,0.7931277835887794,0.9698484690977608
