dataset,BernoulliNB,ComplementNB,"DW-NB(k=15,CV-λ)","DW-NB(k=15,λ=0.5)","DW-NB(k=30,λ=0.5)","DW-NB(k=5,λ=0.5)",DW-NB(w1-only),DW-NB(w2-only),DW-NB(w3-only),GaussianNB,MultinomialNB,NB+kNN-Ensemble
JapaneseVowels,0.6889969923537704,0.5516714344189071,0.9810580333509682,0.9400491829449029,0.9272980078426766,0.9654125145337022,0.9374042085458457,0.9329287084403791,0.9513623784116533,0.8501532959443386,0.2172373584823223,0.9340228569414878
LED-display-domain-7digit,0.7223018925518925,0.5040979524431537,0.700390193140193,0.6780411255411256,0.6677413142413142,0.6864314574314574,0.6934174844763079,0.6837189477189477,0.6778595016095016,0.6398206731349145,0.7186069763569763,0.6799042036394978
MagicTelescope,0.7080078160657884,0.7578201968234917,0.8184795965882709,0.7235000156798559,0.7122252514174328,0.7542072901825682,0.7320642248379098,0.7205616559628978,0.7318611002003165,0.6526562911990743,0.44850804368009534,0.7206110910135738
PhishingWebsites,0.9282077921795521,0.9287328383789992,0.9670002056707092,0.8625295957007785,0.8127984528057631,0.921707429417105,0.9294583475745508,0.8601629669135825,0.8733398856109167,0.6874185638146725,0.9281418936512326,0.8616199771787194
Speech,0.6048408955062662,0.5406465391180176,0.6352877741785742,0.6413721093239481,0.6373948463421446,0.6717130672350298,0.6413602837404956,0.6401914645619603,0.650714849452886,0.6235615754610642,0.4958281878860621,0.6401914645619603
UCI_churn,0.4609415436736358,0.4629287138623912,0.4751447349385556,0.12657017742233917,0.12657017742233917,0.12657017742233917,0.12657017742233917,0.12657017742233917,0.12657017742233917,0.12657017742233917,0.4609415436736358,0.3871516334933721
USPS,0.8155473246923413,0.5980537258766196,0.9559144671387246,0.7879027854563302,0.7790835040999153,0.7991162680690075,0.7855486894359823,0.7855486894359823,0.7869088693952204,0.7562059498501825,0.8282202175986952,0.8153701718761376
artificial-characters,0.2101023636861822,0.1457046510998618,0.92984651594621,0.6961069402615305,0.6515871120697188,0.7902941772356303,0.9482348968196735,0.5690756766022227,0.6233091839013778,0.24265824824920493,0.07846669180893633,0.48194744634798
banknote-authentication,0.8439578183934302,0.7283252269962134,0.9985247402142896,0.9963139920418644,0.9904188454458277,0.9977871103214344,0.9963139920418644,0.9933582937798218,0.9963139920418644,0.8346264093962057,0.5293800172406284,0.9933582937798218
blood-transfusion-service-center,0.644561940934198,0.6355118615756332,0.6427572950856387,0.5802475483313507,0.5683882510414225,0.6082110431231194,0.5899336446158362,0.5704295834765714,0.5901935569674125,0.5495690466772696,0.43247744621790424,0.5704295834765714
breast-w,0.967985358866722,0.8772157710740162,0.9599876132267102,0.9604186884646374,0.9604186884646374,0.9651696674387781,0.9604186884646374,0.9604186884646374,0.9620569907722816,0.9604913253211482,0.9008477462440718,0.9604186884646374
california,0.738965115460374,0.7395015930308115,0.8463481189656331,0.8143712174330637,0.807917681696499,0.821022815991261,0.8125608593867307,0.8107834631444067,0.8196800661470995,0.5674859368120843,0.7395493823001197,0.8107834631444067
cardiotocography,0.9887464370440467,1.0,0.9994113712374582,0.9994113712374582,0.9994113712374582,0.9994113712374582,0.9994113712374582,0.9994113712374582,0.9994113712374582,0.9994113712374582,1.0,0.9994113712374582
clean1,0.7277031979001926,0.677246308549268,0.8820201834072321,0.8243278099239799,0.8136035133037168,0.8536009403254947,0.8243278099239799,0.8243278099239799,0.8243278099239799,0.8115713301164484,0.6912718942524201,0.8243278099239799
clean2,0.6168577655273546,0.685386663737846,0.9460000218740017,0.8264037519067685,0.8153667013262356,0.8467240137580161,0.8244854264225202,0.8237443634830676,0.8267957269023579,0.8053729943395951,0.6948252635258438,0.8824963714620517
climate-model-simulation-crashes,0.5948857452972187,0.6307123624969926,0.48208319717280723,0.5887123591523348,0.6044265283547039,0.5785179585396365,0.6049306358976464,0.6065880261264652,0.5828221972441957,0.6752693139287772,0.4777445855115758,0.6065880261264652
corporate_credit_ratings,0.4251891836055327,0.29168807346597686,0.7386763076118307,0.7360500772276928,0.7364146507949628,0.723896556091022,0.7354672757786658,0.7321861981503182,0.7374190490203163,0.7369006356642381,0.5227541705284129,0.7306318566891221
default-of-credit-card-clients,0.5693547912727054,0.5973316671958713,0.6730909004253021,0.691257344910991,0.6920242516229106,0.6844835966596868,0.6915430809346238,0.6922026844277831,0.6907346561730177,0.6456703902166361,0.4378232468925739,0.6922026844277831
