dataset,BernoulliNB,ComplementNB,"DW-NB(k=15,CV-λ)","DW-NB(k=15,λ=0.5)","DW-NB(k=30,λ=0.5)","DW-NB(k=5,λ=0.5)",DW-NB(w1-only),DW-NB(w2-only),DW-NB(w3-only),GaussianNB,MultinomialNB,NB+kNN-Ensemble
JapaneseVowels,0.01418968502464146,0.009687180089800726,0.004008842015051983,0.005146495280382625,0.007052948019231663,0.005607192450964518,0.0053291343396938435,0.006070886699270101,0.0038744139324279813,0.011406342732373748,0.007050082578434548,0.005625051695293291
LED-display-domain-7digit,0.0598156179538574,0.04554517936047151,0.08351732054125455,0.09157824885537943,0.11017168516239997,0.09322514802940468,0.08457531387739145,0.09782727242040147,0.09741424089196801,0.11912272066042688,0.08067643710930157,0.09915300360938138
MagicTelescope,0.012178139951425731,0.00874946304104351,0.012904567016601039,0.010057858143981541,0.008093649158877595,0.00840036658969649,0.011053247427011746,0.009042037438380914,0.009900511727397598,0.00708784322647932,0.009765675256688219,0.008997405441439068
PhishingWebsites,0.007137720660765078,0.008213015695244415,0.00440758500916697,0.008631798117511006,0.012553455067059523,0.009544465630264858,0.007154227109525687,0.00854230970615704,0.009078156511965087,0.011105790339605931,0.00772277678016277,0.008549993640785104
Speech,0.05588729674470483,0.026272833516844077,0.11177985259118169,0.09447247396939938,0.09018415019503417,0.11049194543622431,0.09504557079198142,0.09503164238810434,0.0986177490704848,0.06604880440285184,0.0002165647797842842,0.09503164238810434
UCI_churn,0.0003598770307281372,0.0064184423755935275,0.016373165455177606,0.0009434296107453987,0.0009434296107453987,0.0009434296107453987,0.0009434296107453987,0.0009434296107453987,0.0009434296107453987,0.0009434296107453987,0.0003598770307281372,0.008301733361649289
USPS,0.010439279224893853,0.01864453629146114,0.006088539816519067,0.011420303437783188,0.012748591293829587,0.011977072868749526,0.011893627262824075,0.011893627262824075,0.011348856607987628,0.014963581945115788,0.006578769606233384,0.012850427724647064
artificial-characters,0.013020658075685468,0.010649238324131513,0.009602780778279318,0.01616063096996452,0.014412401398628736,0.014519522966012445,0.012310305602196944,0.014761543956959836,0.011679020246442653,0.011355607154385322,0.005127108296090434,0.010466655785420389
banknote-authentication,0.011812446929104407,0.03990531046322763,0.00311012070886461,0.005210785369852188,0.0069890650651746955,0.003563090892205421,0.005210785369852188,0.006462193007317442,0.005210785369852183,0.03975935076465418,0.04092750737728006,0.006462193007317442
blood-transfusion-service-center,0.059658385722646146,0.05086031083693588,0.04063023478276406,0.08368618209299263,0.07679848461696692,0.05769485821657477,0.08005676439170305,0.07776698519271884,0.06813453572561469,0.08447222472093027,0.001389851388924336,0.07776698519271884
breast-w,0.015124671241586769,0.0182178673303965,0.017211702772668314,0.024739235787038717,0.024739235787038717,0.02189672287264499,0.024739235787038717,0.024739235787038717,0.022247653218654906,0.022349031546488592,0.028246435886894333,0.024739235787038717
california,0.011391533500539387,0.011248987797777435,0.010037248096821253,0.017502273903345814,0.018953366701118485,0.014476643636808006,0.017731507773983142,0.017856079897504904,0.01633766430366088,0.09183839284731365,0.011431735740994174,0.017856079897504904
cardiotocography,0.009660283002425435,0.0,0.001861407585918482,0.001861407585918482,0.001861407585918482,0.001861407585918482,0.001861407585918482,0.001861407585918482,0.001861407585918482,0.001861407585918482,0.0,0.001861407585918482
clean1,0.10725205929436822,0.10248971930328347,0.03642412471385393,0.07212221992718648,0.07692186833354382,0.057391288683082395,0.07212221992718648,0.07212221992718648,0.07212221992718648,0.07868258664756808,0.0948480472175176,0.07212221992718648
clean2,0.01761825766417473,0.021819527015767184,0.013748661803325872,0.02525770306188651,0.02513383694525293,0.02411960225315512,0.024059168088710788,0.023862406568584717,0.02377087118199337,0.021458212004713297,0.024219913990682504,0.022664757643671395
