dataset,BernoulliNB,ComplementNB,"DW-NB(k=15,CV-λ)","DW-NB(k=15,λ=0.5)","DW-NB(k=30,λ=0.5)","DW-NB(k=5,λ=0.5)",DW-NB(w1-only),DW-NB(w2-only),DW-NB(w3-only),GaussianNB,MultinomialNB,NB+kNN-Ensemble
JapaneseVowels,0.6767994345308207,0.5701752879128426,0.9793261253077665,0.9360530788139292,0.922205192814622,0.9629906864192186,0.9330997464105598,0.9282110327509818,0.9481198537601647,0.8393234276951542,0.3039625004066563,0.9297097055377892
LED-display-domain-7digit,0.6992067352181216,0.5726212918934744,0.6835535738582547,0.6561877175427691,0.648734288008416,0.6631855838792552,0.670562532907802,0.6630495624749787,0.6582148926382666,0.6223815759341569,0.703634870476255,0.6586963130297001
MagicTelescope,0.43685328465560447,0.5157826937989232,0.6593186909611743,0.5156184822533583,0.4954789258746796,0.5643724688431819,0.5282809369416183,0.5109496060912273,0.5285309941371514,0.3599352907001959,0.1853964601815302,0.5111127321363496
PhishingWebsites,0.856763710631286,0.8577978068322943,0.9343747994356821,0.7567045957681683,0.6829847654190461,0.8531184135365187,0.866936822605377,0.7530267802689161,0.7735559800370031,0.519881301528109,0.8569195814188776,0.7552903016228556
Speech,0.21185359508397314,0.18479200146992,0.3141053238419622,0.3012813494749013,0.291291367305537,0.3628360887208351,0.30004468229693904,0.2979303726447454,0.32011341114690073,0.25387656849540685,0.0,0.2979303726447454
UCI_churn,0.0,0.010963753173116719,0.06989677008583291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16253418256556007
USPS,0.8068255752239482,0.6034839291948253,0.954981431403667,0.7890476776737148,0.7808626218146499,0.7993366050120436,0.786826664678969,0.786826664678969,0.7880341394720098,0.7584650533524813,0.8216343382125224,0.8196369486968271
artificial-characters,0.17215187577069543,0.13178596771349235,0.9229836409118667,0.6756092749649751,0.626831408235759,0.7778123254394727,0.9453132887922827,0.5322967483002194,0.5925907708722506,0.21394609709636705,0.09667988614268246,0.45157512410814543
banknote-authentication,0.6951698967612171,0.46292673198323264,0.9970710833292141,0.9927031543173938,0.9810188095025218,0.9956066249938212,0.9927031543173938,0.9867917738154578,0.9927031543173938,0.6719776132645902,0.3291695901217312,0.9867917738154578
blood-transfusion-service-center,0.2997728052320764,0.30731107689255227,0.320257499563145,0.22955568500932752,0.20467940210770502,0.2709019797408208,0.21391681908514673,0.2156557058140376,0.24643376364346467,0.14992585701882305,0.0,0.2156557058140376
breast-w,0.9365495954434623,0.7691300980061552,0.9210017696690127,0.9220096487457713,0.9220096487457713,0.9313791857055834,0.9220096487457713,0.9220096487457713,0.9254241325377585,0.922341078698435,0.809772571454956,0.9220096487457713
california,0.48550788363106695,0.47930972041500886,0.6929392713478573,0.64359078722802,0.6336590648829322,0.6527606643446113,0.640326141310534,0.637283265094946,0.6532283392394771,0.3230050712730006,0.47941000972340575,0.637283265094946
cardiotocography,0.9938771761652042,1.0,0.9994440370054477,0.9994440370054477,0.9994440370054477,0.9994440370054477,0.9994440370054477,0.9994440370054477,0.9994440370054477,0.9994440370054477,1.0,0.9994440370054477
clean1,0.4690596879404055,0.37426351561771404,0.7751882207316745,0.656699026241038,0.6371337383083615,0.71255332762517,0.656699026241038,0.656699026241038,0.656699026241038,0.6332726490243419,0.39960522833534895,0.656699026241038
clean2,0.2687775083495838,0.41555475969078337,0.8943737470392236,0.6595164683288963,0.6371232522041982,0.7009171669772799,0.6558044733105116,0.6543686957131056,0.6604172160986075,0.6190301148197244,0.39247598724582516,0.7652439413955314
climate-model-simulation-crashes,0.21201727421988106,0.4010625662303699,-0.005944068344881119,0.20032206905183775,0.2311910841371257,0.1654451150444739,0.23507622758655472,0.23859912724206644,0.2016709634406127,0.362529127819602,0.0,0.23859912724206644
corporate_credit_ratings,0.39902037025353404,0.34100338262256663,0.7142850125291824,0.7114508773882171,0.7122720012115974,0.6975779085296516,0.7108162412846355,0.7073125154531176,0.7127528974014845,0.7120924996797585,0.48061757446878717,0.7061835951438902
default-of-credit-card-clients,0.1467135425743497,0.2472307779916651,0.37345249938953134,0.3833570744646418,0.3847431202096164,0.37002379911835587,0.38386432025192485,0.3851892340405228,0.38246762475257023,0.32722869578553837,0.0,0.3851892340405228
diabetes,0.3783540401309232,0.2356095621435012,0.43463222769492227,0.44225429822572987,0.45197531183256884,0.4363499558319071,0.4494464700352351,0.4519476284631381,0.4436492692727937,0.45647596737367174,0.0,0.4519476284631381
ecoli,0.6226577861735464,0.5517914930889608,0.7303594286541519,0.7303594286541519,0.7303594286541519,0.7303594286541519,0.7303594286541519,0.7303594286541519,0.7303594286541519,0.7087698992053584,0.028449446702974147,0.7308026577268263
