dataset,BernoulliNB,ComplementNB,"DW-NB(k=15,CV-λ)","DW-NB(k=15,λ=0.5)","DW-NB(k=30,λ=0.5)","DW-NB(k=5,λ=0.5)",DW-NB(w1-only),DW-NB(w2-only),DW-NB(w3-only),GaussianNB,MultinomialNB,NB+kNN-Ensemble
JapaneseVowels,0.014883405462300884,0.012562368876675556,0.004244209002899233,0.005334048995218279,0.0072657875287105165,0.005919842665554355,0.005635888611511933,0.006484846983534564,0.004105026304561265,0.011748172414899064,0.009845300735151835,0.005922715541832347
LED-display-domain-7digit,0.060347844196193795,0.0566146283569446,0.0800478510024109,0.08832728347830626,0.10691181119793396,0.09289508246077521,0.0828400359327849,0.09611821465326102,0.0893562654612056,0.11499307765599158,0.07879228037311066,0.09809325162985158
MagicTelescope,0.022444657405465234,0.017475858213642236,0.025394788964768728,0.016174761556020614,0.010289468153957254,0.012714498459197079,0.01851478410648538,0.014621942870325373,0.01595395226972684,0.010617643411319537,0.01663943218988171,0.01450609658410771
PhishingWebsites,0.014265783354144065,0.016413288267151556,0.008691749080653427,0.013633148478457658,0.018185364299975033,0.016865970082008783,0.012896380469402923,0.01342486835080976,0.014536737288289867,0.013767290248649248,0.015366386055455358,0.013472712783567941
Speech,0.11159961189439492,0.07315850352944883,0.2417147678461286,0.19515956649413746,0.1860897192461508,0.23379220210241028,0.19669923195252367,0.19685797000378308,0.20127784887434488,0.13628997053423358,0.0,0.19685797000378308
UCI_churn,0.0,0.043168532171617646,0.07626029394407828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029059299294234273
USPS,0.011070015378719957,0.015046284461424348,0.006128240731861617,0.011197368079627736,0.012470580575389327,0.011826947917487852,0.011660000833237665,0.011660000833237665,0.011194994239919827,0.014811681867031972,0.006982947515987636,0.012740645953128762
artificial-characters,0.017609461718698854,0.013908519586581231,0.010044386388838545,0.01808155812265602,0.01706102281213958,0.01571720391956353,0.012863677652651713,0.01649412887040374,0.013424687557630165,0.011466765288470519,0.010949139960781807,0.010165329577514457
banknote-authentication,0.023625295168517732,0.07888588917081872,0.006174698504347151,0.010295447173712126,0.013770851323816608,0.007074005822425336,0.010295447173712126,0.012861336823497242,0.010295447173712127,0.07483965375005383,0.050138167715062916,0.012861336823497242
blood-transfusion-service-center,0.11878789760921907,0.10689085425344239,0.08311769173562318,0.18487846232811173,0.16529253425430743,0.12691429043780575,0.1690112536705686,0.1783178088613045,0.14740321540728846,0.18243403744291645,0.0,0.1783178088613045
breast-w,0.03015979029315647,0.03481205884420503,0.03412756484942845,0.04880781586003016,0.04880781586003016,0.04317074577037756,0.04880781586003016,0.04880781586003016,0.04351433963075425,0.04380400922912431,0.05196461553994454,0.04880781586003016
california,0.023165080813681065,0.022474510515200188,0.020032313491763157,0.02445046912760205,0.02394591599387077,0.02143404870715885,0.024274646669621584,0.024060963458531797,0.022474854192345198,0.0911044848825484,0.022845322486159364,0.024060963458531797
cardiotocography,0.005505886435264251,0.0,0.0017581093575528663,0.0017581093575528663,0.0017581093575528663,0.0017581093575528663,0.0017581093575528663,0.0017581093575528663,0.0017581093575528663,0.0017581093575528663,0.0,0.0017581093575528663
clean1,0.20543542538495904,0.19248113398664637,0.07073844153255501,0.14142273075970963,0.14999809812796375,0.11421749713865292,0.14142273075970963,0.14142273075970963,0.14142273075970963,0.1536611715656201,0.18364657359625425,0.14142273075970963
clean2,0.04007147630788249,0.044956498449175805,0.026571906768053027,0.04948365123203016,0.04918381752638453,0.047200670161110896,0.04730758007652744,0.04695689618378143,0.04674902867021631,0.04288640514272935,0.048384789224449914,0.04532246311689508
climate-model-simulation-crashes,0.2677433307566945,0.12389341042063079,0.04146380742734367,0.24034220029920048,0.22805661080839468,0.309660141149417,0.223224792460221,0.22144918458745702,0.2734897027685167,0.23862228864632645,0.0,0.22144918458745702
