dataset,classifier,metric,mean,std
JapaneseVowels,BernoulliNB,accuracy,0.7134827172279892,0.01304600054618293
JapaneseVowels,BernoulliNB,auc_roc,0.9411861494494168,0.002442721164261185
JapaneseVowels,BernoulliNB,balanced_accuracy,0.6995956005261496,0.013993703264676076
JapaneseVowels,BernoulliNB,brier_score,0.4094681812368813,0.012833198928619982
JapaneseVowels,BernoulliNB,ece,0.04009679185554767,0.011609646796181386
JapaneseVowels,BernoulliNB,geometric_mean,0.6493247274399432,0.018176373446789008
JapaneseVowels,BernoulliNB,log_loss,0.8624511499460835,0.017285047664752785
JapaneseVowels,BernoulliNB,macro_f1,0.6889969923537704,0.01418968502464146
JapaneseVowels,BernoulliNB,mcc,0.6767994345308207,0.014883405462300884
JapaneseVowels,BernoulliNB,nb_knn_agreement_rate,,
JapaneseVowels,BernoulliNB,predict_time_per_sample_ms,0.01816593870022181,0.013572411282279479
JapaneseVowels,BernoulliNB,selected_lambda,,
JapaneseVowels,BernoulliNB,weighted_f1,0.6993773151569636,0.012989440985295444
JapaneseVowels,ComplementNB,accuracy,0.6105800332725082,0.010937190891035875
JapaneseVowels,ComplementNB,auc_roc,0.9233579491721826,0.002832790052147564
JapaneseVowels,ComplementNB,balanced_accuracy,0.5828413417485635,0.010228432901393072
JapaneseVowels,ComplementNB,brier_score,0.8811377662654889,0.00016748644301274582
JapaneseVowels,ComplementNB,ece,0.49486117721101797,0.010914398914668975
JapaneseVowels,ComplementNB,geometric_mean,0.1481920397557576,0.19135414636637907
JapaneseVowels,ComplementNB,log_loss,2.1632631732458,0.0006983225049309765
JapaneseVowels,ComplementNB,macro_f1,0.5516714344189071,0.009687180089800726
JapaneseVowels,ComplementNB,mcc,0.5701752879128426,0.012562368876675556
JapaneseVowels,ComplementNB,nb_knn_agreement_rate,,
JapaneseVowels,ComplementNB,predict_time_per_sample_ms,0.01189232921628739,0.006542668129941933
JapaneseVowels,ComplementNB,selected_lambda,,
JapaneseVowels,ComplementNB,weighted_f1,0.5694444021298948,0.010183335120518937
JapaneseVowels,"DW-NB(k=15,CV-λ)",accuracy,0.9817291231123088,0.0037482180957593785
