dataset,BernoulliNB,ComplementNB,"DW-NB(k=15,CV-λ)","DW-NB(k=15,λ=0.5)","DW-NB(k=30,λ=0.5)","DW-NB(k=5,λ=0.5)",DW-NB(w1-only),DW-NB(w2-only),DW-NB(w3-only),GaussianNB,MultinomialNB,NB+kNN-Ensemble
balance_scale,,,0.9536610343061955,0.9536610343061955,0.9728110599078341,0.8865335381464414,0.9568356374807987,0.9583973374295954,0.9440860215053763,,,
banknote,,,0.8382418279911139,0.8382418279911139,0.8389717549984133,0.8382418279911139,0.8382418279911139,0.8360679149476355,0.8382418279911139,,,
breast_cancer,,,0.9543546365914788,0.9543546365914788,0.9578634085213033,0.943828320802005,0.9578634085213033,0.9561090225563909,0.9473370927318296,,,
digits,,,0.7974487895716946,0.7974487895716946,0.8024612042209809,0.7957790192427063,0.7968963376784606,0.7968994413407822,0.797445685909373,,,
ecoli,,,0.7740641711229946,0.7740641711229946,0.7740641711229946,0.7740641711229946,0.7740641711229946,0.7740641711229946,0.7740641711229946,,,
glass,,,0.5075757575757576,0.5075757575757576,0.5075757575757576,0.5075757575757576,0.4984848484848484,0.47554112554112554,0.5123376623376623,,,
ionosphere,,,0.843095238095238,0.843095238095238,0.8402380952380952,0.8687301587301587,0.8373809523809523,0.8373809523809523,0.8601587301587301,,,
iris,,,0.9666666666666666,0.9666666666666666,0.9866666666666667,0.9733333333333334,0.9666666666666666,0.9666666666666666,0.96,,,
letter,,,0.65,0.65,0.65465,0.6446,0.65115,0.6514,0.6468,,,
optdigits,,,0.7309608540925268,0.7309608540925268,0.7316725978647687,0.7274021352313167,0.7300711743772241,0.7297153024911032,0.7291814946619217,,,
page_blocks,,,0.9038888295813928,0.9038888295813928,0.9062650956110969,0.9051655346348364,0.9029750864036081,0.9040719785425478,0.9049847209063371,,,
parkinsons,,,0.6821052631578948,0.6821052631578948,0.5952631578947368,0.7181578947368421,0.6721052631578948,0.6305263157894736,0.6976315789473684,,,
pendigits,,,0.8577155265117048,0.8577155265117048,0.8575334601704029,0.8576250310199354,0.8579884192240881,0.8579883365042601,0.8579886673835718,,,
robot_navigation,,,0.5434307893940922,0.5434307893940922,0.550395537184528,0.5360923480189534,0.5432462949894143,0.5470941291124778,0.5386638438014585,,,
satellite,,,0.8356143079315708,0.8356143079315708,0.846656298600311,0.8214618973561431,0.83950233281493,0.83950233281493,0.8287713841368586,,,
segment,,,0.7943722943722944,0.7943722943722944,0.7904761904761906,0.7922077922077922,0.7965367965367965,0.7896103896103897,0.7909090909090909,,,
sonar,,,0.7019047619047619,0.7019047619047619,0.6680952380952381,0.6773809523809524,0.6966666666666667,0.6969047619047619,0.6919047619047619,,,
spambase,,,0.803950768650382,0.803950768650382,0.8006898990851645,0.8054720362161654,0.8063406583042536,0.7913444308214655,0.8037319626520796,,,
transfusion,,,0.8528648648648648,0.8528648648648648,0.8516036036036037,0.8101441441441442,0.8381081081081081,0.8622162162162162,0.8595315315315315,,,
vehicle,,,0.511904761904762,0.511904761904762,0.5319747899159664,0.48466386554621854,0.5154481792717087,0.4977170868347339,0.5024649859943977,,,
vowel,,,0.6515151515151516,0.6515151515151516,0.6494949494949495,0.6686868686868687,0.6505050505050505,0.5525252525252525,0.6555555555555556,,,
waveform,,,0.8206,0.8206,0.8390000000000001,0.7754000000000001,0.8196,0.8198000000000001,0.8013999999999999,,,
wine,,,0.9441176470588235,0.9441176470588235,0.961111111111111,0.949673202614379,0.9552287581699346,0.961111111111111,0.949673202614379,,,
yeast,,,0.14626337747143117,0.14626337747143117,0.14626337747143117,0.14626337747143117,0.14356520950480683,0.14627698167966624,0.14086250680210413,,,
