dataset,BernoulliNB,ComplementNB,"DW-NB(k=15,CV-λ)","DW-NB(k=15,λ=0.5)","DW-NB(k=30,λ=0.5)","DW-NB(k=5,λ=0.5)",DW-NB(w1-only),DW-NB(w2-only),DW-NB(w3-only),GaussianNB,MultinomialNB,NB+kNN-Ensemble
balance_scale,0.020221054787960907,0.0072415130559592335,0.4439174167955492,0.9100110522278078,0.9002363850482918,0.7902874321552541,0.8595601228865728,0.7541032821287427,0.5871456477198207,0.07954598566223743,0.014421776754026897,2.4543841039434726
banknote,0.09021902411968637,0.010785076166417159,0.31697399608509935,0.5607116359886054,0.2671745043901189,0.37958369247805107,0.33618174918095595,0.49457041309675687,0.45494680101509816,0.030316810537049578,0.048543531154289096,1.2096762985294267
breast_cancer,0.18431383458555056,0.00578420112863017,0.9132570144114274,5.772988067042606,4.974563815786615,5.816152681703251,4.830063775062868,4.618115651628212,4.422999197993962,0.040793941102016854,0.006382199248541963,6.5282525657892165
digits,0.21670694816890848,0.09865116449367473,1.468200612041967,0.9638888997512437,0.9846341595285985,0.9130692576041082,1.084341475481196,0.9453211480446658,1.0045798507141614,0.18740402948531426,0.06051612631895879,0.9019917157044904
ecoli,0.02862123885705665,0.011828253118737638,0.8289480392173774,0.5912786007142709,0.7315235294114154,0.8473452139024353,0.8393456506232019,0.6790336007110838,0.6015444117639663,0.37734319964524543,0.011599215687411174,0.6644574955437159
glass,0.06875110389508934,0.017605757576344035,0.5829678571415144,0.47338915584487234,0.6907627056274838,0.5841602813845455,0.8454600649383005,0.7549660389637817,0.7102367965351977,0.3078057142847211,0.018681212124206606,2.1614316450261346
ionosphere,0.25542442063357473,0.0632270555561696,1.7040595476187117,1.070098325394286,0.8359127857141766,1.208132944441584,1.0505816507931365,0.8813531111100236,0.8683121746022904,0.32785613492229626,0.0333475952376671,2.622676174604503
iris,0.09531399999711235,0.018461999998180545,0.4794599999968341,0.5569186666646904,0.6022606666677651,0.7992180000079921,0.6011686666685515,0.8205839999997503,0.7526726666674222,0.2075786666713005,0.02421333333283352,6.476278666668804
letter,0.08070584999998118,0.05252960500001791,0.30235422500002185,1.487862125000015,1.565751235000016,1.4791170700000067,1.5797339749999537,1.371839010000008,1.1104808349999984,0.32518131999995603,0.07601465999996435,1.1345704850000402
optdigits,0.15110306049812727,0.07768364768677376,1.3683759786477157,0.9529942526689114,0.9033281138791767,0.9791630249111348,1.0271881138790464,1.0704654804269718,1.1635660854092997,0.172942366548082,0.09751345195722755,0.774711156583549
page_blocks,0.17671083974970653,0.2074054457624383,0.5859617047198099,0.9464146031772358,0.9838930440090863,1.0935322664768352,1.0582843265856108,1.0944420294506192,1.0391752705866337,0.41806701600635465,0.06002008089913935,1.0196977550407693
parkinsons,0.42118376315975664,0.05558560526160842,5.115212605261197,7.919714526317421,8.007678210528507,5.474743657893286,4.827467999997512,3.5646797368378045,4.612559842107418,0.24441834211242358,0.020282131579518282,8.240101499994987
pendigits,0.0708310030192719,0.029819561336728327,0.7624272792952455,1.0316631404996184,1.0207079986431935,1.0330696632972605,1.0580982372900747,1.0711053617834687,0.9294039836959154,0.13273438027135115,0.08808827445609639,0.5120414600546248
robot_navigation,0.28698658930675547,0.12035874775667448,1.0333407639210361,1.3296157265517266,1.2018104776357181,1.1334762615853835,1.715108487112495,1.6250118869509336,1.2210061067312477,0.4600461193333817,0.20603018472952703,1.1531774059548088
satellite,0.14115846034227408,0.09432662519446841,1.270245194401252,1.1469877138414055,1.126566609642271,1.172372301710652,1.0616300933125697,1.1148062052876047,0.8588713374805647,0.08528818040453257,0.044179129082460314,0.9100778538102541
