dataset,BernoulliNB,ComplementNB,"DW-NB(k=15,CV-λ)","DW-NB(k=15,λ=0.5)","DW-NB(k=30,λ=0.5)","DW-NB(k=5,λ=0.5)",DW-NB(w1-only),DW-NB(w2-only),DW-NB(w3-only),GaussianNB,MultinomialNB,NB+kNN-Ensemble
balance_scale,,,0.22999999999999998,0.5,0.5,0.5,0.5,0.5,0.5,,,
banknote,,,0.8800000000000001,0.5,0.5,0.5,0.5,0.5,0.5,,,
breast_cancer,,,1.0,0.5,0.5,0.5,0.5,0.5,0.5,,,
digits,,,1.0,0.5,0.5,0.5,0.5,0.5,0.5,,,
ecoli,,,0.32,0.5,0.5,0.5,0.5,0.5,0.5,,,
glass,,,0.9800000000000001,0.5,0.5,0.5,0.5,0.5,0.5,,,
ionosphere,,,0.3,0.5,0.5,0.5,0.5,0.5,0.5,,,
iris,,,0.45,0.5,0.5,0.5,0.5,0.5,0.5,,,
letter,,,1.0,0.5,0.5,0.5,0.5,0.5,0.5,,,
optdigits,,,1.0,0.5,0.5,0.5,0.5,0.5,0.5,,,
page_blocks,,,1.0,0.5,0.5,0.5,0.5,0.5,0.5,,,
parkinsons,,,1.0,0.5,0.5,0.5,0.5,0.5,0.5,,,
pendigits,,,1.0,0.5,0.5,0.5,0.5,0.5,0.5,,,
robot_navigation,,,1.0,0.5,0.5,0.5,0.5,0.5,0.5,,,
satellite,,,1.0,0.5,0.5,0.5,0.5,0.5,0.5,,,
segment,,,0.99,0.5,0.5,0.5,0.5,0.5,0.5,,,
sonar,,,0.9199999999999999,0.5,0.5,0.5,0.5,0.5,0.5,,,
spambase,,,1.0,0.5,0.5,0.5,0.5,0.5,0.5,,,
transfusion,,,0.8300000000000001,0.5,0.5,0.5,0.5,0.5,0.5,,,
vehicle,,,1.0,0.5,0.5,0.5,0.5,0.5,0.5,,,
vowel,,,0.86,0.5,0.5,0.5,0.5,0.5,0.5,,,
waveform,,,0.89,0.5,0.5,0.5,0.5,0.5,0.5,,,
wine,,,0.65,0.5,0.5,0.5,0.5,0.5,0.5,,,
yeast,,,1.0,0.5,0.5,0.5,0.5,0.5,0.5,,,
