dataset,BernoulliNB,ComplementNB,"DW-NB(k=15,CV-λ)","DW-NB(k=15,λ=0.5)","DW-NB(k=30,λ=0.5)","DW-NB(k=5,λ=0.5)",DW-NB(w1-only),DW-NB(w2-only),DW-NB(w3-only),GaussianNB,MultinomialNB,NB+kNN-Ensemble
balance_scale,0.7287053205092566,0.8432255457187592,0.8673103962604609,0.8641866573395764,0.8658526918579106,0.865644799224294,0.8657210488739681,0.8642343201419396,0.8675032691664182,0.8675696752850819,0.8416002584823328,0.8642343201419396
banknote,0.8449734154870061,0.7333675877755609,0.9985412463976238,0.9963540562379866,0.9905247396872403,0.9978118695964356,0.9963540562379866,0.9934372494481046,0.9963540562379866,0.8372655500713732,0.5542234271673909,0.9934372494481046
breast_cancer,0.9314556761877849,0.8521701263193956,0.9660505237003294,0.9345453452519633,0.9328311039267762,0.9451860853017905,0.9345453452519633,0.9345453452519633,0.9415744312409012,0.9311104318417451,0.8242192463235934,0.9345453452519633
digits,0.8856786109675806,0.8074259289820512,0.9760125906072629,0.8804933487134852,0.8592517733595668,0.911328791995915,0.878270642693346,0.8777665758734898,0.8837638446283375,0.788469895282663,0.9006813481156082,0.8706473606549606
ecoli,0.7697953325599689,0.6211989394592516,0.8070503834931684,0.8149270615614546,0.8149270615614546,0.8149270615614546,0.8149270615614546,0.8149270615614546,0.8149270615614546,0.7172159980328863,0.25919956283188855,0.8149270615614546
glass,0.6274502356866355,0.43072758928876487,0.6805259528053645,0.5577979536803066,0.5577979536803066,0.5928210351739763,0.5577979536803066,0.5494958034741316,0.5924419207182767,0.41187538894687786,0.3857130900622337,0.5745991670220691
ionosphere,0.7626769876679683,0.7544055213558878,0.8774281164427439,0.8891338409132932,0.8805869643975102,0.8889071347593465,0.8891338409132932,0.8861051197115838,0.8923268438287449,0.8789716650516024,0.5316154539436884,0.8861051197115838
iris,0.7233901283901284,0.554112554112554,0.9386868686868686,0.9525757575757575,0.9525757575757575,0.9525757575757575,0.9525757575757575,0.9458417508417508,0.9525757575757575,0.9525757575757575,0.7856343656343656,0.9458417508417508
letter,0.3994050666067893,0.34379356404899275,0.9484052453985875,0.8531039996624245,0.817063932871875,0.9132962727450369,0.8490568777311301,0.8428723369005784,0.8719217071338047,0.6401782462036973,0.5035593783928115,0.851241009495638
optdigits,0.8956248040986337,0.8120126658042801,0.977405288757884,0.850880163377093,0.8247613106419862,0.8716594632710706,0.8474576636486655,0.8472893505802487,0.8499253186744061,0.7112820898535597,0.9078771047651063,0.8963715695152846
page_blocks,0.9009895275104178,0.9172659224547453,0.9625945004052348,0.9470321771512549,0.9441419702014429,0.9532992458964358,0.9495477177105147,0.9470641117966601,0.947554872582858,0.9139975896248916,0.8516542400745657,0.9433978811008716
parkinsons,0.7354086788542625,0.7262882056995666,0.8858430855364217,0.7309618961955918,0.721093932771884,0.8498609140657688,0.7309618961955918,0.7253607721734152,0.7355992588329545,0.7144228261007773,0.8199857786338798,0.7253607721734152
pendigits,0.8062082896251151,0.6558668184355863,0.990991540534214,0.9684390484136205,0.9503016261496832,0.9811861534812891,0.9677187995148466,0.9677187995148466,0.9696225003550994,0.8529399664111915,0.7950334367551172,0.9694657502343503
robot_navigation,0.5974029585962375,0.5695687251607839,0.8659515351931267,0.7431624183989846,0.6812168461418042,0.8309674636044375,0.753830105409638,0.7257794521963451,0.7588295692708049,0.5317090239683591,0.5412376405692395,0.703167066873458
satellite,0.7023709133333618,0.42117151935944774,0.9062704250405942,0.8461999833149323,0.8347736572982905,0.8640321131601958,0.8434235308171086,0.8431254896038368,0.8457951915847481,0.8035946599829291,0.47511059336736094,0.8533635532170509
segment,0.7088023109005412,0.40027971426363196,0.9446082777175139,0.881160098561773,0.8345791202767201,0.9329441166556025,0.8957040774189162,0.8806403085206325,0.886762999021397,0.776357519744852,0.766466797196929,0.8687758691605969
sonar,0.7525765303481012,0.7446997872455539,0.7916203552359159,0.6974216906634908,0.6878545910963912,0.7773475637348298,0.7020537252955255,0.7020537252955255,0.7164030373107413,0.6762787036394969,0.7526740286953639,0.7020537252955255
