dataset,BernoulliNB,ComplementNB,"DW-NB(k=15,CV-λ)","DW-NB(k=15,λ=0.5)","DW-NB(k=30,λ=0.5)","DW-NB(k=5,λ=0.5)",DW-NB(w1-only),DW-NB(w2-only),DW-NB(w3-only),GaussianNB,MultinomialNB,NB+kNN-Ensemble
JapaneseVowels,0.6993773151569636,0.5694444021298948,0.9816646686738227,0.9432651226367599,0.9309815716849921,0.9671307293151052,0.940613148779352,0.9362925197234837,0.9539345212575115,0.8575956614740295,0.2534928212209127,0.9376610596783828
LED-display-domain-7digit,0.7222771062271062,0.5204821867846635,0.7038176212676213,0.677739183039183,0.6667083416583417,0.6890977688977689,0.6933010453598689,0.6840084138084138,0.6789807914307915,0.6399723887395714,0.7234096903096903,0.6801460506813448
MagicTelescope,0.7427363842061437,0.7790736613488648,0.839809027026339,0.7619106153916785,0.7525244287633857,0.7871138679396177,0.7688466782869352,0.7595081852159808,0.7687219605321474,0.7002873404322172,0.5515080169515322,0.7595550952662539
PhishingWebsites,0.9291939141854229,0.9297248282186548,0.9674740287256057,0.8622079516093196,0.8112982820955003,0.9220742298812044,0.9298457082107838,0.8597984934593693,0.8732025503663357,0.6808033282620325,0.9292013675633719,0.8612820086881211
Speech,0.9727425164649451,0.9251623438246073,0.9804316297402321,0.9785712034748413,0.9781728091653401,0.9810537983052617,0.9785714707123725,0.978398171690689,0.9794106409017573,0.9739014879991217,0.9752459454250006,0.978398171690689
UCI_churn,0.7882911587551182,0.7888556423519779,0.7929104254560295,0.036685399052931826,0.036685399052931826,0.036685399052931826,0.036685399052931826,0.036685399052931826,0.036685399052931826,0.036685399052931826,0.7882911587551182,0.4483628532280415
USPS,0.8281069643059299,0.6148067203580244,0.959641483518084,0.8073560512024693,0.7996312629665858,0.8170065776911863,0.8052403752228168,0.8052403752228168,0.8064579753729729,0.7786549326948758,0.8410168170127555,0.8346361648576959
artificial-characters,0.22336315349168645,0.1511981034929685,0.9309266276728125,0.7111634031148,0.667893186049068,0.8015598539656926,0.951131404228823,0.5746544788949469,0.631166582754535,0.2526533672327894,0.09496654647222579,0.5006560590047706
banknote-authentication,0.8449734154870061,0.7333675877755609,0.9985412463976238,0.9963540562379866,0.9905247396872403,0.9978118695964356,0.9963540562379866,0.9934372494481046,0.9963540562379866,0.8372655500713732,0.5542234271673909,0.9934372494481046
blood-transfusion-service-center,0.7438644948583873,0.7111253890536411,0.7600865535381405,0.7258839401819607,0.7191988226140654,0.7410930378526417,0.7263745692447028,0.7205851452178562,0.7311356832417384,0.7047978627270208,0.6591532156722997,0.7205851452178562
