dataset,BernoulliNB,ComplementNB,"DW-NB(k=15,CV-λ)","DW-NB(k=15,λ=0.5)","DW-NB(k=30,λ=0.5)","DW-NB(k=5,λ=0.5)",DW-NB(w1-only),DW-NB(w2-only),DW-NB(w3-only),GaussianNB,MultinomialNB,NB+kNN-Ensemble
JapaneseVowels,0.012989440985295444,0.010183335120518937,0.0037635742167189757,0.004764193220063421,0.006491775267764633,0.005327574242769182,0.005038446501210879,0.005763594270721763,0.003643206790916831,0.01058449538367692,0.007393629064751046,0.005328151939204162
LED-display-domain-7digit,0.05702700848433718,0.048062146495379696,0.07432242390237999,0.0875495094266527,0.10826431053599633,0.08307488426335016,0.08042988841947404,0.09305330493250247,0.09055919746216845,0.11693498569611376,0.07552295355147154,0.09455897454545602
MagicTelescope,0.01022997747012506,0.00801538833808923,0.011278882057497745,0.008128165395955064,0.006274656677447811,0.006764597317593377,0.009061664212493908,0.007277274597884944,0.008024480197630588,0.005434013641055247,0.007380944833433862,0.007237010662265382
PhishingWebsites,0.007022363459206707,0.008085933309119595,0.004333566515348371,0.008777156924351028,0.012906074886892095,0.009576263023580646,0.007161463358596158,0.008689309346404758,0.009212886759946824,0.011673531985401213,0.007588786753039277,0.008693804321525599
Speech,0.00463761318100245,0.007276450893930301,0.005661778557815617,0.0049527481978859705,0.0045582298131854855,0.005323220741511268,0.0049011608092855785,0.005010738268775258,0.004764494620874457,0.003994648509278449,0.001268988503403245,0.005010738268775258
UCI_churn,0.0017558007584319607,0.0020595684059804614,0.005283191699149231,0.0005886955983973621,0.0005886955983973621,0.0005886955983973621,0.0005886955983973621,0.0005886955983973621,0.0005886955983973621,0.0005886955983973621,0.0017558007584319607,0.009743421629668458
USPS,0.009951339651011405,0.01665801606595081,0.005463179965394352,0.009796262426372746,0.011120406275338333,0.010480505330808031,0.0102810776083134,0.0102810776083134,0.009814869512120277,0.013122609456915346,0.0062677930899917335,0.011153869767494008
artificial-characters,0.014033309291127217,0.009692318164663498,0.008976061657837382,0.016674001881134277,0.015378325642205587,0.014464518068945836,0.011465274323424585,0.014083388542137481,0.01171137861101063,0.01156617548813837,0.005704181813341823,0.009585215775553784
banknote-authentication,0.011951371418666397,0.03887033193238205,0.0030753226189896856,0.0051552570264950465,0.00691726340585053,0.0035232246719825275,0.0051552570264950465,0.00638779671310786,0.0051552570264950465,0.03827209185134848,0.03741825014728907,0.00638779671310786
blood-transfusion-service-center,0.041456303249569414,0.04536896597672989,0.025911099218542306,0.05395445793710987,0.04798850852821712,0.03468340222385021,0.050633355005060825,0.050797305405041834,0.0445735926062417,0.0546292203470018,0.0058809495527025555,0.050797305405041834
breast-w,0.013805672725959325,0.01731277922374581,0.015655766208722263,0.022767536439878895,0.022767536439878895,0.02013797819549901,0.022767536439878895,0.022767536439878895,0.020569014930614554,0.020656355082657885,0.024681578464243046,0.022767536439878895
california,0.011390141015405225,0.011248856478715293,0.01003739210095272,0.01749806231177923,0.01894864305176262,0.014473416360528768,0.01772726002555679,0.01785197947060279,0.016333624528521527,0.0918072593601516,0.01143161475299542,0.01785197947060279
cardiotocography,0.00440201019433711,0.0,0.001463782960757502,0.001463782960757502,0.001463782960757502,0.001463782960757502,0.001463782960757502,0.001463782960757502,0.001463782960757502,0.001463782960757502,0.0,0.001463782960757502
clean1,0.10925511740364055,0.10574771784320458,0.03639548888804258,0.07191950129941314,0.07693124327927924,0.05674457753945543,0.07191950129941314,0.07191950129941314,0.07191950129941314,0.07865529101104456,0.09714690242076911,0.07191950129941314
clean2,0.011394741076943549,0.014689944949150543,0.0068337318264241964,0.01433169687559526,0.014322258887514046,0.013576689155286543,0.013598016035593248,0.013482714132735336,0.013401205821363211,0.012126164716764547,0.012465434339221705,0.011934839202740135
